Character Name,Dialogue
？？？,……各位，享受今晚的演出吗？
？？？,尽情狂笑吧，筋疲力竭到最后，各位一定能够幸福地长眠！
？？？,您知道吗？我们的忠实观众可是有机会亲自登台演出的唷！
？？？,想必您一定非常乐意登上这舞台，一定是这样的，对吧？！
？？？,明晚同一时刻，我们再次欢聚一堂，不见不散。
？？？,钉紧您的小脑瓜，各位观众，请务必过个脑花盛放的夜晚噢~！
诺亚,唉……
艾玛,你还在介意吗？部长的那些话。
诺亚,要不然呢？我实在是受够了，他也太能鸡蛋里挑骨头了吧……
艾玛,没办法嘛，到底也是我们有错在先……
诺亚,可是你想想看，那么多的监控画面，它就在最最靠边的地方……就发生在最黑暗最不起眼的边缘角落里！
诺亚,就我们这俩小眼珠怎么可能监视得到……
艾玛,所以你就约我来这种地方散步？
诺亚,哈，我需要整理一下思绪，而你是咱们部门除我以外唯一一个烟民。
艾玛,然后我们就迷路了？
诺亚,……就是这样。
艾玛,咱们都是相处五年的老伙计了，你还想瞒过我吗？
艾玛,想点好的，车到山前必有路，而且我们也很久没来过这么开阔的地方了。
诺亚,然而周围全是树……
艾玛,你觉得咱们是因为谁才会迷路的？
诺亚,……行，对不起。
诺亚,到底是怎么回事？我之前一定是沿着人行小道走的……可现在根本看不出有什么像样的路。
艾玛,已经是晚上了，也很暗了，大概是什么时候走错路了吧。
诺亚,啊，完蛋了！再有一个小时定期检查就结束了……照这个速度我们根本回不去。
艾玛,大不了也就是被开除。
诺亚,开玩笑也有个限度啊！你就算被解雇也不愁吃喝啊艾玛，但我可不行。
诺亚,算了，管他的……你有看到主管有多生气吗？
诺亚,他要是真有那么生气的话，说不定现在就在准备把我炒了的必要文件了。或者更糟糕，说不定咱们回去的时候我都能直接滚蛋了……
艾玛,别忘了，你可以来投奔我啊？我和你说过的，我能帮助你实现梦想。
艾玛,有其他比你整天盯着无聊的屏幕要好得多的事情，你是有能力胜任的！
诺亚,是，是~我真是感激涕零，可我不想做有钱人的玩偶~
诺亚,而且我早就放弃了那个梦……啊！怎么了，突然停下来……好危险啊。
艾玛,诺亚，你看那边……是不是有顶帐篷？
诺亚,啊？……确实，有人在山中露营吗？
艾玛,也许有人住在那里，咱们去看看吧。
诺亚,我有些怕……真的要去那里吗？
艾玛,万一呢？说不定他们会好心地为我们指路。
艾玛,……哇哦，这里真宽敞。虽然有点破……也比在远处看到的好看多了，对吧？
诺亚,我在书上看到过……叫什么来着……马戏……
奥斯瓦尔德,天呐，你们是新来的客人吗？真不巧，演出刚刚结束。
诺亚,……啊啊啊！！你是什……什么鬼东西！
艾玛,啊，是这里的主人吗，非常抱歉……我们是想过来看看有没有人能帮我们指一下路。
奥斯瓦尔德,天呐，这听起来可超级麻烦……你们可不要道歉噢。
