Character Name,Dialogue
罗兰,每次来这里你都在悠哉游哉地喝茶啊。
Binah,它们已同我一并安息。
Binah,都市中已是只有人类才能威胁人类的时代。
Binah,郊区尽是人造的怪物……
Binah,尽管郊区的彼端，依旧有着凌驾于认知之上的存在。
罗兰,听你还挺得意的。
Binah,是保护人类免于怪物的侵害，还是保护怪物免遭人类的杀戮？
Binah,不觉得那个界线相当模糊吗？
罗兰,当然是从怪物手里守护人类。
Binah,那界线一朝略显朦胧，人们便将展露真颜。
Binah,那便是E.G.O，又称异想体。
Binah,如今那种现象似乎被冠以扭曲之名。
罗兰,嗯？不是在聊都市吗？
罗兰,还有你总说这是人类真正的样子……
罗兰,人类它到底是什么？
罗兰,为什么说本来的面目是扭曲的样子。
Binah,是啊。是什么呢……人类仅仅是动物界的灵长类么？
Binah,你认为人类是什么。
罗兰,成团的欲望？
Binah,果然越单纯地思考，越能看透本质呢。
罗兰,所以说是什么？
Binah,如你所言。欲望的姿态不正是人的本相么？
罗兰,还玩文字游戏……我想听的可不是这个。你也懂吧。
Binah,想要知晓身为首脑调律者的所见所闻。
Binah,试图一探都市的隐秘。
Binah,为何首脑对都市袖手旁观，任由痛苦肆虐。
Binah,看似严格的统治……却又为何没有完全统治呢。
罗兰,不错。那么答案是？
Binah,无可奉告。
罗兰,呃啊……
Binah,冷静些。就算想说也是做不到的。
Binah,即使翻看我的书籍亦是如此。
Binah,如今我已是清空了所知的一切的状态。
Binah,首脑的调律者总是如此。
罗兰,就是就是。那我也举手投降呗。
罗兰,放弃从你身上挖点儿啥喽。
Binah,真是无趣。不过相当明智呢。
Binah,立于你面前的并非调律者或是他者，不过是身为人类的存在。
罗兰,就算这样我也不看好你。安吉拉肯定也是。
Binah,epoché。如实地直视我。
Binah,不要下定论断……不要被其间见闻束缚，直视我。
罗兰,怎么可以抛弃人类积累的经验，就那样看着呢。
Binah,我并非调律者，也非Sephirah……以自身去观看即可。
Binah,仅是我所历经的时光本身。
Binah,视万物皆若无睹，便得窥视。
Binah,人类于都市间错综相连，长年累月。
Binah,正因如是，浊不可视。都市便是如此。
Binah,只有凭借亲眼，才能得以目睹。
罗兰,按你所说，难道大家都得按自己的想法来看待世界吗。
罗兰,即使看到同一个杯子，也觉得彼此看到的不一样？
Binah,用独属于你的眼睛去视其根本。
Binah,那应足以一瞥。然而在所见之时，又将忘却窥视的缘由。
Binah,忘却窥视的缘由，既是痛苦，亦是悲剧。
罗兰,所有人都能随心所欲地拥抱这个世界……
罗兰,那不可能在这一切都有定论的都市中出现……
Binah,是啊。那便去见见各自的宇宙吧。
