Character Name,Dialogue
罗兰,这儿真是一如既往地充满咖啡味呢。
Chesed,欢迎啊~今天是靛蓝青山，来一杯吗？
罗兰,那当然！
Chesed,不同咖啡的风味不尽相同。它会受到种种因素的影响。
Chesed,在何处如何生长成熟，又被如何烘焙……何时结束萃取原液，研磨至何种精细程度，都是相当重要的因素。
Chesed,颗粒的粗细决定其酸度与甜度。
罗兰,那还真是种精致的饮料。我也就懂个接过来喝掉。
Chesed,都市的人们不正是如此吗？
Chesed,无论来自于巢还是后巷……亦或是哪一道巷，人们建立起何种性格与价值观都将取决于其出生成长的地域。
Chesed,以及他们成长中经历的坎坷磨难。
Chesed,在音之巷，没有乐感的家伙就是失败者。
Chesed,在味之巷，你永远不知道自己何时会变成食材。这取决于养殖场的方针。
罗兰,听说是这样。等下……
罗兰,不同人风味不一样……？
罗兰,这也太23区发言……你不会拿来宾冲咖啡了吧？！
Chesed,真是不解风情呢~我就开个玩笑嘛。
罗兰,我也是半说笑的哈。
罗兰,反正，一切皆有可能。
Chesed,将不同的咖啡豆混合的手法称为拼配。
Chesed,无论多么低劣的咖啡豆，都能经由拼配获得独特的风味。
Chesed,社会科学正如拼配。
罗兰,把所有人都混到一块去的法子……听起来还不错？
Chesed,对吧~？而且通过拼配的方式，我们可以对原料进行筛选。
Chesed,然而与咖啡豆不同，人们会遵循欲望自行选择想要进入的拼配机器。他们渴望挤入上流的世界。
罗兰,就算为此粉身碎骨。
Chesed,为了获取最上乘的咖啡豆，都市与巢不停地低声呓语。
Chesed,为了成就至高的极致风味，它们需要获取精妙的补充。
Chesed,人生的价值就在于此。竭力展示自己优渥的生活，在被滤除的败者面前炫耀。
Chesed,人们便是如此迷醉于出卖自我。
罗兰,就算那是个骗局，活在巢里确实比在后巷好上不少。
Chesed,当真如此？翼可是一直把人们视为咖啡豆，细细研磨成渣滓的哟？
Chesed,为了网罗更多的羽，每一片翼都将自己的巢粉饰为世上最舒适的地方。
Chesed,因翼而异，不同的巢实施着不同的政策，而后巷又因其政策逐渐扭曲。所有人都沉浸在巨大而甜蜜的谎言中。
Chesed,坚信着自己已然尽力而为。
罗兰,什么叫坚信？那不就是已经做到最好了吗。
罗兰,离开后巷、加入翼、在巢里过上稳定的生活，没啥能比这更棒了。
Chesed,那么，是由谁决定如何进行拼配呢？不，拼配是必要的吗？
Chesed,甄选也是有必要的吗？我们就不能活出自己的风味吗？
罗兰,老实说，这种问题深究下去根本没完没了。
Chesed,是的吗~？
罗兰,是的呀。咖啡很棒。撤喽。
