Character Name,Dialogue
Chesed,曾经也有过不知羞耻、转身逃避的日子。
Chesed,我不过是在冠冕堂皇地自欺欺人。
Chesed,亡徒只会是亡徒。自己埋下的烙印永不消退。
Chesed,我为爱莫能助的事实无地自容……我也无法摆脱。
罗兰,旁人的痛苦与我无关。
罗兰,一码……归一码……
罗兰,力所不及，无能为力。
Chesed,我为爱莫能助的事实无地自容……我也无法摆脱。
Chesed,然而以后依然会有力所不及的事情。
Chesed,习以为常的事情也无法马上改变。
Chesed,即使如此，依然会问心有愧吧。
Chesed,在我涉足参与的社会中，只要心中有愧，便能改变许多。
罗兰,……只要知道就行？即使没有能做些什么的力量。
Chesed,罗兰。知晓事实便已足矣。
Chesed,或许它如今因为繁忙的生活被深深掩埋。
Chesed,但它随时都能被再次拾起。这取决于你的意志。
Chesed,而在重新拾起之时……若是没能一次成功，也无妨。只要还有再次拾起的机会……
Chesed,你也好，这座都市也罢……谁也无法轻视那股力量呀。
罗兰,问心有愧……我在这座都市中反复遭受痛苦的羞愧么……
Chesed,我就是这样认为的。
罗兰,我明白你想说什么。我不否认。
罗兰,是啊……明明就是那样。因为人人都没有那种觉悟。
Chesed,你能表示理解，真是非常感激呢~？
罗兰,……咖啡相当不错。
Chesed,随时再来哟~
