Character Name,Dialogue
罗兰,呃嗯，您在吗？我带了几本书过来。
Gebura,就放那吧。我待会儿去看。
罗兰,殷红迷雾前辈，先前的事真是万分抱歉，我当时没认出您来，措辞实在是太失礼了。
Gebura,少拍马屁。我们现在是一根绳上的蚂蚱。
罗兰,……您当真是殷红迷雾？
罗兰,她的那些传说我听得耳朵都磨出茧子了，不过因为活动区域不同，我还从没见过她本人。
Gebura,爱信不信。殷红迷雾也就是个一无所有的外壳。
罗兰,不不，我不是信不过您。
罗兰,我只是不敢相信，自己能和大名鼎鼎的殷红迷雾一起干活。
Gebura,在第一次人生中，我为守护同伴而死。
罗兰,在那个郊区的研究所里？
Gebura,没错。然后我再次醒来，带着模糊不清的记忆在脑叶公司工作。
Gebura,你之前都是在哪边活动的？
罗兰,都市东部。
Gebura,我在西部，也难怪咱们没多少交集。
罗兰,关于殷红迷雾的那些传说我有些疑问，您介意回答一下吗？
Gebura,什么？
罗兰,听说她独自干掉了五个食指的代行者？
Gebura,哈，食指……真是久违啊，后巷里肮脏的称谓。
Gebura,操蛋的回忆……
Gebura,没错。准确地说，我砍了五个代行者和三个传令员。
罗兰,我去，您可太强了。
罗兰,我刚才刻意没提传令员是为了确认一下，看来确实如此。
Gebura,外头已经过去十年了吧。
Gebura,都市和后巷还是老样子？
罗兰,没几个钱的人互相残杀掠夺，过着朝不保夕的日子，那样？
Gebura,他妈的，一点没变。
罗兰,当然了，无论是十年前还是现在，虽然各种工具和方式多少有些区别，但本质都还是一样的。
Gebura,我曾孤注一掷试图改变它，但现在看看可真是个笑话。
罗兰,不过每条巷里都开了家名叫“火腿嘭嘭”的三明治连锁店，极大提高了后巷居民的生活质量！
Gebura,你被绑来这里之前打算去的那家三明治店？
罗兰,呃，对。我到现在还觉得蛮可惜的……
Gebura,还行，现在的状况多少也算有点好转。
Gebura,……我厌恶后巷。对一个出生在那的人来说，在后巷不择手段苟活的每一天都是在地狱里挣扎。
罗兰,你是哪里人？
Gebura,23区。
罗兰,懂了。
Gebura,想起些以前的事，心里堵得慌。我得去找Netzach讨点酒喝。
Gebura,我会把你带来的书收拾利索的，就先这样吧。
罗兰,好，我也觉得现在没啥别的可聊。
Gebura,哦，这本书……谢了。
罗兰,职责所在。
罗兰,还有一件事。
Gebura,怎么？
罗兰,找Netzach讨酒，带我一个呗？
Gebura,走着。
