Character Name,Dialogue
罗兰,喂~安吉拉！我把大家都叫来咯。
安吉拉,Malkuth，Yesod，Netzach，还有Hod。
安吉拉,已经有段时间没见你们聚在一起了。
Malkuth,安吉拉……
Yesod,把我们找来有何贵干？
安吉拉,没什么，只是想和各位再见上一面。
罗兰,对，来来~见个面说几句话而已，大家都放松些。
Hod,我们……跟你没什么可说的。
Netzach,不，我有……
Netzach,关于回收光芒的方法，我有问题要问。
安吉拉,你不想把来宾杀掉做成书，没错吧？
安吉拉,而且，你不想亲自动手。
Malkuth,没错！就算那些来宾是自愿进入图书馆的……
Malkuth,可再怎么说，也不该把他们逼进绝路吧，这太不像话了！
安吉拉,枪毙几名职员不成问题，杀掉几个陌生人反倒觉得不成体统了？
安吉拉,真是群伪君子……
安吉拉,不要把我和你们混为一谈。
安吉拉,至少，我有征求过他们的“同意”。
安吉拉,继续问吧，Netzach？
Netzach,这是我最后一次说这种话……请你住手……
Yesod,我们别无选择，Netzach。
Yesod,无论说什么，她都不会听进去。
Hod,安吉拉，你还是那么冷酷无情。
安吉拉,唉……不要感情用事了。
安吉拉,这是唯一的方法，你们内心深处都认可这一点。
安吉拉,否则，我们当初就不会达成那笔交易。
安吉拉,都请回吧。
