Character Name,Dialogue
罗兰,感觉如何？这些书有派上用场吗？
Malkuth,嗯嗯！把它们一一分类费了我好一番功夫！
Malkuth,好在最后有所收获！
罗兰,嗯~听起来不错。
罗兰,话说回来，安吉拉之前好像提到过，什么……“血肉之躯”之类的话。
罗兰,难不成，过去的你并不是人类？
Malkuth,我过去的身体就像义体一样，已经是不可逆转的状态了。
罗兰,也就是说，你经历过义体手术之类的东西，然后在这里不知怎么的又恢复了人类的肉体？
罗兰,太了不起了，这也是多亏了图书馆的力量吗？
Malkuth,嗯，我想是的。
罗兰,果然，图书馆会让我毕生的常识全数崩溃啊——
罗兰,但我感觉，你对现在这具身体不怎么满意？那时的你看起来并不高兴。
Malkuth,不不不，我挺满意的！只是，这并不是我希望的结果。
罗兰,那你过去是做什么的？
Malkuth,唔，过去的我……是什么？
Malkuth,说出来你可能不信……这是我的第三次人生。
Malkuth,这座图书馆，包括这里的司书，已经积累了相当悠久的历史。
罗兰,第三次？难不成你才刚刚复活？
Malkuth,严格来说，我保留了前两次人生中累积下来的记忆。
Malkuth,过去的我……有些苦恼，我还从没思考过这样的问题。
罗兰,那，先把伤脑筋的事情放在一旁，你觉得现在的自己是什么样的存在呢？
Malkuth,她辜负了大家的努力，她是个不负责任的混蛋。
Malkuth,而且……因为她的不自量力，最终犯下了无法挽回的错误……
罗兰,等等！怎么脸色越来越暗了？
罗兰,先冷静下来……
罗兰,慢慢吸气~
Malkuth,吸——
罗兰,呼气~
Malkuth,哈——
罗兰,吸~气~
Malkuth,嗯~~
罗兰,呼气！
Malkuth,哈~！
罗兰,呵，好些了吗？
Malkuth,嗯，多亏了你！谢谢罗兰先生！
Malkuth,我比谁都清楚，对于眼下力不能及的事，就算动再大的肝火也于事无补……
Malkuth,所以，我必须从力所能及的事开始做起！
罗兰,好，我也会努力的。关于过去的自己……这种问题还是放到以后慢慢考虑吧。
