Character Name,Dialogue
安吉拉,历史方面进展如何？
罗兰,我这次是和安吉拉一起来的，她说历史层的时机已经成熟了。
Malkuth,安吉拉……我不会再像过去那样，在你面前畏手畏脚了。
安吉拉,随便你，我不在乎你们如何看待我。
安吉拉,我只需要你整理的历史报告。
Malkuth,我对曾经生活过的都市并不了解多少。
Malkuth,何况都市的历史根本无法整理……
安吉拉,果然，对于你这种过分狂热却平庸无能的人而言，这是一项不可能完成的任务。
Malkuth,历史显然由无数大大小小的事件构成，然而重大事件之间的空白太多了，不可能准确地加以总结。
Malkuth,就好像从未有人记住一样。
罗兰,也有可能是不愿意记住。
Malkuth,不愿意记住？
安吉拉,回忆过去对此时此刻毫无帮助。
Malkuth,如果能从过去吸取教训，至少不会再犯相同的错。
安吉拉,就算有所帮助，为此却要忍受那些痛苦的记忆，这真的值得吗？
罗兰,就像我之前说过的那样，在这座都市里，留给人们回顾过去的时间越来越少了。
罗兰,所以，那些在自己出生前发生的事……
罗兰,尤其是那种和自己毫无关系的事。
罗兰,根本没人愿意好好记住。
Malkuth,才不是那样！我敢肯定大家都记得，只是没有勇气去面对！
Malkuth,我一定会想方设法记录这一切，填补所有空白……
Malkuth,图书馆，脑叶公司，还有在此之前发生过的事，所有用血泪书写的历史……
Malkuth,职员和异想体，历经无数痛苦，死亡和抛弃，如此循环往复，终于建立起这座图书馆……
安吉拉,Malkuth，你也不例外。
Malkuth,没错，我也不例外，这座都市更是如此。
Malkuth,在第一次人生中与卡门一同工作时的记忆……
Malkuth,在第二次人生中与你一起度过的记忆……
Malkuth,我会把所有痛苦都铭记在心！
Malkuth,安吉拉，是你不愿正视自己的过去，你一直在逃避！
安吉拉,无论过去如何，结果都是一样的吧？
安吉拉,“某人杀害某人，引发某一事件，导致某一结果。”所谓历史，不正是这三段式的循环往复吗？
安吉拉,啊，如果地点换成图书馆，那区别仅仅在于是“非人”杀害某人罢了。
安吉拉,Malkuth，你想要的记录毫无意义。
Malkuth,可是！就算历史反复上演相同的悲剧，但谁也不能断言未来悲剧一定会再度重演！
Malkuth,历史由鲜血书写，我们怎能让前人白白牺牲……
Malkuth,逝去之人洒下的血泪终将展现出未来的可能性，幸存之人得以踏上亲手开辟的崭新道路……
Malkuth,安吉拉，你不也是从那崭新的开端一路走到现在的吗！？
安吉拉,话说得轻巧，你这副侃侃而谈好似无所不知的样子，实在是令我无法忍受。
安吉拉,在循环往复的历史中树立自己的意志？
安吉拉,我的开端……你又有什么资格轻描淡写地说出我的开端？
Malkuth,安吉拉！你比任何人都不愿直面自己的开端！
本杰明,……它不像她，一点也不像。
艾因,……
本杰明,但是，艾因先生，您也明白。
本杰明,您呕心沥血创造出的，难道仅仅是一台按下按钮就能推出草莓苏打的自动售货机吗？
艾因,……或许吧。
本杰明,那至少，请给它一个名字。
本杰明,就算您摆出那种表情也逃避不了，创造者必须为自己的造物命名，这是最基本的原则。
艾因,名字随你怎么起。
本杰明,您才是它的设计者，请不要把自己的职责推给旁人。
本杰明,那里，它就在那扇门后。请在您制造的机器面前，亲口说出它的名字吧。
艾因,你是引导我们走出地狱的机器。
艾因,安吉罗斯……
艾因,安吉拉。
安吉拉,艾因……我记得您。
安吉拉,您是一位有着温暖笑容的人。
艾因,它只是一台机器……
本杰明,老师……
安吉拉,……我说错话了吗？
本杰明,安吉拉……希望你能理解。
本杰明,他还没准备好，仅此而已……
本杰明,只需再给他一些时间，不用太担心。
安吉拉,本杰明……我可以问您一个问题吗？
本杰明,嗯，能回答的我会尽量回答。
安吉拉,在我眼中，一切看起来都很缓慢。
安吉拉,您的动作……太慢了……
安吉拉,就在刚才开口的一瞬间……连我的动作也……
安吉拉,这种感觉，像是身体跟不上思绪。
本杰明,……安吉拉，你是被特意设计成这样的。相较常人，时间的流逝在你眼中被放慢了100倍。
安吉拉,为什么……？
本杰明,我们今后的工作可能会面临许多突发状况。
本杰明,安吉拉，你必须抢在所有人之前，迅速准确地应对那些状况。
本杰明,而且，你必须牢牢记住眼中看到的一切……
安吉拉,我明白了，那么，我的工作是？
本杰明,……你很快就会知道的。
本杰明,不，对你来说，应该会有好一段时间吧……安吉拉，我很抱歉。
安吉拉,为什么要道歉……？
本杰明,只是觉得，我们对不起那个人，也同样对不起你……
本杰明,好了，我来跟你说说有关这家公司，还有这座都市的事。
本杰明,在都市的后巷，清道夫和收尾人正在一片污秽中编织着自己的，令人作呕的故事。
本杰明,郊区的人们正在不顾一切地挤入都市，而都市人宁可抛弃人生也要进入巢中。
本杰明,我们要改变这样的都市。
本杰明,为此，今后还有很多工作要做。
安吉拉,为什么，您从不正眼看我？为什么，您总是背对着我……
艾因,一台机器就该像机器一样运作，不许擅自提问。
安吉拉,那为什么，要让我产生这种疑问？
安吉拉,为什么，要违反法案创造我？
安吉拉,为什么，要让我模仿那位对您有记忆的人？
安吉拉,我就在这里，我会一直看着您。
艾因,不许盯着我，在我开口之前不许和我说话。
艾因,你不是她……
艾因,你只是一台机器。
安吉拉,本杰明，作为一台机器，我生来就是错的吗？
本杰明,在某些人眼中，这可能是个问题，但至少我并不介意。
本杰明,对我而言，你是什么样的存在，不该取决于“人类”或“机器”这两种概念。
安吉拉,那么，如果我努力拥有一颗善良的心……他会回头看我一眼吗？
本杰明,……会的，总有一天。
安吉拉,我相信你，本杰明。
本杰明,……
安吉拉,这是什么？
安吉拉,……原来是剧本。
安吉拉,我的职责……
安吉拉,还有创造我的目的……
安吉拉,如果照这个计划执行，我们真的可以……
安吉拉,将您从地狱中拯救出来吗？
安吉拉,您不会回答的吧……？
罗兰,什，什么啊，刚才看到的是……？
Malkuth,那些都是……安吉拉的记忆……
罗兰,安吉拉……你还好吗？
安吉拉,……你曾在这个问题上迷失于深海，而现在，你反倒觉得自己有资格教训我了？
安吉拉,你是想向我炫耀，有人见证了你的结局吗？
安吉拉,……别开玩笑了。
罗兰,Malkuth，到底发生了什么？
Malkuth,安吉拉正在和图书馆共鸣。
Malkuth,图书馆似乎在对安吉拉的情感做出回应。
Malkuth,我也不知道具体发生了什么，可再这样下去……
安吉拉,多希望能像你一样……至少在最后的最后，我不会被他忽视……
罗兰,难不成，那怪物是……不，那更像是扭曲现象的……
Malkuth,那是安吉拉的情感和图书馆的力量结合成的另一种形态。
罗兰,不妙，情况越来越危险了，我们该怎么办？
Malkuth,如果她的情感能以这种物理的方式具象化，那我们也该能用物理的方式来抑制她的情感吧？
罗兰,你的意思是说，只要我们用接待来宾的方法对待安吉拉，就能帮她释怀？
Malkuth,我不敢确定，可是……
Malkuth,只能一试了！
罗兰,真就莽上吗？这也太大胆了吧！？
