Character Name,Dialogue
罗兰,艺术分类指定司书，Netzach。
罗兰,呵，就是躺在地上的那位？
Netzach,（躺在地板上转头瞥了罗兰一眼，随后扭过头。）
罗兰,唉……书也弄得满地都是，看来他一点工作的念头都没有。
罗兰,打扰一下~~指定司书Netzach~~？
Netzach,唉……
罗兰,如果你一直拒绝合作，安吉拉会让我不好过的~
罗兰,拜托啦~~快~站~起~来~~
Netzach,你知道那种感觉吗？你为了某物付出一切，到头来却亲眼看见它化为泡影。
Netzach,就好比我努力堆出一座沙堡，结果被一阵海浪卷走。
罗兰,而卷走沙堡的正是安吉拉，没错吧？
Netzach,现在我又一次睁开双眼，被要求做我根本不想做的事。
Netzach,唉……让我安静会儿，我想再打个盹。
罗兰,哎~呦~天~呐，为什么你们一个个都这么讨厌安吉拉？
罗兰,请帮帮忙，好吗？我们现在是一条船上的人。
Netzach,（吃力地站起身。）
Netzach,你也怪可怜的，怎么会来这种地方？
罗兰,是吗？我也觉得自己怪可怜的。
罗兰,那既然这样，拜托，嗯？给个面子让我们好好工作吧！
Netzach,你应该已经知道了，我是负责艺术层的指定司书，Netzach。
罗兰,我也做个自我介绍。我叫罗兰，正在图书馆给安吉拉打下手。
Netzach,唉……真想知道，为什么我总要做一些完全不适合自己的工作？
罗兰,问到我了，我也从没想过会在满是书的图书馆里工作。
罗兰,总之！你负责从我带来的这沓书中分拣出跟艺术有关的，对吧？
Netzach,大概吧……
Netzach,唉……既然已经报过姓名了，那就请回吧？
Netzach,（又躺回地板上。）
罗兰,嚯嚯嚯……那啥，躺地上也挺好……你会好好工作的，对吧？
Netzach,以我现在这具身体，就算不想做也不得不去做。
罗兰,呵呵……好好，我相信你~那请务必好好工作，说定咯？
Netzach,（挥手示意罗兰离开。）
