Character Name,Dialogue
缪,喂，鲁道夫！从我这借走的兔子你打算怎么办啊？一点像样的成果都没有欸！
鲁道夫,对不住哈。谁叫那帮兔崽子事事无成呢。
缪,……有种再说一遍。你这只长一根角的驯鹿崽子。
鲁道夫,……真对不住哈。那帮弱不禁风的兔子实在成不了气候。
马克西姆,俺赌兔子赢。把他剩下那根角也掰喽！
尼可莱,在我发作之前统统闭嘴坐下。
缪,干嘛呀，老太婆。突然这么严肃。
尼可莱,第4集团军将被投放至L巢及图书馆中。
缪,欸？图书馆能理解，巢也要去？
鲁道夫,失去二老板的拇指已经摇摇欲坠，应该不成威胁……
尼可莱,余下的食指似乎相当棘手。不会投入过多兵力，仅派少量单位前去增援。
缪,那跟咱们有啥关系咧？
尼可莱,我们将前往图书馆。
尼可莱,此次任务一旦失败，第4集团军包括我在内的1万5000人将被全部宰杀。
鲁道夫,高层没再仔细斟酌一下吗。
马克西姆,第4集团军本就是为服务L公司而存在，受到这种待遇也是理所当然的吧……
马克西姆,是呗……曾经只是鸡肋的俺们能撑到今天这一步，也已经够本事喽。
鲁道夫,如此拼命地确保安全……现在却又一次陷入宰杀危机。
缪,为啥咱们总会落到这般田地呀。
缪,L公司自己说炸就炸了，凭啥还要把咱们也卷进去。
尼可莱,信誉是R公司的生命所在。
尼可莱,如若L公司自行崩塌，我们便不必承担责任。若是出于外界因素，R公司便未能遵守合同。
鲁道夫,没能做好本职工作的家畜就会被遗弃……
尼可莱,况且此次事件不仅仅涉及L公司。
缪,这会又在说什么胡话？
尼可莱,W公司的奇点也被押给了图书馆。据称清扫人员和乘客的书籍都在图书馆中。
马克西姆,乘客？
缪,……
尼可莱,缪，你之前说过自行处理的那件委托是否还有联系？
缪,……
尼可莱,缪。
缪,不。还没收到联系。
马克西姆,也就是说……
缪,照她那性子想想就知道。眼看好几个小时都到不了站，于是说着不如拿这赌一把就拿出来用了吧。
尼可莱,执意要她乘坐WARP列车有何理由？
缪,不，没有……只是正好有别的事拜托她，就顺便请她帮忙处理掉罢了。
缪,那时的图书馆还只是个野鸡都市传说，就没怎么当回事。
缪,本来我觉得她不可能死在那种地方，所以拜托她去捞点钱。
马克西姆,慢着。不是头等舱，而是普通舱的乘客？
缪,头等舱的票我拿头去买啊？
马克西姆,假如那妮子在列车运行时溜进图书馆里变成了书。
马克西姆,仅仅是因为普通乘客的失踪，就牵动了整个W公司？
马克西姆,何况从外表上看，列车肯定是正常到站的。
缪,可不是嘛。就算稍作停顿公开事实，也不会有人信的。
缪,非要急忙把WARP清扫人员派过去吗~反而会赤裸裸地暴露奇点呢。
