Character Name,Dialogue
罗兰,我看看……第2层的指定司书Yesod……负责管理科技方面的书籍。
Yesod,……
罗兰,幸会，我叫罗兰，正在帮安吉拉打下手。
Yesod,我是负责科技层的指定司书，Yesod。
罗兰,刚才总觉得有股恶寒，那种感觉和见到安吉拉时又有些不同……难不成是我的错觉？
Yesod,……
罗兰,怎……怎么了？
罗兰,莫非……你也是那种一听到废话就要动粗的类型？
Yesod,……
Yesod,领带开了。
罗兰,……谢，谢谢。原来是个温柔的小哥啊。
Yesod,为何要如此顺从地帮助安吉拉？
罗兰,她也没给我别的选择啊。
罗兰,Malkuth好像也问过类似的问题，怎么，你们都不喜欢安吉拉吗？
Yesod,那不是理所当然的么。
Yesod,安吉拉……她在最后一刻残忍地践踏了我们的梦想。
罗兰,听起来是段非常复杂的故事。
罗兰,那你呢？你为什么要以司书的身份为她工作？
Yesod,这是交易的一部分。
罗兰,交易？
罗兰,这么说来，图书馆的楼层尚未开全，其中的司书也仍处于沉睡之中，这些也跟你提到的交易有关吧？
Yesod,……
罗兰,说句实在的，我不太喜欢听复杂的故事，尤其是那种掺杂了不少个人情感的……
罗兰,不管怎样，我们都要无条件地帮助安吉拉，这一点没错吧？
Yesod,是的。
罗兰,那今后还请多多关照。
罗兰,来！
Yesod,什么？
罗兰,诶，你不知道握手吗？意思是让我们一起好好干！
Yesod,……
罗兰,事已至此，就暂时放下那些不好的印象，一起加油吧。
罗兰,和Malkuth那边一样，我只要把收集到的书转交给你就行了吧？
Yesod,是的，我会分拣出与都市科技有关的书籍。
Yesod,既然你我的分工已经明确，那你可以走了。
罗兰,行行~我正有此意呢~
