Character Name,Dialogue
罗兰,呼。真是浑身发抖冷汗直流。
安吉拉,……不行。
安吉拉,每次都发展成这样，这可不行……
Yesod,清醒些了么。
安吉拉,嗯。反而让我鲜明地感受到烦躁。
罗兰,没有比回想起昨晚大半夜耍酒疯的早上更令人烦躁的时刻了。
Yesod,安吉拉确实需要尽情发泄一下。
安吉拉,也不要说得如此轻巧？
安吉拉,如果你是强迫自己理性行动的人，那我就是想要行动却无法随心所欲的人。
Yesod,我并非在挖苦你。
Yesod,但安吉拉，你现在可以去选择了。
Yesod,况且你替我们承担了多少代价，我也想帮助你。
安吉拉,选择？如今我也没有选择的余地。
安吉拉,我必然达成的目标非常明确。绝非是我想做才去做的。
安吉拉,而是我别无他选。
安吉拉,我必须找到那本能够使我和图书馆变得完整的至理之书。
Yesod,……并没有什么“必须去做”的事。
Yesod,我们生活在一个一切事物永远在发生变化的世界里。
Yesod,遵循既定的规则绝非理性或是明智之举。
Yesod,随着世界不断地变化，我们总需要随机应变。
安吉拉,是啊是啊。你说得都对，很有道理。
安吉拉,真好奇你究竟知不知道自己在说些什么。
罗兰,但Yesod和其他司书的确有在尽力帮忙噢……
安吉拉,如果你们是想听到一句感谢的话语，那行。多谢各位。
Yesod,安吉拉的改变很明显。这一定是受到了你的影响。
罗兰,有吗。话是变多了，但脾气倒是比以前还要烂。
Yesod,罗兰，你又怎样？有什么变化么。
罗兰,我？现在再去改变已经太迟喽。
