Character Name,Dialogue
喵呜,哈呜~今天的演出一点儿都不尽兴。
姆姆,奥因克！你得跟上大伙的节奏才行。
姆姆,9区是音乐的圣地！是钢琴师的圣地！
奥因克,可是……俺已经尽力了的说。
喵呜,你还在纠结嘿吼说的话吗？
奥因克,怎么能不纠结的说……
奥因克,一旦去了图书馆，没准就再也不能演奏了的说……
姆姆,用欢快的音乐洗刷所有烦恼吧~
喵呜,奥因克，如果你再被这种无关紧要的事情影响发挥，那人家就把你也做成乐器。
姆姆,赞成~
喵呜,现在可不能让那些杂念干扰我们的演出哦。
喵呜,你俩是新来的，所以体会不到人家吃过的苦，想当初大伙演奏一次该有多费劲呀~
喵呜,人家和咕哦，汪呜还有嘿吼为了再现当时听见的美妙音乐，抛弃了一切，组成这支专注于艺术的乐队！
喵呜,所以别总是垂头丧气的，集中精神演奏吧？
奥因克,钢琴师的音乐……这俺知道的说！
奥因克,俺怎么也忘不掉那段甜美的旋律，这才决定向Seven3科递交辞呈，加入你们乐队的说……
奥因克,哪怕抛下俺拥有的一切……俺也想亲手重现那段旋律的说。
姆姆,赞耶~那让咱们回想一下，那曾经响彻都市的梦幻旋律吧！
喵呜,那台由10万多人组成的巨大而雄伟的钢琴……
喵呜,每一根肌腱都在反复弹奏优美的旋律。
喵呜,直到那时我才意识到，人类在正确的音乐家手中能变成多么美妙的声音。
姆姆,尤其是终章时与收尾人的合奏！
姆姆,经过激烈的合奏，收尾人们也一同融入钢琴之中，化作动听的旋律。如果我当时也在现场，那该多好呀……
喵呜,嗯哼，人家可是亲眼观摩了整场演出哦，压轴大戏真的特别精彩！
喵呜,乐谱和音符忽地在眼前展开~
喵呜,收尾人们沿着飞驰的乐谱，齐声朝钢琴师突进……
喵呜,接着一个个被音符埋没，血肉纷飞……
喵呜,他们连死都做不到，就这样活活变成喷香的音符，化为钢琴的一部分。
喵呜,之后，仅存的那名收尾人最真诚地解体，化作美丽的红色音符飞散开来，发出世上最最迷人的声音。
喵呜,没错……就是那声音……贯穿人家灵魂的天籁……
喵呜,不过，“漆黑噤默”最后还是生生扯断了钢琴师的手臂和脖子，毁掉了所有气氛。
喵呜,人家多想成为那场演出的一部分呀~
姆姆,唉……真羡慕你，远方传来音乐时，我只能呆呆地杵在事务所里。
奥因克,呼呼……俺也想的说……哪怕只有皮毛，俺也想演奏出来的说……
奥因克,可俺现在弹的都是什么啊……无论怎么捣碎乐器的脚踝，无论怎么抽筋扒皮，无论怎么从腿骨上刮肉，都找不到当时的感觉……
奥因克,而且嘿吼和咕哦……还对俺说了那样的话……
喵呜,没事的，奥因克……心急吃不了猫薄荷嘛。
喵呜,与钢琴师的演出相比，我们虽然还差得很远……
喵呜,但最近确实有弹出类似的声音不是吗？只要每天用心演奏，我们一定能达到那种境界的……
喵呜,咕哦，嘿吼还有汪呜的演奏都超棒的对吧？
姆姆,对！他们仨的音乐简直棒呆了！
姆姆,但他们为了准备下一场演出，说是要出门旅行，一时半会儿恐怕听不到了……
奥因克,嗯……什么时候俺也能弹出那种旋律的说？
喵呜,当然能啦~等这场演出结束后，等处理好嘿吼托付的工作后，大伙再一起商讨吧？
喵呜,嘿吼说过，不久之后会有一场前所未有的盛大演出哦。
喵呜,而且，说不定能在图书馆里找到新的创作灵感呢？
奥因克,嗯……俺也很期待嘿吼说的盛大演出的说……
喵呜,人家看看……有了！
喵呜,下一场演出就定在百货商场这类的地方吧~那是我们奥因克最喜欢的地方~！
姆姆,我也喜欢~！商场里的乐器琳琅满目应有尽有，想想都叫人开心呢。
奥因克,谢谢你……喵呜……谢谢你……姆姆……俺一定会刻苦练习的说。
喵呜,好呀！大伙都做好准备吧？
罗兰,钢琴师那家伙阴魂不散，倒腾出这么多疯子。
安吉拉,“最华丽的演出，从废墟拉开帷幕……”
罗兰,你也想听听钢琴师的音乐？
安吉拉,怎么会呢？那种音乐我已经听烦了。
罗兰,……你还认识像钢琴师那样的疯子？
安吉拉,可以这么说，但也有些许不同，你听过钢琴师的音乐？
罗兰,当然咯，那一天都市里很少有人没听见那该死的声音。
罗兰,那场演出把我搞得心烦意乱，而且……不，我不想再想起那声音了。
罗兰,不管怎么说，这些玩音乐的家伙没一个不是疯子。
安吉拉,他们似乎非常喜欢招致毁灭的演出……
罗兰,也许他们沉浸在只有他们才能理解的世界中吧。
喵呜,猫猫是~！
奥因克和姆姆,喵呜~喵呜~
喵呜,猪猪是~！
奥因克和姆姆,哼哼~哼~
喵呜,兔兔是~！
奥因克,……叽叽……叽……？
姆姆,桑心哦……
安吉拉,各位来宾，欢迎你们的到来。我是图书馆的馆长兼……
喵呜,姆姆~！别灰心。
姆姆,可是兔兔没有像样的叫声欸。
奥因克,大家会帮你想一个的说……！
喵呜,好主意！
姆姆,大家……
安吉拉,真是无奇不有。
喵呜,那个蓝毛，你站那儿装什么文艺呢？还不快招呼我们进去。
奥因克,你个破机器想让客人等到什么时候？
安吉拉,什……？
喵呜,噗哈哈哈！看她那踉踉跄跄的样子~连血都打出来了呀？
奥因克,就算会流血，里面也照样是坨恶心的铁块，真叫俺不爽。
安吉拉,……？
姆姆,再有下次就打断你这对狗腿哟，快让咱们进去。
安吉拉,……
罗兰,什么……安吉拉你怎么了！？
罗兰,那血是……你的身体不该会流血啊！
安吉拉,我也觉得奇怪……以原来的身体，那种程度的攻击不该伤到我……
罗兰,被打的地方还疼吗？
安吉拉,……我没事，这下我总算知道挨打有多疼了。
罗兰,难不成，你的身体在逐渐变成人类……？
安吉拉,这可能是接近自由的一大标志……不必担心。
