Character Name,Dialogue
艾琳,诸位安好，让我们一同开始今日的礼拜吧。
艾琳,我们好像迎来了一位新信徒。
艾琳,你有什么烦恼想要向大家倾诉吗？
新信徒,……我再也没有信心能在都市生活下去了，活着太遭罪了。
艾琳,哪一点令你觉得如此艰难？
新信徒,一切都让我心烦，我的人生也是这样。
新信徒,我每天清晨6点起床，8点打卡上班，带着同样的表情反复做同一件事。
新信徒,还要经常无故加班到深夜10点……
新信徒,我不明白自己究竟在干什么。
新信徒,感觉好像赚了点钱，但每个月的收入又像流水一样说没就没。
新信徒,上下班路上遇见的每一个人永远甩着同一张臭脸。
新信徒,我不明白自己为什么要工作，为什么要赚钱，为什么要活着。我的人生……好像失去了目标……
新信徒,就像齿轮一样……
新信徒,没错……真的是这样……我仿佛过着齿轮般的生活。
新信徒,哪怕少了我这枚齿轮，这座都市随手就能找到新的零件替换我的位置……
新信徒,我究竟是什么样的存在……哪里才能体现我的人生价值……
艾琳,我能理解你的心情。
艾琳,这座都市正如一串漫无目的的齿轮组……
艾琳,置身其中只会逐渐消耗，磨损……
新信徒,没错……！就是那样……
艾琳,但是……
艾琳,身为齿轮难道一定是件坏事吗？
新信徒,啊？
艾琳,万般烦恼皆源于人们不愿承认齿轮的身份。
艾琳,昔日的我也和你一样。
艾琳,我在失去慈父后度过了一段迷茫彷徨的时光。
艾琳,我的父亲也曾过着齿轮般的生活。
艾琳,他总是在同一时间醒来，摆出同一种表情，接着迈向同一地点，在同一时间回家……
艾琳,我的父亲和齿轮打了一辈子的交道。
艾琳,他期盼着有朝一日能消除和你相似的烦恼。
艾琳,在不知不觉间，他的外表和那些朝夕相处的事物越来越相仿。
艾琳,额头上的皱纹随着工作逐渐加深，正如齿轮上的齿槽。
艾琳,我的父亲向来是庞大都市中的一枚生锈齿轮，直到最后被人杀害，结束了一生。
新信徒,那样……
艾琳,后来有一天，我幡然醒悟。
艾琳,事实上，我们本就是都市的齿轮……
艾琳,我们之所以感到痛苦，仅仅是因为我们试图否认自己的身份。
新信徒,可那样的人生根本没有意义啊！像齿轮一样日复一日毫无目标的生活，我真的受够了……
艾琳,是啊。
艾琳,问题正出在“齿轮毫无目标”的想法上。
新信徒,难道齿轮也能有目标？
艾琳,嗯，当然。
艾琳,我们的教义正是帮助人们寻得与生俱来的目标。
艾琳,我会将你塑造成独一无二的齿轮。
艾琳,我们每个人皆是齿轮。
艾琳,只是仍有许多齿轮因得不到归宿，不知如何转动而感到悲伤。
新信徒,……那种话。
新信徒,叫我怎么能信……
艾琳,请看看在座的诸位。
艾琳,他们脸上的表情，和你平日见惯的那些是否相同？
新信徒,不……他们看上去，都很幸福……
艾琳,请相信我。
新信徒,嗯……除此之外我也……
艾琳,请上这儿来，我会帮你寻得苦苦追求的人生目标。
新信徒,是要……坐在这张椅子上吗？
艾琳,嗯，请不用那么拘谨。这张椅子会向我们揭示，你将成为何种齿轮。
新信徒,这个真的……没问题吧……？
艾琳,当然。
艾琳,哎呀，原来你是一枚“思想齿轮”。
新信徒,“思想齿轮”？那是……
艾琳,被赋予“思想齿轮”的人生目标实属难能可贵。
艾琳,此时此刻，它们正在我脑后给予我帮助。
艾琳,请看，我的父亲也是一枚“思想齿轮”。
新信徒,难道说……你头上的那些齿轮，是……？
艾琳,这枚正是我的父亲……他每时每刻都在和我分享着人生的哲理。
艾琳,对于“血肉齿轮”而言，“思想齿轮”是其不可缺少的存在。
