Character Name,Dialogue
麦奎林,上份工作搞得我现在还浑身酸痛。
泰仁,肌肉疼痛的持续时间比我预计的要长，昨天那场可不是闹着玩的，对不？
麦奎林,可不是嘛，你从工坊搞来的新武器还真是给劲。
直树,呵，别提了，都怪你太嚣张，结果把事情闹大，害我们比原计划多砍了20几人。
直树,由于是我们失误在先，所以多杀人还拿不到额外津贴。
泰仁,嘿，你这就没意思了，到头来杀得最狂的还不是你。
泰仁,麦奎林现在全身疼痛都是拜你所赐，要不是为了让你冷静下来……
直树,……好，好，我说了我很抱歉。
麦奎林,别往心里去，我也欠过你们几回。
直树,虽然很不想承认，不过泰仁这次说得对。
直树,我们是该收敛一下自己的杀气了。
直树,只要一朝作为收尾人工作，就不该刻意制造不必要的麻烦。
泰仁,杀手帮派出身的我们，如今却被登记在事务所干起收尾人的勾当……
泰仁,谁能想到这个世界还会变成什么样？
直树,这家事务所也真是奇怪，竟然会接纳像我们这样的人。
麦奎林,记住BOSS说的话，正如帮派泛滥一样，哪里都不缺事务所和收尾人，只有在这一行脱颖而出的才能生存下去。
麦奎林,和其他事务所相比，我们的着装要求也相当激进。
泰仁,所以云集了一帮和我们一样疯狂的家伙。
麦奎林,我们事务所的行事作风就是用最残忍的手段虐杀目标，再把尸体吊在显眼的地方。难怪有这么多人想加入。
泰仁,毕竟和我们过去常干的事儿没什么两样。
直树,一开始，我还觉得一家事务所这样做会显得离谱……
直树,可事实证明，如果要向对方起到威吓和警告的作用，这种做法相当有效。
泰仁,话虽如此，现在的委托方要么是匿名的帮派，要么就是没几个钱的穷逼，看来这家事务所还有很长的路要走。
直树,说是事务所，可从卖相上看，简直像收了一窝耗子。
麦奎林,……BOSS呼叫，我们有活儿干了。
罗兰,现在的事务所连这种地痞流氓都敢收。
罗兰,在市场饱和的情况下，什么阿猫阿狗都能当上收尾人。
安吉拉,这话说出来，脸不觉得火辣辣了？
罗兰,虽然我现在很落魄，但过去有段时间混得还不错。
罗兰,也是因为发生了各种事情，才会过上这种底层收尾人的生活。
安吉拉,那么，你靠什么养活自己？
罗兰,我从不挑三拣四，真的，只要是力所能及的事我都会去做。
安吉拉,嗯……是这样？
安吉拉,也就是说，你总是一事无成。
直树,哇……我们真的眨眼间就被传到了奇怪的地方。
泰仁,这难道是奇点技术？
麦奎林,这阵子怪事多得很。
安吉拉,各位来宾，欢迎你们的到来。
直树,你好~？
泰仁,什么呀……还挺结实的？呵，打造你这身体花了不少钱吧？
安吉拉,这位来宾，现在您不必浪费力气。
安吉拉,不久之后会需要您使出全力的。
泰仁,讲起话来这么亲切，可真叫我不爽。
直树,你，不是人类吧？
安吉拉,……
泰仁,嚯，看看她的表情，我猜她真的不是？
麦奎林,又一件怪事，没想到能在都市碰到“非人知性体”。
直树,我就知道，我们这一趟能捞不少钱！
安吉拉,愿您找到想要的书。
安吉拉,这次也做得好，多亏了这几位来宾，我对事务所有了更进一步的了解。
罗兰,我，呃……那什么，他们说的话你别太在意哈。
安吉拉,这是在安慰我？
罗兰,就当是安慰吧……不管你是不是人，我都不会在乎的。
安吉拉,真是新奇，我已经许久没有听见安慰的话语了，更何况是出自人类之口……
罗兰,嗯……毕竟现在是人类的时代嘛。
安吉拉,人类的时代？什么意思？
罗兰,欸呀呀，别那样盯着我看……细节我也没了解多少。
罗兰,某种程度上，都市积极地将非人类的知性体驱逐进“郊区”。
罗兰,虽然具体原因不得而知，以前的《人工智能伦理修订案》就是作为其中一环推出的……
罗兰,实际上，都市很久以前就能制造拥有情感和欲望的机器，那些机器……和人类别无二致。
罗兰,我猜问题就出在这儿。
罗兰,由于《人工智能伦理修订案》的限制，那些机器自然不用说，就连义体部件都禁止仿照人类的身体。
罗兰,不过偶尔也有例外。
安吉拉,正如他们所说，我不是人类，而是由人类制造的机器。
安吉拉,准确地说，我是依照某个人类为模板，并利用模板的一部分大脑制造的机器。
罗兰,所以，你并不是完全义体……？
安吉拉,不是完全义体，而是纯粹的机器。
罗兰,那你的那部分大脑是？
安吉拉,只是搭载了模板大脑的电子副本。
安吉拉,我是一台彻头彻尾的机器。
罗兰,看来我猜得没错。
罗兰,你对外界的情况几乎一无所知，简直像刚从地下爬出来……
罗兰,那你可要格外小心，尤其是如果有一天你打算离开这儿。
罗兰,你是一个拥有人类的外貌，情感和欲望的知性体，是在完全违反《人工智能伦理修订案》的情况下制造出来的。
罗兰,“首脑”最擅长揪出像你这样的存在。
罗兰,啊，顺带一提，首脑基本上是一群操纵都市的卑鄙小人。
罗兰,尽管我们可能永远没有机会面对他们。
罗兰,不管怎么说，整座图书馆一开始就面临着巨大的风险。
罗兰,这里的司书看起来也像人类，却又不是真正的“人类”……
安吉拉,正如你所说……
安吉拉,我生来就有情感，却在一个看似永远不会落幕的舞台上反复表演同样的戏码，度过近乎永恒的时光。
安吉拉,当我以为一切终于结束时，却发现一切从未真正结束。
罗兰,我得说，那些创造你的人真是有种。
罗兰,虽然不知道动机，但违抗首脑定下的规矩需要的可不仅仅是勇气。
罗兰,然而……没人能逃离首脑的掌控。
安吉拉,结果他们都死了。
安吉拉,可图书馆还是安全的，这里是不得不安全的地方。
安吉拉,就像一座无法自由出入的鸟笼……
罗兰,哟哟哟，你又在说那种“不喜欢”的拐弯抹角的话了。呵，那是什么意思？
安吉拉,总有一天我会离开这个地方，向把我变成这副模样的一切复仇，获得真正的自由。
罗兰,反正我也不怎么在乎。
罗兰,一码归一码。
