Character Name,Dialogue
Tiphereth,喏，这些就是你拜托我找的书。
Malkuth,Tiphereth！罗兰！你们两个在做什么呀？
罗兰,啊，我看Tiphereth她一个人抱着这些看起来就很重的书就过来帮了下忙。我先前也已经为你带来了不少书籍吧，为啥还想要这么多书啊……
Hokma,这是该在当事人面前说的话吗？
罗兰,……你这不也是第一次这么郑重其事地跟我说话嘛。
Hokma,只是有很多想读的书而已。只是为了让时间过得不那么无聊而已。
罗兰,我瞅瞅……你究竟是想读些什么才让Tiphereth给你挑书啊？
罗兰,生命的连续性……生物工程技术……净是些关于生物学的书籍啊。
Tiphereth,他这几天刚修习了些化学相关的东西。
Hokma,如果我拜托你找的书有这么多的话，还是希望你可以直接告诉我……每次都真是万分感谢。
Tiphereth,我要不然也想叫你过来帮忙……但因为罗兰帮了我，所以就这么过来喽。
Tiphereth,不过我还以为Hokma先生您早就已经了解这些知识了呢，真是有些出乎意料。
Hokma,为了不遗忘其中的内容，我会反复阅读并品味这些书籍。
Yesod,仅仅只读一次的确是不够的。特别是正在学习知识的话。
Tiphereth,我也能够理解，同样的文章每次阅读的时候都会涌出新的感觉。
罗兰,嗯……是我不了解的文学人的世界啊。
罗兰,所以说你们在做什么啊？
Binah,一些无聊的事罢了。与我们在这里所做的事情有关。
Malkuth,是啊。因为在工作的时候会积累下来各种各样的感情嘛！
罗兰,……所以说你们是在这儿偷偷叨咕上司的坏话啊！？
罗兰,即便安吉拉她装作什么都没看见听见，但事实上这图书馆里发生的事儿她全都知道……现在这些对话啊没准已经被不知道在哪儿的她听到喽。
罗兰,然后啊，她就会很自然地出现在我们的身边……
Tiphereth,叨咕上司的坏话什么的不过只有你一个人在说吧？
Malkuth,我们是在讨论招待相关的事情啦。嗯……啊，Yesod也有叨咕安吉拉哦！
Yesod,Malkuth，不要总是说这些容易令人误解的话。
Yesod,我不过只是抱怨了走廊里仍堆放着许多书，看起来非常脏乱。
Malkuth,说到底你不是对图书馆现在的整理状态感到不满嘛？
Yesod,那是大家的错。我并没有责怪安吉拉的意思。
Binah,但每次接待各式各样的宾客时都着实有些辛苦。
Binah,我也在与你交谈。
罗兰,呃，我现在倒是差不多习惯了，也没那么辛苦吧。
