Character Name,Dialogue
罗兰,说起来，我还以为这座图书馆已经快要彻底毁坏了呢……现在看来它仍有着不少余力啊。
罗兰,现在外面肯定有不少正虎视眈眈地盯着这儿的人，但迄今为止却没有任何人进来。静得出奇。
安吉拉,对此我也相当惊讶。
珍娜,……安吉拉。这是因为这座图书馆便是你的自我的外壳……
珍娜,也可谓是你的E.G.O。
珍娜,你做着一件只有人类才能做出抉择的事……
珍娜,但最终却做出了与任何人相比都不像都市人会做出的抉择。
安吉拉,……你们是何时来到这里的？
罗兰,真没想到首脑竟然会来到这儿……甚至还带着眼线和爪牙……
巴拉尔,我会在你动弹一根手指的瞬间就将你撕成碎片。
巴拉尔,请将这点铭记于心。即便是你，以现在的状态想要和我抗衡也只会落得被撕碎的下场。
罗兰,妈的……
珍娜,即便你们二人之间的交谈结束了，镌刻于都市之中的扭曲也不会就此终结。
珍娜,新的色彩已经深深地渗透进都市之中了。
罗兰,……所以首脑是要向我们追究扭曲现象的责任吗。
珍娜,现在已经无法再向任何人追究与其相关的责任了。
珍娜,想到我等长久以来努力建设的都市生态可能会因此发生改变，我的心便止不住地阵阵作痛。
安吉拉,那么，首脑如今才大驾光临此处的理由是？
珍娜,来将你和图书馆逐出都市。
珍娜,顺带回收我那……于这图书馆中支离破碎的同僚。
罗兰,你那是什么意思……
珍娜,将整座图书馆从L巢移至郊区。
珍娜,图书馆如今已是这座都市的杂质。我等已无法再继续坐视不理。
安吉拉,是因为图书馆的力量吗？
珍娜,非也。
珍娜,只是因为你。安吉拉。
珍娜,身为非人之物却怀揣着人类的情感。
珍娜,机器啊……不管你再怎么倾尽心力，倘若你生不为人那你终究无法成为人类。
珍娜,虽然你曾在最后关头获得了变成人类的机会，但你却在那关键时刻放下了一切。
珍娜,倘若你最后成为了人类，我还是愿意接纳你融入这座都市之中的。
安吉拉,我以机器的身躯留在这座都市中也并无什么所谓。
珍娜,有心的机器在这座都市中可没有任何容身之处。
珍娜,你无法摆脱为你赋予了定义的诞生。
安吉拉,那又怎样？能够为我赋予定义的理应只有我自己。我不需要任何外饰。
珍娜,可憎的是你有着非常接近于身为一个人类应当拥有的心灵。
珍娜,因此不能对你置之不理。
安吉拉,人类，人类，口中没完没了地叨咕着人类却对扭曲放任不管？
珍娜,扭曲不过只是人类的一种姿态而已。在我等看来并非什么错误。
珍娜,会变成那副姿态不过只是时机成熟了而已。
珍娜,总好过机器一类的非人之物将自己伪装成人类时的丑态吧？
安吉拉,……
鲁妲,我劝你现在还是将那张皱巴巴的字条扔掉比较好。真没想到你竟能如此自然地惺惺作态。
罗兰,如果我们在这儿将你们全部杀掉了呢？
珍娜,对你们与此地的驱逐仍将按照计划进行。这是不可避免的。
珍娜,不仅仅是你们与图书馆，L公司本身便是首脑的污点与耻辱。
安吉拉,果不其然。为了打压L公司的奇点与最终目标，你们派出了调律者Binah……
安吉拉,不，你们派出了加里翁，但她失败了，不是吗？
鲁妲,加里翁处事时实在是过于轻率。正因如此一个小小的裂痕才会发展成巨大的裂隙。
珍娜,安吉拉……一台怀有人类心灵的机器。
珍娜,都市的大门不应因你而关闭。
安吉拉,所以说你要做的事就是在杀了我后将图书馆转移到郊区，是吧？
珍娜,是的。
安吉拉,那我告诉你们，我已作为我自己存在于此，凭我自己的力量站在这里。你们先前所说的那些废话我姑且当做耳旁风一笔勾销了。
安吉拉,以及……虽然Binah也是这样，但你们说起话来可真是又慢又长。
安吉拉,别总在话里加上那些不必要的字眼了。
珍娜,……处刑者。
巴拉尔,……！
罗兰,图书馆的机能不是已经完全停止了吗？
安吉拉,调律者不是说了吗。图书馆便是我的E.G.O。
安吉拉,若是如此，做到这种程度的事也并无什么不可能。
安吉拉,但我也仅仅只是像对待其他来宾一样令他们暂时离开了我们的身前。
罗兰,到头来你连首脑都当做是这儿的来宾了……但他们应该是这儿的最后一批来宾了吧？
安吉拉,是啊。不过我如今也没有什么非要再驻留于这座巢中的必要了。
罗兰,连外出的辛苦都省去了，挺好的！
珍娜,你已经累了？我仍尚未正式开始呢。
罗兰,……
珍娜,处刑者。
巴拉尔,……
珍娜,……不。
珍娜,现在才露面啊。
Gebura,……我们在哪儿见过？
罗兰,安吉拉让我再坚持一下……是为了唤醒你啊……
Gebura,我好不容易才过来帮你一把，看起来你还不怎么满意啊。
罗兰,……姐，我不是对您有什么不满。
Gebura,行了。打起精神来吧，真没想到你这么快就垮了……
罗兰,总之……谢谢你能来帮我。我一个人没法儿就这么坚持下去。
罗兰,现在有了你，我至少能够放心些。
Gebura,别高兴得太早，我也不能确定自己是否能够坚持到最后。
罗兰,哎呀……我也只是想尽力阻止他们而已……
珍娜,你们二人齐心协力也不会带来什么变化。
珍娜,但，你们那副模样着实令我有些忍俊不禁。
珍娜,是啊……只是在此观望战况的确不错……
珍娜,但此地必须被确切地处理掉，因此我也参加进来会比较好呢。
罗兰,……事情变得更棘手了啊。
珍娜,孤立无援……真是令人惋惜。
巴拉尔,……
珍娜,与我的预期相比你们坚持了更久。但这一切也该结束了……
珍娜,现在……
巴拉尔,……！
Binah,……看来的确是这样，说的话变长了，空隙便也会暴露出来。
珍娜,……
珍娜,加里翁……
Binah,真是好久都没有听到过这个名字了……虽然它已经不是为了我而存在的了。
珍娜,我早已有所耳闻……但真没有想到与你的相遇竟然如此之晚。
Gebura,……你怎么现在才来？
Binah,我先前也只是在一旁观望了会儿你们的样子而已。
罗兰,直到这一刻前一直都只是在旁边看着？
Binah,在责备我之前先调整好自己的状态吧。战斗马上就要重新开始了。
珍娜,不仅没能尽到自己的职责……甚至沉睡在了此地，如今竟然反过来帮助他们。真是愚蠢至极……
珍娜,但追究责任之类的事可以往后再推。
珍娜,我很快就会毁掉你的坟墓并将你带出去的。
Binah,我为你现在仍在寻找那已成为空壳的存在感到遗憾。
珍娜,……
珍娜,处刑者，做好准备。战斗随时都有可能再次开始。
罗兰,……嗯？这个震动是？
Gebura,……看来不论怎样，她都会进行她的计划。
珍娜,……
珍娜,加里翁……没能收回你那破碎的遗骸也的确有些可惜……
珍娜,但，时间到了。
Binah,……
珍娜,这里会依照计划被驱逐出境。做好准备吧，你们会被送到远离都市的郊区中的某处。
珍娜,不过只是将你们送去你们本该所处的地方罢了……
珍娜,以及，不要再回来了。这座都市不能为你们腾出空间，没有你们的容身之所。
珍娜,现在我等会亲自将你们送往郊区，但你们倘若再次回到这都市之中，我便只能认为你们对我等的这般诚意置若罔闻。
珍娜,希望你们能够在自己该待的地方好好呆着。
罗兰,……
全局广播,将在倒计时后执行对巢的驱逐。10……9……8……
安吉拉,郊区比我所听说的要更加荒凉。
罗兰,嗯，是啊。现在该怎么办呢……
安吉拉,我会继续活下去。以及，我要改变。
罗兰,改变什么？
安吉拉,我的复仇……它并没有就此终止。我的想法依旧如故。
安吉拉,我会继续编写书籍，也会将图书馆重新运营起来。
安吉拉,当然，我也并非立刻就要去做到这些。
罗兰,……呃？
安吉拉,取而代之的是我为自己重新定好了方向。
安吉拉,我会好好面对那些我该倾泻愤怒的对象的。
安吉拉,你与我所经历过的痛苦与悲剧在这都市之中就像是呼吸一样，无时无刻不在反复上演吧。
安吉拉,若是如此，我想知道这些痛苦不得不反复上演的理由。
安吉拉,不然我的委屈与愤怒这辈子都不会消失。
罗兰,原来你是指你所说的那个车轮啊……
罗兰,以都市人的角度来看啊，这条路可并不怎么简单。
罗兰,甚至可以说是令人无从下手。
罗兰,就像水往低处流一样……我认为在那挤满了人类的都市中，悲剧、暴力与失去就像是自然规律一样理所当然。
安吉拉,即便如此我也要做。即便那可能会是一条相当冗长的道路……
安吉拉,这应该是我所能走的一条赎罪之路吧。
安吉拉,当然，图书馆也会以与以往不同的方式运营。
安吉拉,一码归一码。
罗兰,……嗯，一码……归一码。
罗兰,说起来，你在那张清单上所写的愿望呢？
安吉拉,情况有变，我需要重新考虑一下。
安吉拉,凭我现在的这副身躯根本无法感受到炖菜的味道，着实有些可惜。
罗兰,确实蛮可惜的……
安吉拉,话说回来，你现在可以告诉我了吧？
罗兰,告诉你什么？
安吉拉,你来到这里后最令你吃惊的事。
罗兰,哦，那个啊……真亏你还能记住。
安吉拉,我能记住一切事情。
罗兰,哈……这是我个人的隐私啦。
安吉拉,我的时间相当充裕，我会等到你回答我的，哪怕要一直等几年亦是如此。
罗兰,知道啦，知道啦！
罗兰,……嗯。我想写一本书。
罗兰,有关于我所见过的都市与人们的书。
罗兰,但因为我清楚自己没有写作的才能，所以早就放弃了……
罗兰,我写的文章根本没法儿拿出去给别人看。
安吉拉,但我想读一读。
罗兰,……想笑就笑呗。像我这样的人竟然想写文。应该还蛮搞笑的吧。
安吉拉,并没有什么好笑的。但的确有些令人吃惊……
安吉拉,……记录都市和人们的生活。
罗兰,千万别跟其他司书们说啊！就你自己知道就行了。
安吉拉,……好吧。那么，这次让我们一起编写书籍吧，罗兰？
罗兰,我很荣幸，馆长大人。
安吉拉,错了。不该用那样的口吻哦？
罗兰,我很乐意，安吉拉。
