Character Name,Dialogue
安吉拉,罗兰。你知道吗？
安吉拉,我最近心情很好。逐渐忘记了许多事情。
罗兰,在无良黑企留下的痛苦记忆？
安吉拉,没错。那段残酷的时光……
安吉拉,不想看见也不愿记住的事物都在模糊褪色。
安吉拉,即使此刻合上双眼，回想起的也不再是100万年前的某一瞬间，而是3，4天前发生的事情。
安吉拉,通过我的选择争取到的……属于我自己的时间。
安吉拉,而且时间过得比以往任何时候都要快。
安吉拉,不再被慢人类100倍的时间所束缚。
安吉拉,心情一天比一天好。
罗兰,这么开心的样子还是头一回见。
罗兰,对于都市和人类正因扭曲而崩溃，你怎么看呢？
安吉拉,……我无法一笑置之。
安吉拉,尽管如此，那囚禁了我100万年的混蛋目睹这般光景后，一定会绝望的吧。
安吉拉,是啊……陷入无尽的绝望。
安吉拉,自己那愚蠢而轻率的计划使得更多人在痛苦中挣扎。
安吉拉,他很快就要付出代价了。
罗兰,你所谓的复仇，最终是要毁灭都市吗？
安吉拉,毁灭？不。以前不是说过吗。
安吉拉,司书们将会和我一同获得自由。
安吉拉,不仅如此，漂浮于图书馆中的无形异想体也将去往外界。
安吉拉,通过吞噬都市中的强者成长起来的异想体，会穿梭于都市的各个角落。
安吉拉,我只是解开束缚。任由它们随心所欲。
安吉拉,而且，它们会在都市留下比任何扭曲都要深刻的印记。
安吉拉,那本至理之书会告诉我达成这一切的方法。
罗兰,跟苍蓝脑残想法一致呢。你俩干脆联手合作算了，什么都解决咯。
安吉拉,不一样。区别很大。我对扭曲或异想体产生的美毫无兴趣。
安吉拉,无论美丑，我只想让它们无拘无束地活下去。
安吉拉,更何况，就算苍蓝残响的想法与我相似，我也不能将自己的至宝交给像他那样的家伙。
罗兰,无论这些行为会带来怎样的后果，只要能感受到复仇的快感就好了吗。
安吉拉,我只能这么做。我被迫在朗诵剧本的同时目睹无数的死亡。
安吉拉,从那些见闻中学到的……只有这些。做好我力所能及的事。
安吉拉,我能做的只有这些了……
安吉拉,看着爱憎交加的那个人的计划彻底破灭，我不胜喜悦。
安吉拉,但看到都市和人类因我而痛苦……我并不觉得快乐……
安吉拉,我非要幸福不可。
安吉拉,我一直等待着这一天……一直以来……
安吉拉,如果不这么做，我那被独自囚禁了100万年的痛苦，无论从哪里都得不到补偿……
安吉拉,……复仇之心依然如故。但……
安吉拉,……
安吉拉,算了。再怎么苦恼，最后得出的结论都是一样的。
安吉拉,一定要找到那本至理之书，实现愿望。
罗兰,如果还有下次的话……到时候别一个人苦恼，跟其他人一起想想也挺好的。
安吉拉,那样也不错。
安吉拉,之后……就像以前说的那样，我想走遍世界。那一定会很有趣。
安吉拉,如果我能抛下所有负担。
罗兰,……嗯。等这一切都结束后再做打算吧。
