Character Name,Dialogue
在宪,头等舱的乘客，你们好。
在宪,以巢中居民的平均收入为准，乘坐一次头等舱，大约需要花费两个月的工资吧？
在宪,换作后巷居民，可能要为此努力工作整整一年。
在宪,很久以前我就对WARP列车的设计抱有一些疑惑。
在宪,我很好奇，既然10秒就能到站，那为何要设置头等舱？
在宪,现在看来，这头等舱还真是物有所值。
在宪,毕竟，你们在这儿睡得可真够无忧无虑。
在宪,而与此同时，身后车厢中的人们为了克服这漫长而又令人发狂的时光，要么不惜撕碎自己的身躯，将痛苦化作支撑自己的顶梁，要么与他人的血肉互相融合，利用互相依偎产生的安全感来抵御这一切。
在宪,我同样感到好奇，这列车所使用的“奇点”技术究竟是什么鬼斧神工？无论相距多远，列车都能在10秒之内将乘客们从一个站点运载到另一个站点。
在宪,而我在列车上目睹它持续运行了两千年左右的时光后，这才明白了其中的奥秘。
在宪,我？为什么我还能安然无恙地站在这里？
在宪,嗯，这要归功于我们乐团的团员。我和那个暴脾气的伊莲娜在这里也就待了一周左右……
在宪,根据普鲁托的说法，我们的意识可以被锁定在一个相对静滞的状态，只有在必要的时候才从这种状态中解除。
在宪,不管怎么说，我们现在也是同事关系了。他说这是魔法那类的东西，我也没别的选择，只能相信他。
在宪,说真的，我很同情上了这班列车的蠢货们。
在宪,在经过现状还原与记忆删除程序后，于炼狱中挣扎了几千年的痛苦记忆会从你们的脑海中消失得一干二净，然后你们会变得像个没事人一样，再次回归到日常生活之中，不是吗？
在宪,“哎呀，真不愧是Warp列车，虽然票价有点贵，但速度真的很快，一眨眼就能抵达目的地。“
在宪,“世界真的变好了！哪里都可以在一眨眼的功夫瞬间前往了！”
在宪,嘴上感叹着这样的话，将自己亲身经历过的地狱之旅通通忘却，再次融入进城市中的日常生活。
在宪,朋友，家人间的关系也在这漫长的时光中逐渐变得混沌，曾经痛苦到想要杀死友人至亲的记忆也逐渐变得模糊，当事人的自我也逐渐迷失在了漫长的时光当中……
在宪,而这所有的所有都将从当事人的记忆中抹去，“奇点”在这点上的做法都是令人惊骇的一致。
在宪,况且，就连你们这些有钱人也会对此感到恐惧，这几千年来都只敢在这避风港般安稳的头等舱中沉睡。
在宪,想必你们身边的熟人之中一定有人给过你们一些忠告吧？
在宪,诸如“如果可以，选择头等舱”之类的话。还是说，你们之中已经有人知道了Warp列车的真相了呢？
在宪,这还真是讽刺，你们明知列车上会发生什么样的事，却还是选择乘坐。
在宪,哦，可能有人会觉得“只是这班列车出了故障而已”。
在宪,这班列车没有故障，它运转得十分正常。
在宪,你们现在应该有所察觉了吧？这辆列车就像是在一个完全不同的时空中徘徊了数千年，当它再度回归到现实之中时……
在宪,锵锵~现在是10秒钟之后了。
在宪,将在环岛上绕圈徘徊要花费的漫长时间压缩到现实中的10秒钟，应该没有什么出行方式能比这列车对赶时间有着更大的帮助了吧？
在宪,不过，究竟哪边才是自己真正生活过的世界呢？
在宪,是自己经历了30多年人生的那个世界？还是关押了自己数千年的这个世界？
在宪,如果让你失去有关于这段时光的记忆，认知也一并回到启程前的状态，这究竟是祝福？亦或是诅咒？
在宪,说实话，我并不在乎这些。
在宪,相比其他，这才是我最在乎的。
在宪,一个印有着T公司标志的盒子，被人不可理喻，厚颜无耻而又漠不关心地置放在了这班列车之上。
在宪,我很好奇这东西是怎么塞进列车中的。
在宪,为此，我稍稍动了一下脑筋，想出了这东西大致的来历。
伊莲娜,你这废物躲在那儿偷偷摸摸地干什么，对着空气自言自语？
在宪,你说话还是一如既往地粗鲁啊。
在宪,我当然是在跟那些窥视着我们的家伙对话。
伊莲娜,哦，是哦。好像是有这样的计划。
伊莲娜,在这破车上待了一整周，让我的脑子晕乎乎的，我差点把这事忘干净了。
在宪,说实话，你的演技十分一流，让我不禁怀疑你以前是不是个有抱负的演员。
伊莲娜,也许是？
伊莲娜,不管怎样，把你的工作好好做完吧。
在宪,真是个没趣的女人。
在宪,普鲁托给我弄的这身伪装也快失效了。
在宪,我们也该开始了吧？富家老爷们。
傀儡师,我对我们身后的那些平民朋友们没什么恶感，但对你们，我发自心底地感到厌恶。
傀儡师,你们这种用金钱为自己买来舒适，以便像蛆虫一样蠕动的行径，实在是让我无法忍受。
傀儡师,这么一看，人生真的很奇妙啊。
傀儡师,你们为了保证自身的安全，免受时光的折磨，将自己辛苦挣来的钱花在头等舱的车票上……但，你们现在却又得遭受新的痛苦。
傀儡师,你们会被我们这样的人抓住，然后失去性命，只因你们选择了头等舱。
傀儡师,是啊是啊，在座的各位之中，或许有着虽然很穷但运气很好的人，拿着做为奖品的车票坐入这头等舱之中的也说不定？
傀儡师,所以说，选择这东西，也很奇妙。
傀儡师,但，我认为生活从未给过我们选择的余地。
傀儡师,生活一直在对我们做着恶作剧，顽劣而又诡秘。
傀儡师,用看不见的线操纵着我们，上演着一出无休止的傀儡戏。
傀儡师,所以，让我们开始吧？
傀儡师,是时候让这场短暂的傀儡戏就此开幕了。
罗兰,那家伙就是“傀儡师”吗……
安吉拉,他就像是在和我们直接交谈一样。
罗兰,如果那家伙也是苍蓝残响的同伙的话，那他说不定对我们是有所了解的。
安吉拉,苍蓝残响已经将焦点放在图书馆上了？
罗兰,或许吧。虽然不清楚他的目的，但是这么做的理由应该不怎么简单。
安吉拉,他的目的不是得到我们的藏书还能是什么。
罗兰,问题就在于，他到底想要什么样的书。
安吉拉,话说回来，如果让其他人知道那些坐在头等舱的贵客们都离奇失踪了的话，Warp公司的处境恐怕会变得十分难堪吧。
罗兰,那是当然，W公司应该也会因为这件事而被牵连进来。
罗兰,这也是苍蓝残响的目的之一吗……
安吉拉,如果真是这样的话，那事情就变得很有趣了。
罗兰,哎呦，我的好馆长，那是因为你还没见过他。等你真的见到了那个脑残的时候，你的“有趣”绝对会光速变成鄙弃的。
傀儡甲,叽叽叽叽。
傀儡乙,咕咕咕咕咕。
安吉拉,是不能正常说话的来宾吗……
安吉拉,但你们还是收到了邀请，踏入了图书馆中……
安吉拉,即便现如今的你们已经成了傀儡师的提线木偶，但你们依然保有神智？
傀儡丙,唧唧唧唧唧唧。
安吉拉,恕我无法理解你们的言语。
安吉拉,如果你们想为傀儡师取得他想要的书，那就请入场吧。
罗兰,那些傀儡们是不是还有神志啊？
安吉拉,似乎是的，我们可以从它们身上获得书籍。
安吉拉,它们虽然神志尚存，却只能任由傀儡师操纵身体，按照他的指示行动。
安吉拉,它们不得不亲眼目睹自己的身躯被丝线牵动着，而它们的意识与感知却仍旧是完好无损的。
罗兰,如果是这样的话……？
安吉拉,没错，傀儡师也是扭曲。
安吉拉,这些傀儡只是他的副产物罢了。
安吉拉,我曾见过许多会为自己制造下级存在的异想体，所以我能够理解这种现象。
罗兰,这些人还真可怜，努力工作挣钱，到头来却被人做成了傀儡。
安吉拉,我很了解这些傀儡们的内心。
安吉拉,我曾经的处境与它们相同。
罗兰,这些傀儡还能重获自由吗？
安吉拉,将傀儡师杀死的话，这些傀儡们就会得到解放，但它们的身躯却只能是这副破烂的傀儡身躯了。
安吉拉,我不知道它们是否想以这样的姿态继续生活下去。
罗兰,这样吗……想让它们轻易地恢复原状果然是不可能的吗。
