Character Name,Dialogue
皮埃尔,嗯……这块不行，这块也不行……唉，怎么没一块是我满意的！
杰克,嘿哟，皮埃尔~今天给你挑了几个新鲜的。
杰克,虽然伤得很重，好在还没断气。
杰克,哟，你在忙活什么呢？开发新菜单吗？
皮埃尔,杰克呀~快来！
皮埃尔,菜单还是那些老花样啦，只是最近食材不大够了呢。
皮埃尔,多亏了我英俊又可靠的杰克，暂时不用担心这些啦~
杰克,食材怎么会不够？
皮埃尔,“不来梅乐队”那帮人不再给我们供货了。
杰克,那些怪胎本来就捉摸不定。
杰克,“贪吃小猪”那边呢？
皮埃尔,那边也一样……
皮埃尔,还是用老法子吧，靠我俩拯救这家餐厅。
杰克,恐怕要告诉你一条坏消息，我们常去的那条街被封锁了。
杰克,那里现在由……“Zwei协会”负责治安维和。
皮埃尔,那就只好另找一条进货渠道了！
皮埃尔,在此期间，我就积极尝试一下新食材吧。毕竟一直以来我都在拿一些年轻的小鲜肉做菜。
杰克,可惜了……皮埃尔的大肉派真的很好吃……
皮埃尔,嗯呐~就算可惜也没办法啦，失去这么多提供上好肉料的供应商，继续坚持传统的做法肯定行不通。那些美食家一口就能尝出我们的食材质量大不如前了。
杰克,皮埃尔的目标是成为“8大主厨”的一员，对吧？
皮埃尔,没错！“8大主厨”可是照亮都市的“都市之星”呀。
皮埃尔,他们的菜品总能给食客带来拍案叫绝的美味！
杰克,话说回来，你打算尝试哪种新食材呢？
杰克,上了年纪的虽然肉质很烂，但好在易于购买，而且也有人好这口，总得来说好坏参半吧。
皮埃尔,我可不想模仿那些折中妥协的餐厅，我要追求不一样的口味。
皮埃尔,你知道图书馆哇？听说那里有怪物出没哦？
皮埃尔,虽然只是都市怪谈，但平时除非我们亲自跑一趟“郊区”，否则很难搞到怪物肉吧？
杰克,哦嚯……说得我也有些期待了……
皮埃尔,是哇？悄悄跟你说，不久之前我收到了图书馆的邀请函哦。
皮埃尔,我要做出能和“8大主厨”相媲美的味道，给那些美食家一个大大的惊喜！
皮埃尔,杰克呀，你愿意相信我，跟着我走哇？
杰克,那是当然，不过今天拿来的食材该怎么处理？
皮埃尔,啊，对哦，那些就先做成肉酱吧。
皮埃尔,给他们打上麻醉剂和阻断剂后扔进搅拌机里，趁肉质最新鲜的时候装罐哟。
杰克,肉酱~那敢情好啊……
皮埃尔,嗯哈！我就知道你会喜欢的！
皮埃尔,啊，以前提醒过你的，不要先放头啦，先放腿，让他们活得越久越好。否则就没必要浪费麻醉剂和阻断剂了。
皮埃尔,……如果死得太快，味道可就没那么好了。
安吉拉,看来在后巷吃人是一件稀疏平常的事？
罗兰,有很多充满恶趣味的疯子喜欢这么干。
罗兰,但在后巷，吃人仍是一种禁忌，没有哪个蠢货会大摇大摆地宣称自己吃过人。
罗兰,反倒是那些有钱人经常出资购买人肉。
罗兰,然而……23区是个例外。
罗兰,那里的居民不择手段，一心追求极致的美味。
安吉拉,看来后巷的每一部分都有各自的特点。
罗兰,后巷环境的好坏很大程度上取决于翼和巢制定的方针。
罗兰,尽管绝大多数后巷都会被忽略不计。
安吉拉,人肉真有那么好吃？
罗兰,鬼知道，咱也不敢想，咱也不敢吃。
罗兰,那里的食材都是遭绑架的活人，绑来之后立马就烹了。
罗兰,美食家们似乎把这种残忍的手段视为增味剂……
罗兰,按他们那套说法，活烹的时候食材越痛苦，菜品的味道就会越丰富。
安吉拉,人类竟会成为人类的食物。
皮埃尔,嗯哼~这是从未闻过的味道~
杰克,这味儿我可不喜。
皮埃尔,杰克呀，陌生的味道会激发全新的灵感，明白了哇？
杰克,行吧行吧~
安吉拉,各位来宾，欢迎你们的到来。
安吉拉,我是图书馆的馆长兼司书，安吉拉。
皮埃尔,哇嗷嗷嗷嗷嗷呜~这质感，这光泽，是顶级的食材……
杰克,虽然看起来像一流的食材，不过……皮埃尔？
皮埃尔,我知道的啦，可惜这位并不是人。
皮埃尔,所以我才会这么兴奋哇！嗯哼~不知道她会是什么味道~
安吉拉,这位来宾，恐怕您无法伤我分毫。
杰克,真有胆说，不试试怎么知道。
皮埃尔,等等，杰克，要有礼貌哦。她是邀请我们到这个好地方来的人，是哇？
杰克,哦，对……这位女士，抱歉我失礼了。
皮埃尔,那么，邀请我们的安吉拉女士？请问我们可以入场了哇？
安吉拉,愿您找到想要的书。
罗兰,呕，呵呵，一群疯子。最好不要和他们这种人来往。
安吉拉,至少他们比你懂礼貌。
罗兰,教给单纯的司书女士一个后巷生存的基本常识！
罗兰,当你在后巷遇见一个彬彬有礼的人时……赶紧撒丫子逃命吧！
罗兰,并非所有疯子都懂礼貌，但懂礼貌的家伙往往都是疯子。
安吉拉,那不就和礼貌与否无关了？
罗兰,所以！第二个常识！
罗兰,疯子在人群中总是以一定比例存在，用特定的标准来辨别他们是没有意义的哟。
安吉拉,一派胡言。
