Character Name,Dialogue
阿尔加利亚,朋友们……兴奋之余，还请不要操之过急嘛。
阿尔加利亚,我的友人已经快要哭得晕过去了……
阿尔加利亚,塞尔玛……塞尔玛……可怜的朋友呀……
阿尔加利亚,也不要如此无病呻吟嘛。
阿尔加利亚,还没到有趣的部分呢。
津,嚯嚯嚯。有这股呛人的烟在，不该觉得有多疼吧？
津,老王，这小子是真怂了呢~
王,可不是嘛。嚯嚯嚯。现在只割了1347片而已……
王,慢着……苍蓝老兄要咱割多少片来着……
阿尔加利亚,就算是朋友，违反约定的塞尔玛也是罪孽深重呢……
阿尔加利亚,1万片左右吧？
王,好嘞，那就交给俺喽？
津,喔喂，小美！你这家伙！！甭把割下的肉片全吃掉啊！！！
美,哎呦~耳朵儿都快炸咧！反正不都是拿来吃的蛮？
王,安喽~这边儿还有的是，莫要担心。
王,咱几个朋友这么多张嘴……俺可得一片片切好喽。
阿尔加利亚,塞尔玛……别摆出那种表情嘛。我俩之间的交易，你是知道的呀。
阿尔加利亚,办事虎头蛇尾可不行哟……
美,苍蓝大哥，这朋友有话要讲……怎么说，给他松口？
阿尔加利亚,嗯，解开吧。
塞尔玛,嗬……嗬呃……嗬啊……
塞尔玛,苍蓝残响……你个……混账疯子……
塞尔玛,开什么玩笑……那种事情根本就不可能办到……！
阿尔加利亚,哈……只利用南部2科是塞尔玛的选择吧。
阿尔加利亚,1科也可以利用啊。为了保住自己的位置绞尽脑汁想要处理掉2科，结果塞尔玛没能遵守和我的约定呢。
塞尔玛,你！！！明明是你让我利用2科的啊！！！
阿尔加利亚,我可从未说过要利用2科哟。
阿尔加利亚,我只不过是要你在限期内处理完清单上的东西。你同意了。
塞尔玛,……无耻混账。你杀了我这个分部长，南部1科和协会本部自然不必多说……
塞尔玛,就连하나都不会善罢甘休的……
塞尔玛,所以……拜托……！
塞尔玛,再给我一次机会……
阿尔加利亚,塞尔玛……直到最后，你都没有就违反约定一事向我道歉呢。
阿尔加利亚,真是令人痛心啊。还有，如果你在担心我，那大可不必。
阿尔加利亚,朋友们，这里是哪儿？
王,后巷唷。叫啥来着……23区？
津,哟呵？这小子还不晓得现在是深夜吧？
美,哎呦铁定不晓得咧！眼珠子被蒙起来了嘛！
王,对喽对喽。
塞尔玛,……后巷深宵？
阿尔加利亚,没错。所以没人会知道您将在何处以何种方式死去。
阿尔加利亚,慢慢地自都市中消逝……不是么？
艾琳,定然如此，阿尔加利亚先生。
阿尔加利亚,嗯！那么照计划执行吧，朋友们。
塞尔玛,……对不起！非常抱歉！
塞尔玛,万分抱歉……咳咳……我为我的失约向您道歉……
阿尔加利亚,……
王,苍蓝老兄，咋办噢？
美,就这么地喽？
阿尔加利亚,塞尔玛……
塞尔玛,是！阿尔加利亚大人……这一切都是我的过错。再……
塞尔玛,请再给我一次机会！我会削发谢罪！以示诚意！！
塞尔玛,我今后再也不会失约了……！
阿尔加利亚,啊~塞尔玛……
阿尔加利亚,我眼泪都快流下来了……
阿尔加利亚,就算真心诚意地向我道歉，你也不可能免于一死那。
阿尔加利亚,虽然知道是个不尽人意的朋友，也未曾想过能到这个地步。
阿尔加利亚,不过……我会接受你的歉意。
王,来来，啊~把嘴堵上喽~
塞尔玛,啊啊啊啊啊啊！！！操！！！你这狗娘养的！！！
美,莫哭丧个脸嘛~笑着活下去蛮。
津,老兄，之后咋整？
阿尔加利亚,处理结束后前往图书馆。我把邀请函放在这了。
阿尔加利亚,塞尔玛就麻烦各位多加关照喽。怎么说我们也是多年的老朋友嘛。
王,嚯嚯。您就放一百二十个心吧，一路顺风唷~
阿尔加利亚,那么，艾琳。我们去见见其他朋友吧？
艾琳,嗯，乐意之至。
罗兰,把之前见过的齿轮教团教主完全吸纳成自己人了……
罗兰,唉……那个疯子……
罗兰,身为收尾人，却能把扭曲和笑面当成手脚来使唤……
安吉拉,特色果真很强？
罗兰,确实。因为他们是1阶收尾人中最为出色的收尾人。
罗兰,被하나协会赋予了专属的色彩。
安吉拉,被赋予色彩……
罗兰,你可以把他们当成数一数二的收尾人。
罗兰,收入自然也是非常可观。
安吉拉,那苍蓝残响就是被赋予了蓝色的收尾人吧。
罗兰,没错。是像殷红迷雾一样被赋予了色彩的收尾人。
安吉拉,他和殷红迷雾一样强？
罗兰,哈，单说能打这点，应该是殷红迷雾更强一些。
罗兰,但收尾人的工作往往涉及到许多领域，有着各种不同的状况，倒也不能轻易断定。
罗兰,殷红迷雾是单独行动的，但那个苍蓝残响，如你所见，率领着一支都市梦魇级的帮派。
安吉拉,若是我们需要苍蓝残响的书籍，是否有可能得到？
罗兰,总能想办法弄到手的。那种疯子就该从都市里消失。
津,哎哟~这可真是别有洞天嘛~
美,莫穷盯一处撒！身在虎穴可要眼观八方。
王,呼~咻咻，馆长也该现身了吧？
安吉拉,各位来宾，欢迎你们的到来。
津,很高兴见到你~
王,你这儿有柳真的书不？
安吉拉,正是如此。
王,哟呵？还真有呢。俺实在怕了那苍蓝老兄喽。
津,可不是嘛，就照那老兄的吩咐办事吧。
安吉拉,……愿您找到想要的书。
罗兰,那个苍蓝脑残到底在寻找什么……
安吉拉,有什么头绪吗？
罗兰,太多了，反而缠成一团乱麻。
罗兰,那个精神错乱的变态可是会理所当然地做出超乎想象的事情。
