Character Name,Dialogue
雷恩,大姐，你有没有看过T公司发来的消息？
奥尔佳,嗯……嗯？消息，啥消息……
奥尔佳,呕，好想吐……
美香,昨晚你大姐和同一条巷出身的亲友办了场酒会。
美香,听说她们包下一家酒吧，整整嗨了一宿。
雷恩,唉……这次又喝了多少？
奥尔佳,呀雷恩，我酒还没醒头正痛着呢，要说教也不是现在哈，过一小时再说，成不？
雷恩,还有这是什么？这张发票上写着……
雷恩,你居然挪用我们事务所的公款吃喝……
广播,一如既往，感谢您选用WARP服务。
广播,UW-212号WARP列车即将出站。
广播,请上车的乘客提前做好准备。
美香,马上就轮到我们了。
奥尔佳,哎~每次登上WARP列车，总会让我觉得胃里一阵一阵的。
雷恩,只求你不要像上次那样在车厢里瞎胡闹。
美香,话说回来，这次的委托方你们绝对猜不到是谁，竟然是R公司。
雷恩,R公司还有委托别人办事的时候……？那得是多危险的委托？
雷恩,说不定，只是拿我们这种没什么名气的事务所当炮灰探路用的吧？
奥尔佳,那啥，看看委托方的署名是哪位？
雷恩,兔子队长？
奥尔佳,哼哼哼嘿嘿………
奥尔佳,你们是不是觉得，大姐我就是个成天无忧无虑的醉鬼？一切可都在我的计划之中哟？
雷恩,您老又开始了。
奥尔佳,啥叫又开始了，那个阿缪呀可是我的老相好，咱俩昨晚还一块儿喝过酒呢！
美香,你是说……
奥尔佳,阿缪说，她能帮我搞来一份轻松愉快的委托，而她呢只要一丁点儿抽成就好。
雷恩,难怪这位大姐宿醉了还这么理直气壮。
奥尔佳,哎~我当时心里那叫一个乐呵，就拿咱们事务所的钱好好款待了她~
雷恩,你那位叫缪的朋友信得过吗？
奥尔佳,哎~虽然她的性格真他妈烂得可以，但熟络了你会发现，这姑娘其实蛮不错的。
雷恩,如果这一趟又是你酒后说疯话，我可是会诅咒你一辈子的哟？
广播,请各位乘客有序登上UW-212号WARP列车。
玛丽,……哇~难得有机会出来休假，真棒呀。
汤咪,……这还是我们头一回坐WARP列车，应该不会出什么事吧？
玛丽,想太多了啦亲爱的，每天都有这么多人使用WARP服务，没问题的~
