Character Name,Dialogue
贝塔,清道夫的味道、在带来惊喜这方面、从没让我失望过？
伽马,总是、以新的方式、令人作呕吗？我从没想到、会有这么多种、污秽的味道。
贝塔,这让我想起、以前吃的、收尾人的味道。很柔软吗？我当时、吃得很开心。
伽马,肉质很硬，难以食用，但很好吃吗？能织出、优质的丝绸。我非常满意。
阿尔法,我们必须、再食用清道夫、整整一周。
贝塔,因为、我们必须、纺织更多丝绸吗？
阿尔法,这是，食指给出的“指令”。
伽马,如果，清道夫的“嬷嬷”、在我们完成前行动了，该怎么办？
阿尔法,我们继续狩猎。还有飨宴？我们必须纺织。
伽马,大概明白了？我在想，如果清道夫开始报复，我们有没有、应对计划。
伽马,如果他们、铁了心想吃掉我们，那我们应该、收手吗？
贝塔,清道夫们、现在静下来了吗？我不知道、为什么会这样。
阿尔法,食指在、监视我们。我们只需要、纺织指令规定的面料吗？
贝塔,食指没有、其他指令了吗？
阿尔法,大概没有？不用担心，食指是、很好的朋友？
阳,谢肉祭的各位，你们好。
阿尔法,你好？
贝塔,你好。
伽马,是“传令员”吗？你好。
阳,嗯~感谢各位的问候。
阳,我来向各位传达新的指令。
贝塔,……前往图书馆吗？
阿尔法,你还带着、其它文件吗？这并不是指令。
阳,说得没错，这张是图书馆的邀请函。按指令所说，这是必需品。
伽马,我们必须去、图书馆吗？
阿尔法,我们必须、捕食清道夫、纺织面料。
伽马,我们能吃掉传令员吗？
贝塔,会很美味吗？也许能、织出优质的丝绸。
阳,……恐怕不行，各位必须遵从指令。
阳,想必各位还想保住自己的丝绸织造工作吧？
阳,一旦违抗指令，那么“代行者”们会亲自登门拜访。
阿尔法,指令对于我们来说、是优先度最高的吗？
伽马,如果我们违反规定，指令不会、轻易饶恕吗？
阳,……
贝塔,或许图书馆里、有可以纺织出、新型丝绸的材料？
阳,既然指令已经传达到了，那我也该走了。
阳,……我明白各位在想什么，但请时刻牢记在心，不遵从指令的话将会面临什么样的下场。
銀,……不好意思，打断一下，我们是来拿面料的。
阳,你们好~是拇指麾下的“黑云会”吧？
阿尔法,黑云会的各位好？
紗世,我们来取拇指委托的“诺沃面料”，酬金就在那个袋子里。
紗世,我可是听说……不久之后就要“拉勾”了，食指的人还真是明目张胆呢？
銀,大小姐，我们该怎么做？
紗世,虽然只是一个小传令，可他仍是食指的直属人员……照理来说，我们不是对手。
紗世,不过既然传令孤身一人，这反倒是个机会。
阳,……是的，我的职责就是传达指令。
楊,嘻，食指还是那副鸟样嘛。
阳,……
紗世,……好吧，既然生意做完了，那我们就各走各的道吧。
紗世,谢肉祭前去图书馆，我们取走布料，至于这位传令先生嘛……他自有去处。
安吉拉,他们是专门从事布料生产的组织？
罗兰,没错，质量上乘的布料在都市中极其珍贵。和帮派，收尾人一样，裁缝也是相当重要的角色。
罗兰,那些家伙好像是躲在暗处行动，通过吃人来纺织面料……
安吉拉,那有什么特别的，不就是块破布？
罗兰,欸呦，怎么能说是破布呢？看来你一直没意识到啊。
罗兰,都市里的许多强者向来身着轻便的服装，从不佩戴任何护具，这是有原因的。
罗兰,你应该已经从某些来宾那里见识过了，他们身上穿着的可不仅仅是普通的衣服。
罗兰,优质的面料能像身体强化手术那样提供绝佳的防护效果。
罗兰,而最高档的面料是你花再多钱都买不到的。
罗兰,那种面料只有想办法挤进工坊或裁缝的公会才有可能整到。在这座都市，有些东西被卷入了一个复杂的利益网中，比如名声和物资，只靠金钱可没法搞定。
安吉拉,说了这么多，我还是没听明白。
罗兰,哎，比起那个……我们一起闭上眼睛许个愿，怎么样？
安吉拉,这又是为何？
罗兰,但愿指令不会盯上图书馆。
安吉拉,好吧……闭上眼睛许愿即可。
罗兰,……你还真这么做了？
安吉拉,为了不再听你说那些没用的废话，我觉得应该这么做。
罗兰,唉……如果指令盯上了图书馆，我还真不知道会变成什么样。
罗兰,到时候，五指之一的“食指”会两眼冒火地跟在我们后头，不顾一切地上门找茬。
安吉拉,食指？
罗兰,那是支配后巷的5大帮派之一。
罗兰,之所以这样称呼，是因为它们正如字面意思那般将整个后巷掌握在手中，简单易懂。
罗兰,总而言之，五指的势力和影响力足以跟翼匹敌，真被他们盯上可没什么好果子吃。
罗兰,而食指简直就是一群狂热分子，他们痴迷于被称为“指令”的规定。对他们而言，指令就是……
安吉拉,某种必须遵从的东西？
罗兰,没错，指令必须被执行……
罗兰,再加上拇指麾下的帮派似乎也被卷了进来，希望事情不要闹得太大。
安吉拉,无妨，无论来者是谁，我都会认真迎接。
伽马,肚子饿了。想吃东西？
阿尔法,可以织造、新型的线。兴奋吗？
安吉拉,……各位来宾，欢迎你们的到来。
阿尔法,你好。
伽马,你好？
贝塔,你好。
贝塔,可以食用。纺织出美妙的丝绸吗？
伽马,能织出、美丽的、蓝色丝绸吗？
阿尔法,她看起来、比清道夫、还要难吃吗？
伽马,真的吗？看上去、不像人类。
贝塔,现在想吃、美味的东西吗？厌倦了，恶心的食物。
安吉拉,唉……
安吉拉,我是图书馆的馆长兼司书，安吉拉。愿您找到想要的书……
阿尔法,好简短的问候。
伽马,而且很没诚意？
贝塔,这就消失了。
罗兰,筋疲力尽？厌倦。想要休息？肚子饿了。想离开这里？
安吉拉,想被大卸八块？溶掉骨头。让你肌肉爆炸？还不会死掉。
罗兰,抱歉抱歉，我不皮了。
安吉拉,那么，你觉得今后会发生什么？
罗兰,照这趋势，我敢保证总有一天我们会跟手指打上照面。
罗兰,迄今为止，我们听说过拇指和食指……不过说句实在的，不管碰上哪根都会让我们相当头疼。
安吉拉,我很期待。
罗兰,是~反正脏活累活都是我来干。
安吉拉,可想而知，我很感谢你为我所做的一切。
罗兰,好~好~让我们再接再厉吧！
