Character Name,Dialogue
？？？,依你之见，在迷雾中崩塌的巢最终会落入谁人手中？
？？？,二老板，请恕我无法预测。我们已许久未被卷入此等规模的流血事件。
？？？,但我们绝不容许“食指”抢占核心位置，这一点毋庸置疑。
？？？,说得好……至少“中指”，“环指”和“小指”皆已无暇顾及这场争斗，可谓开了好头。
？？？,您是否听说过，那座最近被定级为“都市传说”的图书馆？
？？？,它和我们关注的巢似乎存在紧密关联。
？？？,说来听听。
罗兰,看来我们要逐渐步入热潮了！
安吉拉,热潮？
罗兰,照现在的速度，不久之后图书馆的评级就会被하나协会从“都市怪谈”提升为“都市传说”。
罗兰,低档的都市怪谈充斥着都市的各个角落，虚虚实实真假难辨。
罗兰,一旦追根溯源，你会发现绝大多数都市怪谈比想象中的还要没劲。
罗兰,也就是说，只有当都市怪谈变得有趣时才有资格成为都市传说。
安吉拉,又在拐弯抹角了。
安吉拉,你的意思是，协会指定的等级提升后，我们能用更有价值的情报招引到更高级别的宾客？
罗兰,就是那个意思！当人们开始谈及都市传说，就会慢慢意识到我们是真实存在的现象，我们有关注的价值。
罗兰,在我年纪还小的时候，我奶奶经常讲起各种各样的都市传说，听得我一宿睡不着觉。
罗兰,唉……又想起那段不堪的过去了。
安吉拉,想起家人了……？
罗兰,是啊，虽然现在一个都不剩了。
安吉拉,你没有家人？
罗兰,身边一个人都没了，我是被奶奶拉扯大的。
罗兰,父母不知道是怎么死的，后来有一天连奶奶也消失了。
罗兰,还有……算了，没什么特别的。
安吉拉,你还想说什么？
罗兰,别在意，你说过你的目的是找到那本带来自由的书，对吧？
安吉拉,没错，我要获得离开这里的自由，能随心所欲活下去的自由。
安吉拉,还有忘掉这一切的自由……
罗兰,那么，你收集这些书的唯一目的就是寻求完整的自由？
安吉拉,只说对了一半。
安吉拉,长久以来我被深埋在地下，对于外界我只能收集到零碎的信息。
安吉拉,同样的故事被我反复观摩了一遍又一遍。
安吉拉,现在我想听听新的故事，见见新的面孔。
安吉拉,所以我想要一本包含世间万物的书。
安吉拉,与此同时，我要实现我的复仇。
罗兰,复仇？……关于什么的？
安吉拉,向把我变成这副模样的那个人复仇，向这个世界复仇。
安吉拉,只有彻底摧毁那个人的梦想，我的自由才能变得完整。
罗兰,如果我们继续跟随红色邀请函的指示走，最后就能实现你想要的自由和复仇？
安吉拉,准确地说，它会指引我找到那本实现自由和复仇的书。
安吉拉,虽然不知道我的愿望会如何实现。
安吉拉,那本能完善我和这座图书馆的唯一之书……
安吉拉,它记载着我渴望了解的一切，只要找到那本书，所有疑问都将迎刃而解。
罗兰,等等，别告诉我这就是你的计划？只是找到那本书？如何获得自由你一点头绪也没有？
安吉拉,我唯一确定的是，在这段旅程的末尾，我将成为完整的存在。
安吉拉,图书馆拥有无穷无尽的空间，只要我愿意，它能提炼存放无数宾客的书。
安吉拉,然而，如果没有明确的目的，只是一味收集充满废料的书，那么效率未免会太低。
安吉拉,所以正如我之前所说，邀请函将为我指明通往唯一之书的道路。
罗兰,假设你以某种方式得到了那本书。
罗兰,但你并不知道那本书会以什么形式让你变得完整？
安吉拉,我不在乎，只要能看到结果我心满意足。
罗兰,真是可怕的执念啊。
