Character Name,Dialogue
？？？,关于“扭曲现象”，还有没有更多来自“하나协会”或“Zwei1科”的报告？（注：하나-韩语中意为“一”，读作Hana）
？？？,没有了，科长。我会紧密跟进后续情况。
？？？,不过高层提名了数个嫌疑目标。
？？？,其中包括“都市恶疾”——“梦之洗衣店”和“昨日之约”，以及“都市传说”——“齿轮教团”。
？？？,哼……调查进展得并不顺利，我说得对不对？
？？？,啊，最近被定级为“都市怪谈”的“图书馆”也在候选名单中。
？？？,高层的脑袋就是一团浆糊，只会胡猜乱想，我说得对不对？
罗兰,倒是慢慢习惯整理这些书了。
安吉拉,你为什么愿意乖乖帮我的忙？
罗兰,哈？当初是谁口口声声说如果我不帮忙就把我做成爆米花机的？
罗兰,再说了，我一个人也没法离开这里。
安吉拉,怎么，你以为我不知道受恐惧驱使的人是什么模样？
安吉拉,我曾观察过无数在惊恐与绝望中挣扎求生的人。
安吉拉,根据以往的经验推断，你会帮助我绝非因为你害怕丢掉小命。
罗兰,你以前究竟是做什么的……
罗兰,实话实说吧，我也想打探一些有关这里的事。
安吉拉,比如？
罗兰,你说过，在收集这些书的同时，你将获得一本至理之书。
罗兰,那么，在收集书的过程中我也能碰上一些新奇有趣的事吧。
罗兰,反正现在出去也没什么意思，只是继续一贫如洗的底层收尾人生活罢了。
罗兰,最重要的是……有一件事我或许能在这里找到答案。
罗兰,希望如此吧，所以我愿意留在这里帮你干活。
安吉拉,看来我们的利害关系一致。
安吉拉,那好，正如我在利用你一样，你也可以随意利用我。
安吉拉,但如果你敢动歪脑筋，我就杀了你。
罗兰,说得那么吓人……
罗兰,你怎么翻脸比翻书还快？以前发生过什么吗？
安吉拉,最好不要打探我的过去，否则这次我慢慢溶掉你的四肢。
罗兰,当我没说……
罗兰,呃，馆长大人？我有一个问题，可以问吗？
安吉拉,我警告过你，最好不要挑会让我杀了你的问题。
罗兰,这里的司书到底是什么？他们好像不是人……
罗兰,感觉也不像是机器和人造生命。
安吉拉,他们曾是被这所设施利用的“异想体”和“职员”……
安吉拉,而现在，他们是与我无异的存在。
安吉拉,在还是人类的时候被肆意利用，失去价值后被随意抛弃……
罗兰,现在好像还在被你利用……
安吉拉,他们已经支离破碎，脆弱不堪，随时都有可能消失。我只能用书和人类的肉体将他们紧紧连接在一起，勉强维持住他们的形态。
安吉拉,我唯一能做的，就是找到那本让我和司书获得自由的书。
罗兰,你想把那些司书全都送去外面？
安吉拉,如果不这么做，不仅是我，连你也不能出去。
安吉拉,我在复原你的身体时，也使用了同样的力量。
罗兰,呵……呵呵呵。
安吉拉,你只需记住一点。
安吉拉,收集宾客们带来的无数书籍，终将获得那本包含世间万物的至理之书。
