Character Name,Dialogue
？？？,塞尔玛，你可是多亏了我才能保住这南方分部长的位置，那么你也是会为此支付些报酬的，不是么？
？？？,我懂，这就是我们的交易。
？？？,这次你想要什么？
？？？,麻烦您让手下那群小家伙们处理一下这条清单上的东西。或许要不了多久，我就能将其定位了。
？？？,……净是些疯狂的委托。
？？？,罢了，像这种烂摊子……
？？？,2科不正是最合适的人选？
？？？,没错。
？？？,是吧？我一直都是非常为塞尔玛你着想的呀。
？？？,被하나协会定级为“都市恶疾”的图书馆也在清单上……
？？？,图书馆可是我现在相当在意的地方呢。
安吉拉,罗兰。
罗兰,嗯？啊！！？
安吉拉,正如你之前所说，今后为了应对各大帮派乃至翼的来宾，我们要更加切实地做好准备。
罗兰,这是我来这儿之后第三令我感到吃惊的事了。
安吉拉,你又准备说什么废话？
罗兰,你居然用“罗兰”称呼我了欸。
安吉拉,你的名字不就是罗兰？
罗兰,呃，话是这么说没错……但迄今为止你从没喊过我的名字吧？
安吉拉,我对你的信任度提高了，为了让我们之间的关系更友好，我对你的称呼也要更亲密些，有什么问题？
罗兰,欸嘿~真没劲。
罗兰,不过我确实很久没被人喊过名字了，最近一次这么称呼我的应该是我的家人吧……
安吉拉,你说过你的奶奶很久以前就失踪了？
罗兰,是，可我有太太啊。
安吉拉,有趣。
罗兰,嚯……我这样的人结婚了也没什么有趣的吧？倒不如说，你是觉得人类这种没效率的“婚姻”行为比较有趣？
安吉拉,跟我说说吧，你的婚姻。
罗兰,……事先声明，这个故事既无聊又沉重，我觉得你应该不会想听吧？
安吉拉,和他人有关的新故事，我总会倾耳细听。
罗兰,可你从没好好跟人分享过你自己的故事。
安吉拉,我已经不想再赘述我的“故事”了，这会令我相当烦躁。
安吉拉,那些无聊而琐碎的故事就像车轮一样回转，反复上演了近1万年。
安吉拉,如果你在将近100万年的时光中反复翻看同一本书，那么你也会有和我同样的感受。
罗兰,无聊的书我只要读个5遍就会想用领带勒死自己了……
罗兰,好吧，过去的我只能像个疯子似的拼命工作，毕竟我也没什么别的能耐。
罗兰,也许是因为成长环境的关系吧，收尾人的工作我做得还算顺心。虽然在工作方面忙得不可开交，但我还是在一片不错的地段买了套房，甚至遇到了人们常说的“灵魂挚友”。
罗兰,那时我别提有多心动了……只要一看见她的背影，我就像找到了属于自己的归宿一样，连买到房时都不曾有过那种感觉。
罗兰,为了能让她注意到我，我不知道付出了多少努力。
罗兰,啊……我是不是说得有点多了……？
安吉拉,没关系，请继续。
罗兰,不过嘛，因为工作的关系，我也有很多接近她的机会。
罗兰,顺带一提，我太太是一位相当出色的收尾人，她的可靠不是三言两语就能讲明白的。
罗兰,不管怎样，经历了许多艰难坎坷后，我终于把她抱回家了。
罗兰,别看我说得好像很淡然，其实心里特别不好受哟？
罗兰,因为我们有不少曾经拿命换来的血钱，所以我们决定金盆洗手，平平静静地度过余生。
罗兰,虽然这样的发展挺老套，但说实话，从那以后我真的很幸福。曾经的我一直是孤身一人生活，现在我有了一个可以互相依靠的人。
罗兰,我们每天的烦恼无非是中午吃什么，晚上去哪儿遛弯……生个孩子取什么名，诸如此类。
罗兰,突然有一天，我的一位朋友发来了紧急联络，为此我不得不离家一段时间。
罗兰,你可能从这里开始就对后续发展有些预感了。
罗兰,那不是什么大事，报酬也还算可观，所以我决定跑一趟，我太太也欣然答应了。
罗兰,我太太很喜欢吃葱饼，而我被派去的地区，那里的葱饼恰好是一绝。她为我送行的时候，我仿佛已经看见她一手抓着葱饼，两眼发光垂涎欲滴的模样了。
罗兰,为了不辜负她的厚望，我花费巨资买了U公司的“现状保存匣”，带着热气腾腾的葱饼准备回家。
罗兰,可等我回去的时候，迎接我的却是居住区发生了重大事故的噩耗。我家的房子不知塌了多久……她，和她腹中的孩子……就这么没了。
罗兰,我撕心裂肺地哭了很久，很久。对这座都市，对这个世界下了最恶毒的诅咒。
罗兰,为什么，我那来之不易的幸福却能如此轻易地从我手中溜走……
罗兰,好了，我的故事到此为止。
安吉拉,……
罗兰,我的经历，发生在任何一个都市人的身上都不足为奇。
罗兰,区别就在于能否忍受罢了。
安吉拉,那你觉得自己能否忍受？
罗兰,我倒是正想为这段经历划上一个句点。
安吉拉,在这里，第二令你感到吃惊的事情是什么？
罗兰,嗯？啊，大概是这里的工作比我想象中的还要适合我吧？最吃惊的事以后会告诉你的，一口气全讲完不就没意思了嘛。
安吉拉,那好吧，请把剩下的书整理分类。
