Character Name,Dialogue
鏌,你-你俩记得定期补点儿脑液。
鏌,大-大脑缺水会让思维变迟钝。
錒鍩鍀,最-最近我确实老有些迷糊。
鏮鍶錔,那-那俺们介趟上哪儿打劫捏？
錒鍩鍀,我-我们该挑个工坊。高-高档的工坊特别有钱，还能搞到有用的零件。
鏮鍶錔,事-事务所咋样？要-要能端掉一两家事务所，那俺们可就出名啦。
錒鍩鍀,但-但是，我们砸得了的场子，通常没存几个钱儿。
鏮鍶錔,那-那要八俺们找家馆子吧！俺-俺稀罕好次滴！
鏌,你-你是憨批吗？又-又他妈忘了咱们为啥装义体！？
錒鍩鍀,不-不再需要进食，不再担心疾病，一心只想着赚钱。
鏌,是-是啊。虽-虽然听起来很疯狂。
鏌,可-可这身义体只需要脑液，燃料和例行维护就能运作，方便得很。
鏌,咱-咱们只管挣钱就好，吃喝拉撒统统不需要。
鏮鍶錔,倒-倒也系。全-全身义体替换手术花了俺一大笔钱。
鏮鍶錔,可-可俺还系觉滴心里八舒坦。虽-虽然八需要次喝，可一想起俺曾经次过滴那些美味，口水就哗哗滴流，做梦都想再次一回……
鏌,毕-毕竟这是低档工坊出产的廉价义体。
鏌,总-总之，现在只管赚钱入账。等-等以后大发了，咱们再换更高级的义体。
錒鍩鍀,听-听说最昂贵的义体连情感都可以调节，完全封闭自己的欲望。简-简直完美……
錒鍩鍀,不-不过那个天价。都-都够在“巢”里买套两室一厅了。
鏌,那-那就等有钱了再想。现-现在咱们赶紧想想怎么搞到钱。
鏌,扯-扯那么多有的没的，说到底还是没钱。
鏌,别-别再给我提啥馆子啊餐厅啊吃饭啊之类的屁话了！你-你他妈搞得我也想吃饭了……
鏮鍶錔,鏌-鏌……！有-有张纸卡你身上了。
鏌,我-我就喜欢义体完全没有触觉这一点。不-不过不能发觉卡在身上的东西也怪恼火的。
錒鍩鍀,让-让我们瞅瞅纸上写了什么。
錒鍩鍀,明-明明刚才你身上什么都没有的。
鏮鍶錔,没-没准俺们已经恶名昭著到。有-有啥大人物想邀请俺们坐坐了呗？
錒鍩鍀,明-明明刚才你身上什么都没有的。
鏮鍶錔,还-还系说，介系……新-新滴美食招待券……？
安吉拉,难道帮派都是由这类白痴组成的？我还指望能接待一些更有教养的人。
罗兰,那得看是什么样的帮派。都市里到处都是帮派，几乎能和收尾人一一配对了。
罗兰,那些后巷的流氓暴徒凑在一起，再贯上一个“轰轰烈烈”的名称——一个帮派就此诞生。
罗兰,不同的帮派有不同的规矩，涉足的领域也全然不同，很难把每一个都拎出来说清楚。
安吉拉,那些家伙看上去非常笨拙，他们是机器？
罗兰,虽然看着很像，其实并不是。
罗兰,都市里早就不存在拥有情感和欲望的机器了。
罗兰,他们是选择成为“完全义体”的人类，而那些劣质的部件显然出自某间非常低档的工坊……
安吉拉,原来如此。
罗兰,好了，准备好接待来宾了吗？
鏮鍶錔,所-所以俺们能在介块儿捞一笔？
鏌,削-削几头怪物，再把书拿走。就-就这么简单。
鏌,这-这身义体虽然干啥啥不行，不过打架还是没问题的。
錒鍩鍀,虽-虽然我们是来打劫的，可-可万一这破纸上写的都是假话该怎么办？
錒鍩鍀,也-也许我们太天真了。
安吉拉,这位来宾，您无需担心。
安吉拉,我们会严格履行邀请函上的条款。
鏮鍶錔,吓-吓吓吓俺一跳！
安吉拉,各位来宾，欢迎你们的到来，此地正是图书馆。
安吉拉,我是图书馆的馆长兼司书，安吉拉。
安吉拉,只要各位能克服图书馆的试炼，即可随意选取邀请函上列出的书籍。
錒鍩鍀,是-是那种有钱人的娱乐综艺吧。这-这是他们的惯用伎俩。
鏮鍶錔,俺-俺听说过。他-他们从后巷拐了批人。把-把他们扔进没出口滴迷宫。让-让他们永世在里头徘徊，厮杀……
鏮鍶錔,到-到死都瞅八见外头滴太阳……
鏌,妈-妈的，来都来了，就硬着头皮上吧。别-别扯那些没用的废话！
安吉拉,那么，愿您找到想要的书。
罗兰,唉……看到没，把大脑塞进一坨废铁块里怎么想都不是个好主意。
安吉拉,义体不该比脆弱的肉体要强上一些？
罗兰,话虽如此，可强化肉体的方法又不是只有义体替换这一种。
罗兰,倒不如说方法五花八门，像纹身手术，外骨骼武装，药物强化应有尽有。只要你有那个钱，想怎么玩就怎么玩。
罗兰,但义体替换是不可逆的，一旦做出选择就再也无法回头。
罗兰,再加上义体部件不得仿照人类的身体制作，作为一个“完全义体”更是无法像正常人一样生活，他们的人生很快就会跌入谷底。
安吉拉,那么，人类在何种情况下会选择把大脑放进机器里？
罗兰,一是当你急需大量资金的时候。你可以把自己的内脏和肉身全部卖掉，换取一大笔钱。
罗兰,二是当你需要长时间进行重复工作的时候。听说使用义体从事机械性的工作会更有效率。
罗兰,即使出现故障也可以快速更换，有些义体还能压抑个人的情感，总得来说有利有弊吧。
安吉拉,长时间进行重复工作……
罗兰,怎么？说得你也想去搞一身义体了吗？
安吉拉,不，只是突然想起了过去。
