Character Name,Dialogue
菲利普,师傅，我像往常一样为您备好了茶点。
萨尔瓦多,多谢，菲利普。
菲利普,那个，师傅……
萨尔瓦多,啧啧啧，没想到会以这种方式收到那个老友的消息……
萨尔瓦多,话说回来，今天的茶特别香浓，我很喜欢。
菲利普,是，多谢师傅夸奖。
菲利普,还请容我多嘴，老友的消息是指？
萨尔瓦多,菲利普，你有听说过图书馆吗？
菲利普,是，据我所知，那是一桩被协会定级为都市传说的案件。
萨尔瓦多,而现在已经提升为都市恶疾了，Zwei6科的人似乎在那里摔了跟头。
菲利普,这么说来，您的那位老友是……
萨尔瓦多,嗯，是沃尔特。看来我这位老友也长眠于图书馆中了。
萨尔瓦多,多么不争气的老友啊……明明那么努力地向上爬，最后却落得如此下场。
菲利普,还请节哀顺变，我听说他是您在Zwei任职时的同事，您心里一定不好受吧。
萨尔瓦多,有什么不好受的，我对沃尔特那老东西就不曾有过好感。
菲利普,……诶？
萨尔瓦多,这人没有那种出类拔萃的潜质，乍一看似乎有点头脑，其实想法非常片面。
萨尔瓦多,更别提他每句话结尾都要加个反问的臭毛病，真叫人反感。
萨尔瓦多,话虽如此，我承认他的确有些本事，至少他能保住6科的位置，从没被降过职。也许是他深谙为人处世之道吧，又或者纯粹是靠运气。
尤娜,呕，又是这股难闻的双和茶味……今天怎么泡这么浓啊？
菲利普,欢迎回来，前辈。
尤娜,菲利普，看来你的泡茶技术天天都在长进嘛？
萨尔瓦多,不错，现在菲利普泡双和茶的手艺可谓一绝。
萨尔瓦多,我也得跟着好好学学，到时候能让我妻子品尝一番。
菲利普,……您过奖了。
尤娜,亏你笑得出来，难道你进我们事务所就是专门负责泡茶的？
萨尔瓦多,尤娜呀，菲利普的成绩也是相当优秀的，现在的他可是一位了不起的5阶收尾人。
萨尔瓦多,如果他泡双和茶的手艺也能算在评分里，别说1阶，就算直接赋予色彩也没有任何问题。
萨尔瓦多,嗯，如果菲利普能被赋予色彩的话……应该是明亮的黄色吧，就像这双和茶一样。
萨尔瓦多,哈哈，说起来金钟花也是这种颜色呢，那是我最喜欢的花……
尤娜,师傅，请不要再开这些无聊的玩笑了，菲利普可得有个像样的榜样才行。
尤娜,顺带一提，关于“千本针”的委托我已经办妥了。
菲利普,前辈真了不起，单枪匹马就能解决都市传说级的委托。
尤娜,最后可谓千钧一发，不知道那些家伙从哪搞来的“脑干集束共振器”，竟然把街边的血肉融为了一体。
尤娜,四周的建筑开始熔化，那些针疯了似的朝外喷，被击中的人们一个接一个地爆炸，满地狼藉……那时我真以为自己要死了。
尤娜,而这一切的幕后黑手是……
萨尔瓦多,那幕后黑手，果然是“昨日之约”吗？
尤娜,没错，您也是这么认为的吧？
尤娜,说实话，虽然我个人不信邪，但看来魔法是真实存在的。
尤娜,每一根针上都刻有奇怪的符号。
尤娜,况且我从没听说过有哪种增幅装置能做到这一点，至少在我的认知里并没有。
萨尔瓦多,即便如此，最后不也平安收尾了吗？尤娜可真是我们事务所的骄傲啊。
尤娜,搞得我像在养家糊口似的。
尤娜,再加上我们的事务所就设在巢中，月租贵得吓人……您应该知道这次的委托费还不够交租的吧？
