Character Name,Dialogue
艾琳,这里也能听到齿轮转动的声音。
Yesod,你好。
艾琳,贵安。我是艾琳。
艾琳,各位都来打声招呼吧。
Yesod,……
艾琳,可惜这里的齿轮转动之声并不美丽。
艾琳,好在齿轮咬合的声音一向如此悦耳。
Yesod,是吗。我有时反而觉得那声音刺耳异常。
Yesod,我们的部分齿轮没能很好地咬合，时常发出嘈杂的噪音。
艾琳,我在听过之后也感觉到这里的齿轮们并不幸福。
艾琳,啊啊……但那通过彼此的力量传递更大力量的挣扎，何其美丽……
艾琳,可以把你们……当做是和我们一样的存在吗？
Yesod,怎么说呢。我并不理解为何你认为这里的齿轮和你们的齿轮是一样的。
艾琳,那是因为你否定了齿轮。
艾琳,你应承认自己就是齿轮的事实，然后遵循自己的目标转动下去。
艾琳,我可以帮你。
Yesod,恕我难从。我正为了找寻自己的目标顺利地转动着呢。
艾琳,只想靠着自己转动是不对的。
艾琳,正如父亲的齿轮指引着我那样……你也可以成为真正的齿轮，沿着他定下的目标转动下去。
Yesod,我不会遵从他人的意愿行动。
Yesod,我不会像你一样全然跟随齿轮指引的道路。
艾琳,可你的神情却告诉我你尚未得到答案。
艾琳,你的表情非常悲伤。多么痛苦……分明就与我曾感受过的痛苦一样。
艾琳,假若一开始就成为齿轮转动至今的话，就不会感到痛苦，能获得幸福了……
艾琳,为何执迷不悟呢。你也和我们一样。
艾琳,不要悲痛，接纳齿轮吧。
艾琳,踏上齿轮之道。
Yesod,说得像是你对我了如指掌一般。
Yesod,……
Yesod,过去的往事我早已放下。
Yesod,如果因被感情左右而无法理性判断，就无法做出卓尔不凡的行动。
艾琳,请看看我们。你不觉得我们很幸福吗？
艾琳,有了目标的齿轮们找到了转动的意义，所以会感到幸福。
艾琳,人类是这座都市的零件，而零件需要有人使其转动。
艾琳,只有这样，都市才能健康地运转。
艾琳,而那个人正指引着我们走上正道。
艾琳,为了仅靠自己什么都做不了的我们。
艾琳,阿尔加利亚大人，感谢您！！
Yesod,……
艾琳,现在成为齿轮也为时不晚，或许这是你最后的机会了。
Yesod,我拒绝。
Yesod,我不是为了成为齿轮才走到这一步的。
艾琳,我非常难过。我知道此地还有许多齿轮都遭到了抛弃。
艾琳,而如今的你疲惫不堪。
艾琳,否定了齿轮的你，也夺走了令诸多齿轮得以正确转动的机遇……
艾琳,但没关系。只要从现在起，与他们一同努力转动即可。
Yesod,一切都是我所选择的道路。
Yesod,我不会为过去所缚，我会拼尽全力看向前方。
Yesod,我会为在此地迎接死亡的他们感到惋惜……
Yesod,可要是执迷于愧疚的心情，那么自一开始就不会走上如今的道路吧。
艾琳,原来如此。所以是再也无法正常转动的齿轮们。
Yesod,……
艾琳,但我始终确信我们是相同的存在……
艾琳,而你直到最后都在否定齿轮。
艾琳,请你明白，仅靠自己是无法转动下去的。你必有一日会因此崩溃。
Yesod,……
Yesod,私谈时间太长了。从现在起，我们只需各尽其责。
Yesod,无论如何，请多指教。
艾琳,如果这就是你的意思……
艾琳,各位齿轮……请准备好。
