Character Name,Dialogue
格蕾塔,这里散发着一种新奇的味道……是上好的酱香味儿啊！
Hod,欢迎光临。我是负责管理这里的指定司书Hod。
格蕾塔,指定司书？你是这里的主厨之一吗？
Hod,这里不是烹饪料理的地方……但硬要说的话也可以这么理解。
格蕾塔,咱的名字是格蕾塔！接到咱团长的订单来到这里！
Hod,格蕾塔……正如名字一样，有着雪白的皮肤呢。
Hod,我听说，8大主厨已经解体了……
格蕾塔,啊，你是说那些家伙的事儿吗？
格蕾塔,都是一群蠢货。因为已经吃腻了平凡的菜肴，为了探索全新的烹饪方法，他们将自个儿的身体给料理了。
Hod,自己的身体？
格蕾塔,烹饪，品尝，点评，记录……为了更好地料理别的部位而再次调整菜谱……
格蕾塔,只留下用以咀嚼品尝食物的牙齿和舌头，直到将自己身体的每一个部位料理好为止，没有一刻停歇。
格蕾塔,不觉得可悲么？尽管还有咀嚼食物的牙齿，可能够消化它们的地方却已经空空如也了……
格蕾塔,就算可以用舌头品尝味道，可感受到味道的大脑却已经变成肉排了呢！
Hod,……是独自生存下来的悲伤故事啊。
格蕾塔,还好吧？总之最后只要自己心满意足不就可以了吗？
格蕾塔,料理方法怎样都好！只要做出来的食物好吃不就行啦！！！
格蕾塔,有谁会在乎食物里放了怎样的原材料呢。只要吃起来够美味便足矣！
Hod,人们往往不会记住各种食材的名字，但那些佳肴的味道却总是令人记忆犹新呢。
格蕾塔,咱可不想跟那些对食材挑三拣四的人讲话，净是些固执己见的死心眼儿。
Hod,……
格蕾塔,嗯？
格蕾塔,啊，所以你也是那类人啊！
Hod,当然，我很清楚如果要探讨那种问题的话会没完没了的。如果那样的话，恐怕选择不再进食的人生才是正确的吧。
Hod,但……我果然还是无法完全肯定同类相食这种事。
格蕾塔,为啥要去想那食材和自己是同类呢？不就是因为有香喷喷的味道才吃的吗？
格蕾塔,上好的食材们就像海水中的血腥味儿一样吸引着咱，咱又怎能对他们视而不见！
格蕾塔,可惜最近的食材既肮脏又贫瘠，想找些美味的东西吃已经很难喽。
Hod,这是什么意思？
格蕾塔,顾名思义！这个世界明明已经有足够的食物供大家享用，可人们的奢侈欲却总是难以满足。
格蕾塔,当一天只需吃三顿饭的家伙能吃到四顿饭时，其他人却只能吃到两顿饭！
格蕾塔,那些饥肠辘辘的人忙于互相争吵抢夺，只因他们每天只能吃两顿饭。
格蕾塔,而在那种地方落败的家伙就会变成只能捡残羹剩饭苟活的耗子！
格蕾塔,因为吃得太多而油腻的肮脏食材或是吃得太少而干瘪的贫瘠食材……全是那样的东西！
格蕾塔,所以咱们做出来的菜品也渐渐掺进了肮脏低劣的味道！！！
格蕾塔,如果和团长一起的话，他就会带你去往能够找到纯粹干净的食材的地方！
格蕾塔,咱真希望那个时刻能快些到来！已经好长一段时间只能被迫用垃圾填饱咱饥饿的肚子咯。
Hod,纯粹干净的人类……
Hod,你也好我也好……或许这座都市的所有人都不能说是在做着正确的事情吧。
Hod,都不过是随着自己心中欲望的指引前进而已……
Hod,所以……我也会尽自己最大的努力阻止你的。
格蕾塔,这次的演出用什么酱汁儿更合适呢……先尝上一尝怎样？咯咯！！！
