Character Name,Dialogue
奥斯瓦尔德,呼哧呼哧……这里又有新的香气哟？
奥斯瓦尔德,啊！这下面……流着的水简直就像溶化的蓝草双梅……
奥斯瓦尔德,薄荷跟丁香的气味混杂在一起……香气刺鼻！
奥斯瓦尔德,这里的舞台跟咱们那边完全不一样，锈得闪闪发亮啊！真了不起哟！
奥斯瓦尔德,根本就是为盛大演出而准备的绝佳场地呀。你不这样认为吗，利刃先生！？
Tiphereth,真是位吵闹的客人呢。
奥斯瓦尔德,我操，吓我一跳！心差点蹦出嗓子眼儿了！
奥斯瓦尔德,是观众吗？客人？还是一起助演的小丑姑娘？现在看来不止一个人哟！套娃？嗯，咱们来数数看~一，两……嗯，太多啦！
奥斯瓦尔德,啊，请稍等！眼睛都看过来！不知美人鱼小姐是不是心情超级好，麦克风举得更高高了哟~
Tiphereth,乱死了，有什么事不能一件件说吗？而且硬要说的话你才是客人吧。
奥斯瓦尔德,小丑控不住自己的场了？哈哈哈！这就是综艺呀，综艺。
Tiphereth,有什么好笑的……
奥斯瓦尔德,好啦，好啦~别这样嘛，小丑之间可以互相嗅嗅手腕的香气哟！今天可是带着辣味过来哒！
Tiphereth,呀，慢着！你吓到我了！
Tiphereth,那样随意贴近对方非常没礼貌……你明白吗？
奥斯瓦尔德,哎呀……真是个小冷淡！这段时间的人都太~自大啦！
奥斯瓦尔德,咱们正踏入一个笑声枯竭的湿润时代！人们超级容易为小事生气。
奥斯瓦尔德,呜呜……如果不用笑声填满，小丑就会变成泄气的气球哟……
Tiphereth,生气也是一种很自然的情感啊。
奥斯瓦尔德,当然不是！！！
奥斯瓦尔德,只有期待着什么的家伙才会做出那种哄臭的糖果~
奥斯瓦尔德,对巧克力，对仓鼠，对死物，对天气，对杂草，对别人……还有对自己的期待。
奥斯瓦尔德,随心所欲地赋予期待，甚至没等对方点头同意，做出的糖果自己却不吃！
奥斯瓦尔德,因为明知自己的糖果尝起来像块烂铜。
奥斯瓦尔德,所~以！才要把它们强塞进别人嘴里。
奥斯瓦尔德,越多期待意味着更多的臭糖果~抱紧那一大坨烂糖想赶快往人胃里送！
Tiphereth,那么……人怎样才能过上毫无期待的生活？
奥斯瓦尔德,杂草弟弟要你期待了吗？太阳公公要你期待了吗？
奥斯瓦尔德,到底是谁说抱有期待就是正确的啊？哈哈哈！嘴角痛得像芹菜叶！可笑极了！！！
奥斯瓦尔德,只有不抱期待~才能看到更多眼里的钉子！
奥斯瓦尔德,当你不会生气，才能享受更苦辣的味道~
奥斯瓦尔德,把一切当成滚出去的皮球！滚到哪里都能为它欢呼！
奥斯瓦尔德,真正为别人好的才不是期待……而是陪在他们身旁尽情欢笑呀？
奥斯瓦尔德,这里的人都是小丑！小丑不以对方的笑容为食就活不下去，你明白吗？
Tiphereth,……我懂你的意思。
Tiphereth,是的。对某人抱有期待并不总是一件好事。
Tiphereth,你的主张我无法全数赞同，但也不能全盘否定。
奥斯瓦尔德,喔吼吼！我只是想创造一个充满笑声的世界！一个人人都能无忧无虑开怀大笑的世界！
奥斯瓦尔德,皱着眉头的表情太可怕了哟~
Tiphereth,然而，抱有期待也就意味着相信那个人。
Tiphereth,你只是害怕无法满足他人的期待，因而选择逃避罢了。
奥斯瓦尔德,哈哈！哈哈哈！是吗？想要幸福也是罪吗！？
奥斯瓦尔德,什么时候起人人都能欢笑的世界都成坏事了？
奥斯瓦尔德,哼，算了！咱们想在舞台中展现的笑声完全不同！
奥斯瓦尔德,你的演出也不过是为了得到自己想要的笑声罢了！
奥斯瓦尔德,为了逗笑其他小丑，现在就开始表演吧！！！
奥斯瓦尔德,问候到此为止……咱们慢慢在舌头上玩起来吧？哈哈哈！
Tiphereth,嗯。用你的话来说，就是守护彼此所站立的舞台。
