Character Name,Dialogue
Binah,看起来你满腹疑问。
Binah,先落座来一杯茶吧。
罗兰,我不太习惯这种场合。
Binah,你终将熟悉这一切。
Binah,你眼中的图书馆如何。
罗兰,又是这个问题？
罗兰,我之前不是回答过了。还是说你这儿是拿来垫身高的？
Binah,观点总会随着时间的推移而改变。
罗兰,啊，是噢是噢。那就再答一遍。
罗兰,我之前把图书馆比作角斗场啊监牢什么的，但其实图书馆就是这随处死人的都市中超级平凡的一部分。
Binah,原来如此。
罗兰,红茶的滋味有别于咖啡，还不错。
Binah,因为茶叶承载着痛苦。
罗兰,虽然我还是无法置信，不过你说你曾经是首脑的调律者？
Binah,正是如此。
罗兰,我倒是有不少问题想要请教请教调律者。
Binah,你认为我会回答么？
罗兰,没可能。再说了，你要真是个调律者……又为什么不为所动？
Binah,我只是在观望。
Binah,我早已放下调律者的身份。
罗兰,就只是看着？
罗兰,而且还相当顺从地协助安吉拉。
Binah,我只是在做分内之事。不多，也不少。
罗兰,那如果安吉拉命令你告诉她只有首脑才知道的都市秘密呢？
Binah,她知晓无法从我这里得到答案，便也不做尝试。
Binah,不，或许她在我不知情的时候已经试过了。
罗兰,要是我现在在这把你杀掉然后变成书籍？
罗兰,再把你所知晓的一切全部提取出来的话？
Binah,真是唐突。又充满敌意。
Binah,故而你有别于我们。
罗兰,对你们这帮躲在阴影幕后操纵都市的家伙，没有任何保持礼貌的必要。
Binah,曾经，有一个人的梦想因我破裂。
Binah,然而即使亲自面对着我，他的愤怒依旧指向更为超越的一层。
Binah,从未着眼于面前的事物，而是注视着另一面。
Binah,你和安吉拉仅仅顾着前方。
罗兰,喂，别转移话题。
Binah,真是尖锐……
Binah,沉重而缓慢……怀抱着致命的剧毒。
Binah,我对你了若指掌，你对我一无所知。
罗兰,……
Binah,我会保持沉默，仅是观望。你毋须担心。
罗兰,看来我们之间的对话是不会有交集了。
Binah,“呜呼，苦痛者兮，终识矣。惟余永无弃离尔。”
罗兰,……“嗟夫，愚之益晓，汝其美。盖若亭立而存焉。”
Binah,不再来一点茶吗？
罗兰,没胃口了。
Binah,你可以多抽空陪我聊聊天。与你交谈非常有趣。
罗兰,可不是嘛。
