Character Name,Dialogue
罗兰,来，这次也有一大堆书~
Hod,谢谢您，罗兰先生。
罗兰,跟我客气啥呀，不用加上“先生”啦，直接叫我罗兰就好。
Hod,这样好吗？罗兰？
罗兰,感觉好多啦。
Hod,像这样说话……果然会觉得有些不好意思。
罗兰,慢慢会习惯的。顺带一提，分类工作还算顺利吗？
罗兰,我怎么想都不觉得都市里会有像样的“文学”。
Hod,我认为，每个人的一生都是一部文学著作。
Hod,人们就像书一样续写着属于自己的人生。
Hod,悲剧和喜剧各自交织在一起。
Hod,既没有纯粹的“恶”，也不会有纯粹的“善”。
罗兰,大家各有各的情况嘛。
Hod,所以我很苦恼，我不明白，无缘无故对人恶意相向究竟是对是错……
Hod,街灯事务所的收尾人相处得很融洽，就像家人一样。为了得到他们的书，我们不得不亲手杀掉他们……
Hod,我明白，来到这里是他们自己的选择……
Hod,我们也有非实现不可的目标，但是……
Hod,……这话听着像在给自己找借口似的。
罗兰,Hod呀，关注这么多人的私事只会让你觉得头大。
罗兰,所以你会时不时地冒出这类摸不着头脑的问题。
罗兰,不管发生什么，只要一和道德规范啊根本原因什么的扯上关系，立马就会变得含糊不清。
罗兰,一直以来，你压在胸口的情感包袱太过沉重了。
罗兰,释放你的心，到时你自然会明白的。有些事情，你既不需要，也没必要去深入了解。
罗兰,这样你才能活得轻松些……
Hod,这是罗兰以收尾人的身份给出的建议吗？
罗兰,当然啦！
罗兰,有句话我特别喜欢——
罗兰,“一码归一码。”
罗兰,我们生活的这个世界，不可能完美地包容每一个人。
Hod,听起来就像放弃挣扎了似的。
罗兰,可不是嘛， 我一早就放弃了！
罗兰,随波逐流，顺其自然，以这种心态过活真的很轻松。
Hod,谢谢你的建议，我会好好思考一番的。
Hod,只是……
罗兰,怎么了？
Hod,“一码归一码”虽然能暂时安慰自己，但它终究不能成为拯救人生的格言。
罗兰,啊……
罗兰,毕竟同一句话，仁者见仁智者见智嘛。
罗兰,我把书放在这边，今后也请多多关照啦。
