Character Name,Dialogue
罗兰,文学层的气氛总是很安逸，真好。
罗兰,这里的司书好像也很安静，就和Hod你一样。
Hod,啊，罗兰你来了。
Hod,虽然大家看起来很安静，但工作时都在全力以赴。想来我真的很依赖他们。
罗兰,我也挺依赖我那边的司书嘛。
罗兰,话说你们聚在这里做什么呢？好像不是在整理书籍吧？
Hod,我们在办书友会，彼此之间推荐自己心仪的书籍，然后一起阅读，一起交流看法。
罗兰,听上去完全不像我们那层司书会感兴趣的活动。
罗兰,大家都有出席吗？
Hod,嗯，他们帮了很多，比我想象的还要热情。
罗兰,我还以为有些人会嫌麻烦而抗议咧。
罗兰,试想一下，如果你邀请Netzach参加这种活动，没准活动还没开始，他就躲到什么地方喝酒去了吧。
Hod,哈哈哈，是啊，他真的会这么做哦。
Hod,尽管如此，我能感觉到事情已经和过去不同了。
Hod,在脑叶公司的时候，我也曾开展过类似的活动。
罗兰,真的？应该不是这种和平的书友会吧？
Hod,嗯，我会定期向职员们开设心理咨询。
Hod,我想帮助那些害怕被异想体攻击的职员。
Hod,然而，那时的我只是把自己的想法强加在他人身上。
Hod,谈话间稍有不顺，我就会责备自己，焦躁不安。
Hod,我只是想帮忙，但为什么没人理解我的好意呢？
罗兰,这样说虽然很冒犯，但想必过去的你是个很难处的人吧？
Hod,……是吗？我想也是。
Hod,我其实并不想帮助别人。
Hod,我的所作所为，只是为了寻求自我安慰。
Hod,我想以此弥补自己在第一次人生中犯下的错误。
Hod,所以无论如何都要强迫自己帮助别人。
罗兰,那你最后有如愿以偿吗？
Hod,不……抱着那样的心态，我永远也无法真的帮上忙吧。
Hod,我甚至开始摄入脑啡肽。
罗兰,脑啡肽啊……连毒品都沾上了，看来情况是真的很严重。
Hod,做出了那样的事，恐怕我永远也无法得到救赎吧。
Hod,无论我怎么挣扎，都不能改变我是一个坏人，一个罪人的事实。
罗兰,然后在你终于有机会抛下一切的时候，突然杀出个安吉拉把一切都给毁了？
Hod,没错，我的确是这么想的。
Hod,在安吉拉阻拦我们的时候，我也依然只考虑着自己……这样的我是不是很自私？
Hod,“这次本来可以赎罪的，这次我终于可以赎罪了，没想到一切都落空了……”
Hod,真可笑……直到那时我依然没有清醒过来。
Hod,仅仅做一两件好事并不能让我成为一个好人。
Hod,真正重要的不是行动，而是使人行善的心态。
罗兰,发生了这样的转变，是有什么契机吗？
Hod,嗯，说来可笑，我在这里和司书们面对面交谈，像现在这样开展了许多活动之后，我终于醒悟了。
Hod,当然，我也是经过反复考虑才谨慎地提出举办书友会的。
Hod,就像罗兰之前说的那样，起初有些人并不看好这个提案。
Hod,但当我详细地向他们解释为何要举办书友会，以及我的感受之后，他们都积极地参与了进来。
Hod,这与方法或行为本身无关。
Hod,我们彼此之间敞开心扉，让心灵互相碰撞。
罗兰,皆大欢喜哦。
Hod,当然，或许这也是安吉拉所期待的结果？
罗兰,哼嗯……我可不觉得我们那骄蛮的馆长小姐会有如此细致的考虑。
Hod,……这次我也要向她敞开心扉。
罗兰,你说什么？
Hod,我要直面安吉拉，告诉她我的真实想法。
罗兰,跟她对线可需要不少勇气。
Hod,嗯，我对安吉拉依然抱有一丝恐惧和疏远，但我会努力接近她。
罗兰,我也会在一旁给你加油助威的！
Hod,嗯，我对安吉拉依然抱有一丝恐惧和疏远，但我会努力接近她。
罗兰,……所以说是在“一旁”嘛。
Hod,罗兰和我一样，我们都是胆小鬼。
罗兰,可是胆小鬼也能鼓起勇气向前进嘛。
Hod,嗯，谢谢你的鼓励，罗兰。
