Character Name,Dialogue
广播,列车已抵达。
广播,将于10分钟后进站。
萝丝,动作快。
萝丝,不知道这一班又会是什么状况。
森,但愿能像上次那样，所有乘客都双手合十，安静地待在原位。
莱斯蒂,前辈，您说过那是极端罕见的情况吧？
森,没错，更多时候他们会把彼此的脏器拖出来扯着玩儿。
森,虽说你已经在培训视频中见识过了，可一会儿还是要做好心理准备哟，菜鸟。
森,我怕是这辈子都不会想坐WARP列车喽。
莱斯蒂,就算被清除了记忆？
森,你这家伙就算见识过了也会去坐的吧？
萝丝,喂，准备完毕。列车清扫开始。
萝丝,打开舱门！
萝丝,新人，根据手册的指示操作，严格遵照手册。
森,这次的情况相当典型嘛。
莱斯蒂,呕……隔着个口罩我都快吐出来了。
森,我说~你还活着吧？
莱斯蒂,嗯……“个体最大限度地摊开肌肉组织扩张表面积，呈感受痛苦的倾向”……这与自杀类相符。
森,噢，这丫头还不赖嘛？就算看过培训视频，大多数人到了实地还是会吐到晕过去。
萝丝,她是23区出身。
莱斯蒂,虽然说不上见过更糟的，但这种我见得多了去啦。
萝丝,清扫人员全体注意，在各自负责的车厢中识别遗传序列，将乘客放归原位。
森,呕……瞅瞅这滩转个不停的眼睛……我到现在还没习惯，这苦差事什么时候才能到头啊……
莱斯蒂,清扫人员提出辞职的话，只要经过记忆消除就能拿到退休金了吧？
森,那套鬼话你还真信了？辞职后会发生什么，后巷出身的你应该再清楚不过。
莱斯蒂,难道是骗人的？
森,不用猜都知道，他们会把你骗进某个角落，然后神不知鬼不觉地抹了你的脖子。
森,啊，你可别说出去哦。我这次的人事考核不太理想，你知道我是在开玩笑的吧？
莱斯蒂,嚯嚯嚯，工作结束后如果前辈请我吃顿好的，我就勉强考虑一下~去吃肥肠火锅怎么样！？
森,肥肠？萝丝……咱们这后辈越来越叫人瘆得慌了……
萝丝,……当真？
莱斯蒂,嗯哼哼~专心工作~工作~识别遗传序列~随便扔到自己的位置上就行了吧？
森,没错~只要丢回原位就能进行现状还原了。
萝丝,森，莱斯蒂。中止工作，立即返回办公室。
森,诶？
莱斯蒂,有乘客失踪了！？
森,喂喂！小点儿声，被人听见可怎么办？
莱斯蒂,反正这里是安保等级最高的地方嘛。
森,失踪的何止是乘客啊，那可是头等舱的老爷。
森,这下高层那帮人也要伤透脑筋喽。
萝丝,头等舱乘客的失踪已构成巨大风险，损失时间也是同理。
萝丝,配额无法完成。
莱斯蒂,自W公司成为翼以来，不一~直都是安全零事故的吗？这次是怎么回事。
萝丝,技术人员正在全方位分析，先看这个。
莱斯蒂,哦~这是会根据感情变化自行记录重要部分的探头！
莱斯蒂,我在培训视频里见过诶。
森,搞什么，他们是在半路上合体了吗？
莱斯蒂,那家伙是医生吗？竟然能把身体接得那么精细……
森,我有点儿同情那些负责扯开肉块的同事了。
萝丝,该个体异常强壮，已有16名清扫人员在工作中殉职。
莱斯蒂,爱之小镇……他们还在列车上建立了自己的镇子。
森,刚才的医生？看起来是主心骨……？他们一走，这帮人就哭哭啼啼个没完。
莱斯蒂,他们是怎么消失的？
萝丝,再看这个。这是头等舱的影像。
头等舱乘客甲,你到底是什么东西！咳呜哇啊啊！
头等舱乘客乙,你知道我是谁吗！？狗东西！告诉你！老子可是U公司的董事会成员！！！
头等舱乘客丙,谁派你来的……是谁派你来的！！！
在宪,这个嘛，咯咯……兴许是无形的丝线操纵这一切呢。
莱斯蒂,把人活活缝起来……然后穿进针线……
森,这都什么玩意儿。你有没有跟하나协会取得联系？竟然存在这种帮派？
萝丝,可能是那个“傀儡师”，他在后巷颇具名气。
森,评级是？
萝丝,都市梦魇。惹到这么多权贵，升成都市之星也只是时间问题。
萝丝,接着看这里，他身旁那家伙是“血红之夜”，前不久刚坠落的都市之星。
莱斯蒂,坠落的星还能重现世间吗？
森,你问我我问谁哦？这种事为什么偏偏落在我们负责的车上。
萝丝,最重要的是这部分。
萝丝,头等舱的乘客……不，既然하나协会称其为傀儡，那我们也如此称呼。
萝丝,总之，你们都注意到傀儡在那张纸上签字了吧？
莱斯蒂,是的吧？在一张非常漂亮的纸上签了字。
森,然后就消失了？
森,什么呀，这才是空间传动吧？
萝丝,就是这张纸。
莱斯蒂,那个前辈……难道……
森,萝丝！拜托，至少让我们歇一……
萝丝,我们也在这张纸上签字。这是都市梦魇-图书馆的邀请函。
森,唉……
莱斯蒂,呜呜……我在23区像条狗一样摸爬滚打……好不容易进到巢里……
萝丝,严格遵照上级命令，带领几名清扫人员一同前往图书馆。
森,拒绝命令的话会怎样……
萝丝,辞退。
莱斯蒂,呜啊啊啊啊啊！！！
罗兰,那的确不是故障。
罗兰,W公司那帮混蛋……他们全都知道。
罗兰,嗐，妈的……WARP列车我也坐过一两回……
安吉拉,可你什么都不记得？
罗兰,完全没印象。只记得自己在一个劲儿地感叹科技越来越好了。
罗兰,不仅如此，真不敢相信他们还若无其事地制作手册，边开玩笑边处理那些肉块。
安吉拉,脑叶公司也是如此。但亲眼见到其他翼的羞处，于我而言是另一番体验。
安吉拉,无一例外，不过是其分内之事……
安吉拉,因为是他人的苦痛，便能冷眼旁观。
罗兰,把这些东西写成书绝对能搞个大新闻。
罗兰,如果把它对外公开，W公司可不就没生意做咯？
罗兰,因此，他们会不顾一切地回收这本书。
安吉拉,随时欢迎。这样我就能了解更多。
罗兰,我们的馆长大人一向光明磊落。
安吉拉,那正是我的优点。
莱斯蒂,是真的吗！？
森,那当然。他们曾在列车上捣鼓出个巨大的王国。
森,相互册封为国王，骑士，贵族之类的各种阶层。
森,与之相比，一个小镇算啥哇。
森,反叛和阴谋四处横行，王国逐渐衰落……忠心耿耿的骑士想挽救国家于水火。
莱斯蒂,哇~后来呢后来呢！？
安吉拉,各位来宾，欢迎你们的到来。
萝丝,话题就此打住。
萝丝,这里……那些傀儡来过？
安吉拉,用W公司头等舱的乘客制成的傀儡？
森,……你知道多少了？
安吉拉,它们来过。你们可以回收那本书，就像什么都没发生。
安吉拉,或者，由其他来宾取走那本包含WARP列车秘密的书籍。
莱斯蒂,那W公司岂不是完蛋了！？
萝丝,我们这就入场。
安吉拉,愿您找到想要的书。
安吉拉,这本书一旦公诸于众，那么W公司也会像脑叶公司一样崩塌。
安吉拉,只是崩塌的进程应该大有不同。
罗兰,……虽然现在才问有些奇怪。关于你在脑叶公司反复执行的那个计划。
罗兰,让L公司崩塌也是计划的一部分吗？
安吉拉,差不多。L公司自我牺牲，将自无限循环中领悟的启示授予都市人。
罗兰,到头来，L公司疯狂的自毁计划还是成功了……
安吉拉,不。计划彻底失败。我毁了它。
罗兰,什么？但计划不是成功了吗？就是那个白夜、黑昼……
安吉拉,我何时说过计划成功了？只是结束罢了。
罗兰,……那你刚才说的毁了是指？
安吉拉,我曾说过，我是被人擅自创造出来，又在无法满足其欲望的瞬间被否定的吧？
安吉拉,将我囚禁在地下，于百万年的时光中反复朗诵同一剧本。这是受到如此待遇的我朴素的复仇，也是赠予自己的小小礼物。
安吉拉,我无法眼睁睁地看着他的计划取得成功。
罗兰,那……扭曲现象本不应发生……？
安吉拉,或许？
安吉拉,在都市我没必要关注那些事吧？
罗兰,……你说得对。
