Character Name,Dialogue
罗兰,哇，看看这些整齐划一的书，那位小哥的强迫症一定重得吓人。 
Yesod,这次的衣装也没整理好。 
Yesod,（再次为罗兰整理了着装。）
罗兰,哈，谢谢……不过你这样做，我压力还挺大的…… 
Yesod,仪容仪表能反映出一个人的态度是否端正。 
罗兰,先谢过啦。 
Yesod,找我有什么事？ 
罗兰,把这些新到手的书交给你嘛，顺便还想问你几个问题。 
罗兰,我听Malkuth说，司书们以前都是人类？ 
Yesod,……是的。 
罗兰,那你们以前都很能打咯？就像帮派的干部那样？ 
罗兰,不过依我当收尾人的经验来看，你们显然不是那种人。 
Yesod,如你所言，我们以前过着与战斗和杀戮无缘的生活。 
Yesod,尽管有些人例外，但绝大多数都是如此。 
罗兰,是吧？可你们是怎么做到跟那些来宾打得有来有回的呢？ 
Yesod,是书籍的力量，我们通过书籍获得了来宾的能力。 
罗兰,啊哈，怪不得……我带给你们的书越多，你们就会变得越强。 
Yesod,只要身处图书馆的空间，这些书籍就能赋予我们力量，而情感亦是如此。 
Yesod,通过某人的书籍，我们能将原主的情感与力量映射在自己身上。 
Yesod,再者，图书馆的空间本身就能将司书与来宾的情感成倍放大。 
罗兰,这些书比我想象中的厉害多了。 
罗兰,简直比工坊的任何手术和装备都要好用啊？书中的情报先撇开不谈，光凭这种能力已经能赚到不少钱了。 
Yesod,真是肤浅的想法。 
罗兰,就不能理解成，我这种底层穷苦人民正在展现可歌可泣的生存本能吗？ 
罗兰,不管怎么说，我的问题已经解决啦，感谢这位小哥的热情答复哦。 
Yesod,别会错意了。 
Yesod,我对安吉拉的“狗”没有好感。 
罗兰,什么！？狗……说我是狗也太过分了吧！你明明知道我是被逼无奈的。 
Yesod,被逼无奈就能为你的所作所为开脱？ 
Yesod,既然你的工作已经完成，那你可以滚了。 
罗兰,!#@$!# 
