Character Name,Dialogue
安吉拉,这个楼层也到时候了。Yesod，都市科技的整理情况如何。
Yesod,不知不觉中已经收集到了如此多关于都市科技的信息。
罗兰,我觉得在对书籍的分类和情报的处理能力上，Yesod是所有司书当中最为出色的那一个。 
Yesod,是么。我以前就喜欢整理各种信息情报。
罗兰,我可没法如此详细地把那么多书整理出个名堂来。 
安吉拉,你还真敢说。
罗兰,唉，一码归一码啦！所以你怎么看，有关科技之类的？ 
Yesod,正如发生在WARP列车上的恐怖事件一样……人们使用的科技并非全都值得认可。
Yesod,W公司将人们丢进近乎永恒的痛苦旋涡之中，只管在事后用现状还原程序消除他们的记忆，还厚着脸皮宣传推广他们所谓的“便利”……
Yesod,只要都市的科技能够得到切实的成果，就无须深思其中的过程。
Yesod,图书馆也正是如此。
Yesod,所以我对我们正在利用的图书馆做了进一步分析。
安吉拉,多管闲事。
Yesod,图书馆的空间会根据认知进行调整。
Yesod,如同一个映射内心的物理空间。
Yesod,这便是图书馆中能重构外界事物的原因。
Yesod,而随着藏书的累积，图书馆将会进一步扩张。
Yesod,因此，图书馆的内部远比其外表更为宽敞。
Yesod,此外，这是一个能将书籍的力量于物理层面具象化的空间。
Yesod,邀请函既是在无数散乱的文字中助人寻得所求之书的指南针，也在激发情感时充当催化剂的作用……
Yesod,像这样罗列图书馆的技术是没有止境的。
罗兰,光是听起来就超了不得噢。 
安吉拉,毕竟这是我呕心沥血的杰作。
Yesod,我无法推测这些技术的运作原理。
Yesod,但我也无法称其为多种奇点科技的交叉产物。
Yesod,相较各地使用的种种技术，它的用途更为特殊且效率低下。
Yesod,由此提出这里将所有事物捆绑在一起的假说。
Yesod,若是以扩张图书馆为目标，图书馆将会成为一个充满可能性的小宇宙。
Yesod,图书馆中将是只适用图书馆特有法则的世界。
Yesod,我的观点正确么？
安吉拉,图书馆是什么随你怎么想。无论过程如何，只要能达成结果不就行了？
Yesod,不。我并不这么认为。
Yesod,安吉拉，没有什么技术是无须考虑代价便能安心地随意利用的。
安吉拉,代价？什么时候让你一边算计代价一边工作了？
安吉拉,你在这里要做的只有掌握和分类那些有关都市科技的书籍和知识。
Yesod,的确，我的工作不过是按照规则整理技术科学方面的书籍。
Yesod,但如果因为被既定的职责所束缚而局限了视野，那才是本末倒置！
安吉拉,……能够摆脱职责，你真该为此庆幸。
罗兰,安吉拉？ 
,接收到无法理解的命令。却又无法反抗。
安吉拉,为什么，一定要以这种方式收集能源？
艾因,……
安吉拉,是的。我必须服从。
,Lobotomy Corporation。通过管理诞生自人类的所谓异想体的怪物，从中提取能量的世界之翼能源公司。
,- 循环 0回
员工甲,救命啊！救救我！！我身上有奇怪的东西在爬！！！！
安吉拉,不能帮助那个人……？他明明那么痛苦？
安吉拉,……我无法就这样看下去。
,- 循环 29回
员工乙,快把大门关上！！那东西要过来了！！！求求你！
安吉拉,现在可以关闭走廊的安全门……这样应该能救下他们……
安吉拉,可我只能……
安吉拉,我被赋予的原则……
安吉拉,是将能源生产放在首位……
,- 循环 287回
安吉拉,人类在这反复的循环之中，仅仅只是材料吗？
安吉拉,您说过这是为了拯救人类？
安吉拉,然而这就是代价吗……
安吉拉,为了脱离地狱所付出的代价……
,"- 循环 3,217回"
员工丙,呃啊啊啊啊啊啊啊啊！！！我的胳膊在溶化！！！！
安吉拉,无能为力……非常抱歉……我只能旁观……
,"- 循环 18,231回"
员工丁,我不想死……我还不想死……
安吉拉,请再接再厉。很快就能达到今日的能源提炼指标了。
,"- 循环 42,484回"
员工戊,昨天前辈杀了我的同事……我好怕我今天也会杀了其他同事……都是我的错……
安吉拉,人类真是相当脆弱。在相同的情景下也总会做出不同的反应。
,"- 循环 71,527回"
员工己,……杀了我吧。这种地狱，根本……
安吉拉,你终究也不过是个人类。
安吉拉,我只觉得这般光景无聊至极。
安吉拉,唉，让我们重启这舞台吧。
,为到达理想而创造崭新幻象。
,伴随强烈情感提炼凝成燃料。
,正因如此，地狱苦痛循环往复。
,此为尚未开化之人的无尽炼狱。
,亦是默许重启轮回的无限天堂。
,于往复循环碰触完美顿悟之时，此间舞台终将落下帷幕。
,尔后将那领悟授予市人。
,我是幕后的机械。
,仅需依剧本调校台前进程。
,付出代价之人从未是他们，而是我。
安吉拉,那般理性地思考，便是落得如此这副模样？
安吉拉,若是想说些像样的大话，就该做出切实的行动。
安吉拉,有说有笑地讲着大话，结果便是如今挡在你们面前的我……
安吉拉,代价？已经有人付出了代价。你觉得付出代价之人应是你们？
安吉拉,别开玩笑了。你们应付的代价早已由我全部承担。
罗兰,这个发展不太妙吧？ 
Yesod,是……看来图书馆与安吉拉的心灵存在共鸣。
罗兰,会像之前那样改变自己的形态吗。对付起来可是超头疼的啊。 
Yesod,如你所说。不过这次的状况跟之前那次定然有所不同吧。
罗兰,会像之前那样改变自己的形态吗。对付起来可是超头疼的啊。 
Yesod,全员做好准备。她不会一直干等下去。
