Character Name,Dialogue
伊莎多拉,你要跪到什么时候？
衫,求求你……我的孩子们……他们都死了……
伊莎多拉,这句话你已经重复多少遍了？我耳朵都快听出茧子了。
伊莎多拉,我知道，你的同事全死在了图书馆里。
衫,我恳求借助Zwei的力量……拜托了，哪怕只是收回那些孩子的书……
伊莎多拉,你也知道，闯进Zwei总部死皮赖脸地乞讨非常不像话。
茱莉亚,伊莎多拉……我也拜托你，帮帮他吧。至少，能不能请上级看一眼这个案子？
伊莎多拉,茱莉亚，我知道你和这个白痴是朋友，可我们不能感情用事，凡事要按流程走。一旦开了先例，好不容易建立的秩序瞬间就会崩溃。
伊莎多拉,要知道大厅那边可是挤满了像他这样叫苦连天乞求帮助的家伙。
伊莎多拉,你最好趁现在搞搞清楚，哪怕只是在做最基层的工作，你也照样是Zwei的直属收尾人。
茱莉亚,可这件事我也有责任……
茱莉亚,而且，Zwei同样应当承担责任。
伊莎多拉,在协会的记录中，没有任何证据表明此案与Zwei有关。我不明白你在说什么，小姐姐。
衫,过河拆桥……没有利用价值就随便抛弃掉，是这样吗……
伊莎多拉,喂，注意你的言辞。
伊莎多拉,哪怕协会真的如你所言和你们做过私下交易，那你们肯定有被许诺一笔报酬。互相利用就是交易的本质吧？
伊莎多拉,你对协会的利用和协会对你的利用一样多，别把话说得像被单方面敲诈了一样。
伊莎多拉,你小子是第一天当上收尾人吗？在这一行干了8年连这点道理都不明白。
茱莉亚,伊莎多拉！别这么说，大家都是同一个事务所出身的……
伊莎多拉,我只是觉得失望，我也不想看到他落到这种地步。
衫,呵……抱歉，我……明白你们的意思了。
衫,你说得对……事实……就是这样，我会另想办法。
茱莉亚,衫……对不起……我没想到会变成这样……
伊莎多拉,……
伊莎多拉,看看这个，这才是我说的“凡事要按流程走”。
伊莎多拉,就在刚才，하나协会将图书馆一案提升为“都市传说”。
茱莉亚,也就是说……！我们协会可以正式采取行动了，对吧？
伊莎多拉,没错，可我并不清楚Zwei对这个案子的立场，先别抱太大希望。
衫,谢谢你！伊莎多拉……多亏了你。
衫,抱歉刚才给你添了这么多麻烦。
伊莎多拉,呃，我，我，我只不过是例行公事，把合适的情报汇总起来，按照流程一并交给上级罢了。
伊莎多拉,其中也包括其他事务所和帮派在图书馆遇难的情报，尽管它们大多无足轻重。
茱莉亚,但这全要归功于我们6科的情报处理组组长——可爱的伊莎多拉对情报的精准分析和快速处理吧？嘻嘻，真不愧是伊莎多拉！
伊莎多拉,随你怎么想吧！
伊莎多拉,那么，你们手里有那张邀请函吗？
罗兰,看来协会准备采取行动了，今后的情况将大有不同。
安吉拉,会有什么区别？
罗兰,如果说以往的宾客都是偶然间受好奇心驱使而来，那么以后的宾客将会把图书馆视为明确的目标。
安吉拉,为什么这么说？
罗兰,被协会正式认可的案件通常能换取丰厚的回报，而弥漫着钱臭味的地方一定会招来纠缠不清的虫子。
