Character Name,Dialogue
不来梅,咯咯咯~！！汪汪汪！！！咴！！！
Netzach,……
不来梅,咯？汪汪？嘤嘤！！！
Netzach,……
Netzach,唉……如果能沟通的话，我还想问点什么……
Netzach,你……不，该说是你们吗……就算不会说话也应该能听懂吧？
不来梅,汪汪！汪~！！！
Netzach,我很好奇。
Netzach,现在这副连人话都说不清的模样……就是你们心目中的艺术形态吗？
Netzach,你们想以这种方式生存下去吗。
不来梅,汪。汪。咕？
Netzach,……我很想劝你们放弃，放弃这种必须燃烧自己和他人生命的艺术。
Netzach,但另一方面……也不是完全无法理解。
Netzach,艺术只会使人专注于一种事物。
Netzach,对周遭的事物漠不关心。在我看来，从事艺术的人大多都会这样。
Netzach,结果，他们没有意识到自己的身体或是周围正在燃烧，仍然为之沉迷。
Netzach,从某种意义上来说，这就好比是一个人的人生。
Netzach,……
不来梅,汪汪！咯？嘤嘤~！
Netzach,如果能重获新生，我也想试试艺术。
Netzach,不是作为一名司书管理艺术层……而是以一种无比自由的方式。
Netzach,如果能再次看到那束光……
Netzach,我会很乐意为之鼓起勇气。虽然这话说得轻巧，其实需要很大的决心。
Netzach,既然你们如此迫切，想必也曾见过那样的光吧？
Netzach,即便那是头扭曲的怪物……
不来梅,汪汪~嘤嘤~！！嘤！！！
不来梅,嘤！！！汪汪！嘤！！！咯咯咯！！！
Netzach,我明白了。请冷静些……整个脑袋都在嗡嗡响。
Netzach,说实在的，你们……我无法欣然接受你们乐团所追求的艺术。
Netzach,可以的话我想请你们立刻收手。
Netzach,但我并不能像其他人那样，对你们横加指责。至少，我明白你们为何要这么做。
Netzach,我也明白，我们没有资格对彼此的艺术评头论足。虽然我并不为自己的艺术感到骄傲……
Netzach,因此……只能以这种方式直面对方。
不来梅,汪汪！嘤嘤嘤~！！咯！！咯咯咯！！！
Netzach,嗯……那咱们，开始吧。
