Character Name,Dialogue
菲利普,……
Malkuth,欢迎光临！我是负责接待您的历史层指定司书……Malkuth！
菲利普,……
Malkuth,呃嗯，一句话都不说吗？
菲利普,我们之间还有什么可说的。
Malkuth,是因为觉得我们夺走了你的一切吗？
菲利普,或许吧。
Malkuth,听起来并不确信呢。
菲利普,心中有不知是遗忘还是失去了的情感和记忆。但那种情感也只会逐渐变得迟钝吧。
菲利普,或许过去那个无法放下一切的我，会为此感到愤怒和难过吧。
菲利普,而如今的我，只是像其他希望如此的大家一样，为了唤醒都市中的人们而站在这里开始演奏。
菲利普,除了对那被你们藏在身后的光的渴望，我再无其他特别的感情。
Malkuth,你不觉得自己已经失去了某些重要之物吗？
菲利普,纵使幸福已被剥夺，也不意味着悲伤需要降临。
菲利普,从根本上来说我并未失去幸福。
菲利普,只是回归到领悟到那些感情之前……与他们相识之前的我而已。
菲利普,我很确信，在那之前我也并非不幸之人。
Malkuth,如果连那样的感情和记忆都要抛弃的话……你身边还能剩些什么啊？
菲利普,再无他物。但不再悲伤。
菲利普,为什么要教导人们应去得到什么呢。职位，财产，朋友，家人，知识，还有金钱……
菲利普,无论目标为何，只有将其收入囊中才算是成功幸福的人生。
菲利普,但这世上没有永恒。那些物质总有一天会离开自己的手中。
菲利普,最终，当人们为了紧抓那些东西不放时便会丑态尽露，而后陷入绝望，感到悲伤。那样就是我曾经的模样。
菲利普,人与人之间的关系真的有那么重要吗？直到最后总会以崩塌收场。
菲利普,为何不能抛去他人的干预，以纯粹的自我沿着自己选择的道路走下去呢。
菲利普,即使现在看上去一无所有，最终也一定能得到更多的收获。
Malkuth,会对人与人之间可能发生的各种关系感到害怕再正常不过。我也一样。
Malkuth,可是……要是没有这样感情的话，又该如何前行。
Malkuth,无论多么痛苦，也总有从那痛苦中学习到的东西啊。
菲利普,或许是吧。即便如此，你也没有资格对我说三道四。
菲利普,夺走了我身旁之人的你，现在竟敢厚颜无耻地……
Malkuth,……
菲利普,但我来到此地的目的并不是为了复仇。大部分团员应该都是这样吧。
菲利普,我们想要的，只是能够不拘于任何事物，自由地活下去。
菲利普,我已经受够了无论做什么都担心受到指责的生活，已经太累了。
Malkuth,我也没法再跟你争些什么了。因为我不能对我们之前的所做所为问心无愧。
Malkuth,那么方法只有一个了。从现在起我会做我应做之事。
Malkuth,……大伙，做好准备。
