Character Name,Dialogue
巴达,老板您看到了吗？T公司发来的委托。
尼莫,诶呀~这下麻烦喽。
玛蒂娜,……我们被盯上了……？
尼莫,W公司也真是的……竟然这么轻易就泄露了奇点。麻烦哟！麻烦了呀！
巴达,结果跟那苍蓝残响说的一模一样。
尼莫,对！说得没错！借此机会咱就能掌握W公司奇点的确切情报！
尼莫,只要通过这张邀请函前往图书馆，取来W公司清扫人员的书就行啦！
玛蒂娜,……老板……图书馆现在是都市之星……
尼莫,咱事务所至今处理过11件有关都市之星的委托！正因如此才能获得T公司的直接赞助！
巴达,得到W公司奇点的情报后您打算怎么做？我想您不会老老实实交还给W公司吧。
尼莫,当然是卖给需要这项技术的客户啦！“专利战争”一触即发。
巴达,而非立刻上交给T公司。
尼莫,阿巴呀！咱事务所可不是光靠给人打工才会升到这个位置的！
尼莫,无论何时都要抓住机遇哟！
尼莫,说实在的，之前被要求把工作转交给视线事务所那样的废物时……
尼莫,我还以为他们在拿咱寻开心呢，看看现在换来了什么！
尼莫,但是呢……
阿尔加利亚,是吧？方头尼莫。就像我说的那样？
普鲁托,我们又见面了，拐杖事务所的尼莫先生。
尼莫,……但是呢！你这阴险的寄生虫还有你这该死的骷髅头。什么时候说过咱要亲自前去的？
尼莫,你俩玩我呢？
尼莫,非要让我的人亲自踏进图书馆？再捎上我？
阿尔加利亚,方头尼莫。您刚才不还在吹嘘自己完成了11件都市之星级的委托吗？怎么……
阿尔加利亚,您别是，怂了……？
巴达,你从哪儿听来的……？
玛蒂娜,……这下糟了……
尼莫,哈！哈！哈！俗话说得好，隔墙有双耳……咱说的话怎么就被你这狗崽子听见了！
尼莫,我会怂？
尼莫,对！见狗就怂噢？
玛蒂娜,……老板上头了……
巴达,一时半会儿怕是很难冷静下来。
普鲁托,没曾想到，声名显赫的拐杖事务所竟会如此轻易地改口。
尼莫,骷髅头先生欸！您看我像不像坨废铁？
尼莫,你俩干的龌龊事那叫一个明目张胆，那叫一个骇人听闻！
尼莫,放我进图书馆？要是我在里头“书”了？
尼莫,那世上就会多出一本有关W公司和T公司奇点的书啦？L公司的书也在图书馆里呢？
巴达,……
玛蒂娜,……
尼莫,哪个幸运儿能瞬间斩获3片翼的奇点呢！
尼莫,在这专利战争即将爆发的时期？
尼莫,哈！哈！哈！显而易见，无需多言！
尼莫,说说吧。谁指使的。谁想赚个盆满钵满。
普鲁托,哎呀哎呀……
阿尔加利亚,哈哈哈……
阿尔加利亚,啊……
阿尔加利亚,我还以为您如此慷慨激扬要作何演讲……
阿尔加利亚,这颗方块脑袋只能想到这些？
