Character Name,Dialogue
汤咪,……玛丽。
汤咪,我们这是在哪儿……？
汤咪,已经过去多久了……？
玛丽,汤咪……汤咪……你终于醒了……
玛丽,对不起……
玛丽,我什么都不知道……我也不记得到底过去了多久……
伊莲娜,已经过去10天了。
汤咪,……10天？
伊莲娜,清醒点了吗？你已经昏迷了整整3天。
汤咪,WARP列车不是号称只要10秒就能到达任何地点吗？
汤咪,怎么会这样？我们该怎么办？这到底是在哪儿……
伊莲娜,我也不知道，汤咪先生。
伊莲娜,啊，是您身旁的恋人告诉了我您的名字。
伊莲娜,我叫伊莲娜，是一名护士。
伊莲娜,这位是我们医院的医生，在宪师傅。
在宪,……你好，初次见面。
玛丽,在你昏迷的时候，是这位女士一直在照顾你……
伊莲娜,这种情况我也是头一回遇到。
伊莲娜,WARP列车我乘坐过很多次，每次只要闭上眼睛倒数10秒就能愉快地抵达目的地。
伊莲娜,师傅您听说过这种事故吗？
在宪,我也没有，这种技术缺陷对W公司的形象而言是足以致命的，但更令我疑惑的是，这10天来他们为何从未采取补救措施？
汤咪,现在是担心W公司的时候吗？我们要被关在这里活活饿死了！！！
玛丽,汤咪……其实……
伊莲娜,让我来解释吧。
伊莲娜,汤咪先生，您已经昏迷了整整三天，可您现在有口渴的感觉吗？
伊莲娜,在昏迷期间，您从未摄取过任何水分。
汤咪,……
汤咪,我完全不觉得渴……？
伊莲娜,没错，这里的人们不会感到饥渴。
伊莲娜,准确地说，在这里，我们不需要进行维持生命的生理活动。
汤咪,这怎么可能？到底发生了什么……
伊莲娜,我也不知道……眼下只能等待了，看来时间似乎是我们仅有的一切。
汤咪,时间……吗……
玛丽,汤咪……你要是累了可以再睡一会儿，我会一直陪在你身边的。
汤咪,我也是，玛丽……我们永远在一起……
,-第15天-
玛丽,……汤咪！汤咪！！
汤咪,玛丽……怎么了……为什么这么吵？
玛丽,汤咪！快醒醒！出事了！！
伊莲娜,虽然有料到这种事情迟早会发生……
汤咪,到底出什么事了……？
在宪,隔壁车厢似乎发生了骚乱。
汤咪,什么……那个人，他在做什么……？
乘客甲,看着我！！！都给我睁大眼睛看好了！！！！
玛丽,呀啊啊啊啊啊啊啊啊啊！！！！！
在宪,在如此闭塞的空间待上2周，自然会发生这种事情。
汤咪,那……那个人……在割自己的脖子……？？
伊莲娜,哈……？这倒是新奇……师傅？
在宪,的确……艾琳派我们来一定是有原因的。
乘客甲,磕……看啊……咕……呜，我的脖子，割开，一半惹……可，可就是，死不了……
汤咪,呼……呼……
玛丽,汤咪……汤咪……
汤咪,抱紧我，玛丽……
,-第16天-
伊莲娜,啊，汤咪先生，您终于醒了。
汤咪,哈哈……从没想过我会晕倒这么多次……
伊莲娜,看来玛丽小姐的精神也受到了极大的冲击。
汤咪,是啊……她到现在还没醒过来……
汤咪,……那个人，后来怎样了？
伊莲娜,那些抹了脖子的家伙，已经被我们驱赶到另一节车厢里了。
在宪,有300多人被困在这辆列车上，失去理智做出那种事的人不可能只有一两个。
汤咪,“驱赶”……？他不是已经死了吗？
汤咪,像那样流血的话，绝对会死的吧？为什么要驱赶一具尸体……
伊莲娜,……
伊莲娜,发生了无法理解的事，虽然他的动脉已经被完全割断，可他依然活着。
伊莲娜,他的血液落得满地都是，却没有与自己的身体分离。
伊莲娜,通常情况下，血液本该渗入地板或者喷溅到其他物体的表面，可他的血液仍然与身体相连，就像一团凝胶。
伊莲娜,而且，他的意识也并未消失，一直在嘟囔着疯狂的想法。
伊莲娜,就好像他一直在承受脖子被割断时的剧痛。
汤咪,……到底是怎么回事……这种事情真有可能发生吗？
伊莲娜,……
伊莲娜,我不知道。
伊莲娜,抱歉，汤咪先生。我好像总是给您同样的答复……
汤咪,不……是我不好，我不该一直向伊莲娜小姐提一些没有答案的问题……
在宪,但有一件事我们可以肯定。
汤咪,是什么……？
在宪,这一切仅仅只是开始。
在宪,所以你必须鼓起勇气。
伊莲娜,就当是为了你身旁的恋人。
汤咪,是……我会的……
,-第30天-
玛丽,汤咪……我听隔壁车厢的美浩阿姨说，在列车的30节车厢中，那些自残的人已经挤满了整整5节……
汤咪,别担心，玛丽……我们车厢的各位还坚持得住。
乘客乙,这都要感谢伊莲娜小姐和在宪先生，不仅是我们车厢，相邻6节车厢的乘客们也都在他们的领导下稳定了下来。
乘客丙,是啊……能有他们这种沉着冷静的医护人员陪在身边，真的让人非常安心。
玛丽,没错……如果没有伊莲娜小姐和在宪先生，我们说不定也……
汤咪,别担心，玛丽……我们车厢的各位还坚持得住。
,-第93天-
伊莲娜,各位，事态正在逐渐恶化。
伊莲娜,包括我们7号车厢在内的5到15号车厢虽然团结一心，但从16号车厢开始，情况就变得严峻起来。
伊莲娜,就在3天前……
乘客丙,对！我听说19号车厢里已经挤满了活死人！
乘客丁,那些疯子一齐闯进其他车厢，把人们的血肉活活挖出来……就好像，把他们当成了玩具……
伊莲娜,是的……
伊莲娜,而那些“玩具”似乎决定接受疼痛的折磨，以此熬过这漫长的时光。
汤咪,他们疯了吗……！？只是为了消磨时间就开始互相残杀……
玛丽,可他们都还没死……
汤咪,玛丽！那些人只会拖着四分五裂的肢体在地上爬，已经跟死掉没差了！
在宪,没错，我们必须坚持下去。我们无法阻止那些失去理智的人伤害自己的身体，但强迫他人承受同样的痛苦也太不像话了。
乘客戊,伊莲娜小姐！在宪先生！我们该怎么办……要是我的弟弟妹妹们也被那些疯子盯上，那可如何是好啊？
在宪,你们不想和心爱的人分开，对吗？
在宪,至少，在这不知何时才能解脱的漫长时光中，你们想和心爱的人永远在一起，对吗？
乘客戊,对，没错！只要能和心爱的人在一起，我们就一定能坚持下去！
乘客己,在宪先生有什么对策吗？
玛丽,我也不想和我的汤咪分开！
玛丽,汤咪也是这样想的吧？
汤咪,……当然。
伊莲娜,那么，请大家相信我们。
伊莲娜,我们希望征得大家的同意，然后做好与它们交战的准备。
汤咪,交战？
伊莲娜,我们要向那些15号车厢之后的人，向那些试图将我们分开的恶人宣战。
,-第100天-
汤咪,疯了……大家都疯了……
伊莲娜,汤咪先生……你还在犹豫吗？
玛丽,汤咪……你看，他们其实也没那么糟……
玛丽,虽然我一开始被吓到了，但……
玛丽,如果能和汤咪永远在一起……
玛丽,那样的话，我一定可以坚持下去的……
汤咪,对不起……玛丽……请给我一点……时间……
伊莲娜,汤咪先生，虽然此处拥有无穷无尽的时间，可留给我们的时间并不宽裕。
在宪,我不会强迫你的，选择权在你自己手中。
,-第113天-
汤咪,来吧……
汤咪,就这么做吧！！！
玛丽,汤咪……
伊莲娜,看来你下定了决心。
汤咪,我已经见识到14号车厢的人变成什么样子了……
汤咪,他们被敌人袭击了，疼得瞪大眼睛，口水直流……
汤咪,玛丽，我绝不能让那种事发生在你身上。
玛丽,汤咪……我也是这么想的……
伊莲娜,很好，那我们现在就开始吧。
伊莲娜,师傅……请准备一下。
在宪,（点了点头。）
,-第120天-
玛丽,汤咪……感觉怎么样？
汤咪,我不知道……
汤咪,但我现在安心了……
汤咪,因为我能时刻感受到你的心跳，一清二楚……
玛丽,我也是……我们再也不会分开啦……
,-第150天-
伊莲娜,多亏了大家的“爱”，我们这10节车厢一直以来都安然无恙。
乘客们,这都要感谢医生们赋予了咱们新的身体。
伊莲娜,我深感荣幸，正是各位的爱真正守护了彼此。
乘客们,医生！！！10号车厢请求支援。
伊莲娜,汤咪先生，玛丽小姐，能请你们去10号车厢助他们一臂之力吗？
汤咪和玛丽,啊？可我们从没打过架……也没什么力气……
在宪,我相信，你们对彼此的爱会让新的身体变得前所未有地强大。
汤咪和玛丽,我们相信您，医生。
,-第3437天-
玛丽,把这些自残者塞进他们的老巢已经是轻而易举了呀，汤咪。
汤咪,是啊，医生说得没错，我们对彼此的爱给予了我们力量。
玛丽,无论我们把这些恶心的家伙碾碎多少次，他们还是会爬出来。
汤咪,不过，这下他们总该安分一阵了吧。
伊莲娜,欢迎回到小镇，汤咪先生，玛丽小姐。
镇民们,汤咪先生和玛丽小姐是咱们小镇的大英雄！！
镇民们,汤咪！！玛丽！！！真了不起！！！！
,-第724284天-
伊莲娜,汤吗丽，到这儿来。
汤吗丽,什么事呀，妈咪？
伊莲娜,最近过得如何？
汤吗丽,和以前一样哦！我在想呀，下次是把那些红块块叠成正方形比较好呢？还是折成三角形比较好呀？
伊莲娜,都挺好，那些家伙很喜欢痛苦，这样做一定会让它们感到高兴的。
汤吗丽,咦……爸比呢？
伊莲娜,……他到前面的车厢处理工作去了。
汤吗丽,那妈咪叫我来这儿做什么呀？
伊莲娜,我终于收到了有趣的东西。
