Character Name,Dialogue
安东,伍柒捌……贰壹柒玖……捌贰壹叁……
瓦列里,壹贰玖壹伍柒陆贰叁肆捌。
莱拉,伍捌叁贰零玖壹玖伍叁。
瓦列里,陆捌叁零贰肆壹玖叁。
安东,零伍零肆叁……
罗兰,……我就知道，没有翻译，根本听不懂清道夫在嘀咕什么。
安吉拉,稍等，如果这些声音具有语言的形式，我就可以实时翻译。
罗兰,真的假的？单凭这几句就能摸清一整门语言？
安吉拉,优秀如我，自然可以做到。
莱拉,夜晚的时间，不再只属于我们。
瓦列里,我知道，夜里能让家人安心吃饱饭的地方，越来越少了。
莱拉,最近在L巢进餐的家人，因为大雾的影响，很难看清前方。
莱拉,听说有些家人至今仍被困在雾中，无法脱身。
安东,为什么……不告诉……嬷嬷……
瓦列里,如果被嬷嬷知道，她一定会和食指大打出手。现在情况不明，我们不能冒失去家人的风险开战。
莱拉,如果食指真的背叛了我们，如果嬷嬷知道得太迟，许多家人就会被活活饿死。
安东,如果……缺少……食物……嬷嬷也……很难……让家人……继续增长……
瓦列里,我们都有各自的家室，我们有家人，还有孩子。
瓦列里,我不是说什么都不能做，只是现在更应该小心。
莱拉,你也知道，一周前，那些爬虫模样的谢肉祭闯进阿哥家，吃掉了许多家人。
莱拉,5天前，狼之时刻找上了阿妹的房子，两家人死得很惨。
莱拉,3天前，食指的代行者把邻居家搅得一塌糊涂。
莱拉,2天前，傀儡师掳走了我的孩子。而昨——
瓦列里,我知道！我也知道这些事净发生在夜晚！
瓦列里,我知道现在的力量大不如前！我知道这座巢的夜晚不再是我们的世界！
瓦列里,嬷嬷肯定也知道，她知道我们需要更多地方安家。
安东,那……为什么……
瓦列里,如果事情闹大，我们的房子就会越来越少。一旦和食指发生全面战争，那夜晚的时间便将不复存在。现在的麻烦只能靠我们自己解决。
莱拉,该怎么解决？
瓦列里,图书馆，我们去一趟图书馆。
瓦列里,我知道，拇指和食指的走狗已经在图书馆里化成了书。
莱拉,你收到邀请函了？
瓦列里,是的，有了那些书，我们就能查明食指到底背没背叛嬷嬷和家人。
瓦列里,顺道还能帮L巢的家人解决进餐的问题。
安东,那种事……现在……查明……还不算……太晚……
莱拉,我明白嫂嫂的意思了。
瓦列里,我们叫上邻居，一起去图书馆。
瓦列里,临走前叮嘱孩子们，一定要把房门锁紧。
瓦列里,我们的嬷嬷，我们的邻居，我们的家人，我们的孩子，就由我们——由阿爸阿妈的双手来保护。
罗兰,哇……清道夫真的要来了吗？
罗兰,他们居然会在大白天，而且是目的明确地集体前往某个地方？讲起话来还这么利索？
安吉拉,有趣，我本以为他们会更野蛮些。
罗兰,我以前雇过一个翻译去向他们问话，搞得我以为他们只会说些乱七八糟的词语。
罗兰,没想到他们说出来的句子这么完整，彼此之间聊得还挺起劲……
罗兰,现在想想，我花了一大笔钱雇的翻译根本就是坨骗钱的狗屎。
安吉拉,这么看来，所有清道夫都是有血缘关系的一家人？
罗兰,不见得，所谓的“家人”可能仅仅是为了建立成员之间的纽带，许多混帮派的互相称兄道弟也是同样的道理。
安吉拉,我曾听说他们会绑架后巷和郊区的孩童。
罗兰,有关清道夫的事没必要挖太深，他们的数量太过庞大，不仅遍布后巷，甚至延伸到了郊区。真不明白他们和你想要的自由能有多大关联。
瓦列里,各位邻居，这里就是图书馆。
瓦列里,这里就是那群后巷垃圾议论已久的图书馆。
安东,从没想过……我们……也会来……图书馆。
安吉拉,各位来宾，欢迎你们的到来。
瓦列里,您好……您也是我们的家人吗？
安吉拉,怎么会呢？
安东,可是……您能说……家人的……语言……
莱拉,只有家人才能和我们交谈。
安吉拉,如您所见，最近我试图站在来宾的角度与之对话。
莱拉,不可思议，太惊人了。邻居们快来看，图书馆和其他地方都不一样。
瓦列里,我知道，这是我头一回和不是家人的人正常说话。
安吉拉,家人，家人，家人，家人……这个糟糕的话题能否就此打住？
安东,家人……很重要……家人……并不糟糕……
莱拉,我很抱歉，我们来这里只是为了拿书。
莱拉,关于笼罩这座巢的雾……您知道些什么吗？
安吉拉,相信您能在书中找到答案。
瓦列里,是的，只要找到那些书，我们就知足了。
安吉拉,那么，愿您找到想要的书。
罗兰,可把我累惨了，那些清道夫真的很有韧劲。
安吉拉,究竟是什么样的交易，能让他们置性命于不顾？
罗兰,多半是因为清道夫的生存之地越来越少，而这笔交易能帮他们解决燃眉之急吧。
安吉拉,希望今后能有机会深入了解。
罗兰,这我就不清楚了，反正跟着邀请函的指示前进，到时你自然会知道的不是吗？
罗兰,话说回来，你为啥会对清道夫这么感兴趣啊？
安吉拉,他们身上有股可疑的味道……
罗兰,那味儿确实挺重……
罗兰,去闻闻那些哄臭的绷带，我敢保证你三天吃不下饭……
安吉拉,你疯了？
罗兰,诶哟，开个玩笑都不行吗……
罗兰,总之，这还是我们的馆长大人第一次跟着自己的感觉走……多花些心思了解一下也未尝是件坏事吧。
