Character Name,Dialogue
皮特,喂！别磨叽了，快割！Zwei那帮狗崽子随时有可能追上来！（注：Zwei-德语中意为“二”）
莱尼,……我正在努力！
莱尼,这小子的内脏不大正常，我不好下刀。
莱尼,从没听说过还有这种身体改造手术……
锤哥,不管从哪个角度看，他的内脏都很奇怪，他真的……
皮特,……妈的！他们的脚步声越来越近了！
皮特,别想着能割好看了，直接扯下来！！
皮特,再这样拖下去我们谁都别想保住脑袋！
莱尼,唔……？他身体里怎么会有这种东西……
皮特,别管是啥统统给我装起来！没时间了！
锤哥,差不多弄好了！
皮特,开溜！！
莱尼,……呼……呼~好险。
锤哥,皮特，你小子真有种啊，竟敢在Zwei的地盘收割内脏。
皮特,我们现在只能做这种事了吧。
皮特,无论如何我们都要想办法往上爬，无论如何……
皮特,你们知道我的梦想吧？有朝一日，我一定要成为后巷的一名“手指”。
锤哥,嗬……像你这么有抱负的小伙，最近可不多见喽。
锤哥,咱们先想法子把割来的内脏卖掉吧。
锤哥,当务之急是尽快准备好给“丧家犬”上贡的钱呀。
皮特,说得没错……这次也许是我们加入“都市传说”级帮派的大好机会……
皮特,好啦~大伙儿来看看这趟的收成~
皮特,……喂！妈的玩我呢？你确定没割错！？
莱尼,所以我之前就在说！那小子一块正常的内脏都没有！
皮特,我还以为，最坏的情况不过是在脑啡肽之类的药里浸过……
皮特,可这烂得也忒离谱了吧，简直像被什么东西炸过一样。
锤哥,我们只给那小子打了麻药，可没动过手。
皮特,妈的没道理啊……内脏烂成这样还能上街走路……
锤哥,他会不会是那东西？你们知道吧，最近传闻里出现这么号人物，他会用线把人活活串起来，做成傀儡呢……
皮特,那件事我也听说了，可你们再仔细瞧瞧……这和传闻说的根本是两码事吧。
皮特,我听说，那种傀儡是用人肉和人骨缝在一起做成的，可那狗娘养的身上非但没有缝线，干净得连块疤都没有！
锤哥,我想起来了，那小子后颈上有块橙色的圆形符号。
锤哥,第一眼看我还以为是纹身，可他不像会做“纹身手术”的人才对，他只是个坐办公室的书呆子啊。
皮特,符号？纹身？操，难道我们捅了什么马蜂窝不成……
莱尼,除此之外……
莱尼,他身体里还塞了个信封。
皮特,身体里怎么会有信封！？事情越来越诡异了……快给我看看！
皮特,……图书馆的……邀请函？这是做什么的……
锤哥,书？可以从图书馆拿走书？搞什么……
莱尼,唉……总之这滩烂肉根本卖不了钱，明天就是上贡的最后期限了。
莱尼,说准确些，我们只剩下7个小时了，再找人割一次肯定来不及……
皮特,我们去邀请函上写的图书馆……
皮特,虽然不知道“书”具体指什么，但没得选了，我们要抓住眼前的一切机会。
锤哥,你这不就是找死吗？谁知道那里是什么破逼鬼地方？
皮特,那也总比被丧家犬或Zwei弄死要好！反正我们完犊子了！想活命就闭上嘴跟我走。
罗兰,刚才看到的是……？
安吉拉,邀请过程的片段。
安吉拉,我们可以借此了解来宾们的故事。
罗兰,居然搞偷窥，没想到你的兴趣爱好这么不干净。
安吉拉,预先知晓会有什么样的宾客来访，对我们而言岂不是更方便？
安吉拉,此外，这并非我的意志，而是邀请函自身的意志。
罗兰,那这邀请函可真不赖，既能偷窥又能绑架，简直是坑蒙拐骗杀人越货的贴心好助手。
罗兰,既然邀请函这么有能耐，那为什么不干脆跳过接待环节呢？
罗兰,把来宾直接扔进布满陷阱的房间做掉，岂不是方便多了？
安吉拉,不能那样做，唯有宾客自愿来访时，我们才能看到这幅画面。
安吉拉,更何况邀请函的力量并不完全属于我，我只是在借用罢了。
罗兰,是啦，是啦，都市里的事情没可能这么简单。
安吉拉,这些来宾看上去非常焦躁。
罗兰,或许内脏损伤和那块符号也是邀请函造成的？
安吉拉,怎么会呢？它们没有半点关联。
安吉拉,邀请函会以某种方式出现在需要书籍的人身边，仅此而已。
罗兰,这么看来，那些怪事肯定是其他人的杰作……
罗兰,我以前做收尾人的时候从没见过那种现象，感觉像是“废墟”里的某种东西引起的……
安吉拉,废墟？
罗兰,唔……我也不太了解，只是听过一两句有关废墟的传闻。也许可以把它理解成……某种魔法？
罗兰,总之，能引起那种现象的东西应该只存在于废墟中。
安吉拉,先不说别的，我们只管接待来宾即可。虽然他们的水准看上去很低，却也无可奈何。
罗兰,看他们吊儿郎当的样子，多半是来自后巷的混混，是被我们称作“耗子”的那些家伙。
罗兰,他们就是一群半死不活的暴徒，既没有积蓄，又没有力量，组织松散地连帮派都算不上。
罗兰,一群眼巴巴地盼着收入，能混一天是一天的失败者。
罗兰,嗯……这话说出来怎么觉得脸火辣辣的……
安吉拉,后巷……我知道这个地方。
罗兰,是吗？
安吉拉,我有一位认识的人就是出身于后巷。
罗兰,后巷出身又不是什么稀缺事儿，毕竟那些地方就像血管一样遍布都市各处。
罗兰,如果碰见出身不是后巷的家伙，那才叫稀奇呢。
皮特,这里就是图书馆啊，比想象中的还要漂亮嘛。
莱尼,嗯~没准里头有不少值钱玩意儿。
安吉拉,各位来宾，欢迎你们的到来。此地正是图书馆。
安吉拉,我是图书馆的馆长兼司书，安吉拉。
安吉拉,您将在此地得到任何想要的东西，然而，您也可能失去最为珍贵的东西。
皮特,你就是这里的头头？我们想要的东西都可以拿走，没错吧？
安吉拉,当然。准确地说，您可以拿走任何想要的书。
安吉拉,如果您拥有与之相称的实力，那自然没问题。
锤哥,那种烂书能值几个子儿……？
安吉拉,如果书中包含珍贵的情报，那当然能值很多钱。
皮特,锤！哥！现在是考虑那种屁事的时候吗？我们要抓住一切翻身的机会。
安吉拉,那么，正于此地，愿您找到想要的书。
安吉拉,加入一个知名的帮派真有那么重要？
罗兰,如果想在都市混就没别的办法。帮派也好，其他地方也罢，找不到组织就没法活下去，这就是都市。
