Character Name,Dialogue
阿尔加利亚,罗兰。真的不愿和我攀谈几句吗？哪怕一句话都？
罗兰,事到如今还有什么好说的？我们各自的目的都已经相当明确了吧。
阿尔加利亚,让我想想，你站在这儿和我对峙的理由不会只是因为安吉拉受了些伤吧？
阿尔加利亚,没可能呀。你现在分明是在为自己那完美的计划突然泡汤发小脾气吧？
罗兰,你才是那个把它搞砸的人……
阿尔加利亚,那么我所做的事又算是什么呢……不正确的行为吗？
阿尔加利亚,而我也无法理解那是否是正确的……
阿尔加利亚,正因人类被那所谓的正确限制着才会停滞不前，不得不过着不幸的生活啊。
罗兰,……你在胡扯什么。
阿尔加利亚,而那所谓的正确常识便是经常被人称作“定义”的东西呢。
阿尔加利亚,时间为何只会向固定的方向流逝？
阿尔加利亚,那是因为你们认为时间只能朝那个方向单向流逝。
阿尔加利亚,那种想法为何会被认为是正确的呢？裁定是否正确的标准究竟又是什么？……为何要用这样的标准去裁定呢？
阿尔加利亚,那“定义”不正是为了阻止我们进一步发展而划下的界限般的存在么……
阿尔加利亚,为何所谓的正确会约束人类的欲望呢？为何不能让人类更进一步发展呢？
阿尔加利亚,我虽也曾对此有所困惑，但我很快便得出了答案。而我……现在便要将那答案传达给整座都市。
罗兰,建议你好好琢磨琢磨说的那堆屁话结合起来是个什么狗屁意思。你是想表达自己能够跳出那个框架去逆转时间吗？
罗兰,可别继续把你的人生浪费在那些无聊的奇思妙想上了。
阿尔加利亚,不，那是有可能做到的哦？你们无法跳出这个框架的理由不正是因为你们设下了名为“不可能”的桎梏并因此对其究竟能否做到产生了怀疑吗？
阿尔加利亚,在将那桎梏抛去后，我们也能够无止境地在蓝天下翱翔。这并非是假设，而是可以确信的事实。
阿尔加利亚,而我们的乐团也正是在领悟到了这点后才能以这幅姿态出现在你们面前的哦？
罗兰,扯了这么多，到头来你也只是想将自己身上所承受过的苦痛彻底消去而已吧？
罗兰,你也不过是想要践踏蹂躏我、都市、还有夺走安吉丽卡的安吉拉而已吧。
阿尔加利亚,哈哈哈……你竟然以为我和你一样么？真是鼠目寸光啊。
阿尔加利亚,我并不是想将我曾遭受过的苦痛原封不动地返还给你哦。
阿尔加利亚,哦，不过也不能完全否认呢。最开始时我确是怀有那样的想法。毕竟那称得上是我的唯一的光芒竟被两度夺去……
阿尔加利亚,但这都只是暂时的……在那架钢琴面前，我百感交集。绝望、执念、愤懑、悲痛……
阿尔加利亚,但那些感情与想法很快便烟消云散了。
阿尔加利亚,一切都……是啊。我眼前的一切都突然变得那么美丽，那么美妙。
阿尔加利亚,“我失去了你，但这真的称得上是悲剧吗？”。“将这定义为悲剧的又是谁呢？”。
阿尔加利亚,罗兰，现在的你仍被愤怒蒙蔽着双眼，而我已然决定不再在意那些感情。
罗兰,但你这混蛋现在仍在以“为了安吉丽卡”的名义纠缠着我……
阿尔加利亚,不，罗兰……我马上就要和这场演奏一同送别安吉丽卡了哦。
阿尔加利亚,我可不会像某人一样丑陋地胡作非为呢。
阿尔加利亚,以“为了安吉丽卡”为名义是不能证明自己的行为并未染上肮脏的欲望的，这不过只是个令人厌恶的借口罢了。
罗兰,呵，明白这点的家伙如今却在扯什么追悼曲之类的卑琐借口。
阿尔加利亚,可人不就是这样的吗？所以我才会发起这场演奏。
阿尔加利亚,这场演奏将会是我最后的领悟，同时人们也都将从这演奏中理解我所要传达的。
阿尔加利亚,而这首挽歌也将成为我为安吉丽卡所做的最后一件事。
罗兰,直到最后也没法理解你在说啥。是不是因为你根本没在说人话啊？
阿尔加利亚,正因为存在着无法理解的事物，才会感到有趣，不是吗？
阿尔加利亚,今后我也将继续追求那些我无法理解的事物。
阿尔加利亚,换而言之，这也意味着我将获得能令我无穷尽地前进下去的动力。
阿尔加利亚,为了做到这点……现在必须要将你们的力量攥入我手才行，对吧？
罗兰,……
阿尔加利亚,……充斥着深情的闲谈就到此为止吧。
罗兰,……
阿尔加利亚,哈哈。你仍旧戴着那副手套呢……
阿尔加利亚,真让我恶心。
罗兰,……闭嘴。
