Character Name,Dialogue
罗兰,哲学层！指定司书是Binah……
罗兰,这里的气味和Chesed那边不大一样？
Binah,……是红茶的味道。
罗兰,有别于咖啡的茶香啊！
Binah,没错哟。那位蓝发少爷仍未知晓红茶真正的滋味。
罗兰,不像其他楼层，这里可真是压迫感十足。
罗兰,还挺应哲学的景。
罗兰,混乱不堪难以理解，但又沉甸甸的。
Binah,你眼中的图书馆如何。
罗兰,我眼中的图书馆？
Binah,噬人血肉的死亡空间……
Binah,积累信息的知识高塔……
Binah,抑或驶向新生的方舟……
罗兰,哼，我眼中的图书馆……角斗场……？
罗兰,安吉拉啊司书啊，在这里的所有人都会极尽所能追逐所求之物。
罗兰,也就遍地血腥超级惨烈啊。
Binah,原来你眼中的图书馆是这样的。
Binah,那么对你而言，图书馆是什么。
罗兰,是我的监牢。
Binah,似乎并非如此。
Binah,你在等待时机。
罗兰,……那可不得抓住脱离这里的机会。
Binah,你说是，那便是。
罗兰,你到底是谁。
罗兰,说得好像你什么都知道一样。
Binah,我是Binah。
罗兰,不……你和迄今为止的司书有着不同的气场。
Binah,你很好奇我在第一次人生中是何种存在。
罗兰,没错，你究竟是什么。
Binah,是首脑的调律者。
罗兰,什么！？
Binah,我适才苏醒。
Binah,应当享受会儿红茶醒醒神，所以晚些时候再来吧。
Binah,别忘了带上书籍。
罗兰,等一下！
