Character Name,Dialogue
罗兰,这是新书。
Binah,已经习惯承载着异想体战斗了么。
罗兰,只要随心所欲地使用就可以了吧？
Binah,看来相当合适呢。
罗兰,这有什么合不合适的……该干啥干啥呗。
Binah,你如此合适的话……或许此后便能直接展现你的E.G.O吧。
罗兰,就是说我也可能会扭曲变成异想体吗？
Binah,正是如此。
罗兰,如今说什么怪物之类的……就算你说我会变成那样，我的内心也毫无波动。
罗兰,那又怎样呢。
Binah,言语中似乎已经放下了许多事物。
罗兰,不是放下了，而是被夺走了。
罗兰,被一无所知的东西冲溃，失去了一切。
Binah,这当归咎于都市么？
Binah,你认定是都市夺走了你平凡而渺小的幸福。
罗兰,……没错。或许也是因为束手无策才会选择放弃吧。
罗兰,即使我能如愿以偿，这个世界也不会善罢甘休。
罗兰,无论如何也要令我饱受痛苦。
Binah,你又从未令他人痛苦，或是掠夺过他人么。
罗兰,……当然有过。
罗兰,就算这样！
Binah,一码归一码……是想这么说吧。
Binah,然而果真如此么。
Binah,你认为那是能够轻易分别而论的吗？
罗兰,那当然了……我的痛苦属于我，而别人的痛苦是别人的。
Binah,说着相当轻巧的话。
Binah,比谁都要熟稔这一切，却比谁都更想回避这个事实。
Binah,你并非无法看见。
Binah,仅是不愿看见。
Binah,都市里的人们正因如此，脆弱不堪。
Binah,我的痛苦重于万物，又无比真切。
Binah,却深知事实并非如此，故而在那般矛盾中化作扭曲。
罗兰,你能看见吗？这座都市中的痛苦？
罗兰,你数得过来吗？问题到底在哪？
Binah,毋庸揣测，仅需注视。
罗兰,……就知道要玩文字游戏。
罗兰,总是说着那种云里雾里的话，谁来听都能累个半死。
Binah,倒也没错。
Binah,所以我存在于此。
罗兰,书我送到了，走了。
Binah,稍等。
罗兰,我没话跟你扯。
Binah,收下这个吧。
罗兰,……这是什么？
Binah,这是红茶茶叶。我很推荐。芬芳馥郁。
罗兰,啊，妈的。那我收着吧。
罗兰,……谢了。
