Character Name,Dialogue
Binah,罗兰。你可知晓，身为安吉拉底本的存在。
罗兰,不知道。没听她本人讲起过。我也不想刨根问底。
Binah,安吉拉是名为卡门之人的仿制。意图改变都市之人。
罗兰,你说什么？那个为了治愈人类而招集人手的卡门？
Binah,她想要开创一个人与人之间毫无纠葛的世界。
Binah,确切地说，一个互相不再伤害，彼此能够理解的世界。
Binah,梦想着人类能够入梦的世界……
Binah,然而悲剧便是，卡门无法达成。
Binah,只有牺牲自己的生命，研究才能得出结果。
罗兰,所以首脑没有错过那个机会吧？
Binah,诚然，那是一大要因……不仅如此。
Binah,安吉拉是卡门的替代品。
Binah,那创造安吉拉，实行计划之人……
Binah,我所注视之人，与我相仿。
Binah,他仅是背负所爱之人的遗业。并无真正大义可言。
Binah,内心脆弱不堪，却是无人能够理解。
Binah,正因如此，他比谁都渴望得到理解吧。
罗兰,也就是说，安吉拉是作为卡门的替代品而制造出来的？
Binah,一次禁忌的尝试，意图直面脆弱的自我。矛盾与依恋……自我厌恶与疯狂。
Binah,他与安吉拉互相需要，然而绝对无法相伴的矛盾。
Binah,创造卡门的机械副本，尽管并不需要那般相似的依恋。
Binah,结果便是，比起卡门更像他自己。
Binah,矛盾与依恋交织点缀的自我厌恶。
Binah,与此同时，将心灵与人类别无二致的安吉拉弃于痛苦中不顾的疯狂。
Binah,不觉得美么？
罗兰,……美个屁。那家伙根本是疯子中的疯圣。
Binah,对某些人而言，他身为善。
Binah,然而世上本没有善。仅有被视为善的存在。
Binah,个人怯于做出普遍判断……
罗兰,是啊。对某些人来说必然是恶……
Binah,人类总是背负着某物看待世界。
Binah,你亦是如此。
,与父母素未谋面的我，被后巷的一位老人拉扯长大。
,可连那位老人也离开了我，独留我一人。
,为谋生计，我自幼便涉足收尾人的世界。
,老人临走前教导我收尾人的生存之道。
,我的所做所为并非为了自己，而是替他人代劳。
,后来就这么逐渐遗忘。
,我能为自己做些什么呢。
,望向都市赤裸裸的原貌，我不禁思考。
,只要能过上没有不足的人生就够了吧……
,在巢里生活会变得幸福吗……
,烟霾与人味弥漫的时代，即将终结之时。
罗兰,滚开。这家伙是我的。
萨尔瓦多,咄咄逼人的小子。还戴着古怪的面具。
罗兰,我叫你滚。
罗兰,……诶？
萨尔瓦多,看向前方吧。一味顾忌身后却错失了重要之物，可就得不偿失了？
罗兰,……我不会道谢的。
萨尔瓦多,那是自然。
罗兰,还有，这家伙得算我头上。
萨尔瓦多,小子，你年纪轻轻就参战的理由是？
罗兰,管得着吗。
萨尔瓦多,不用看也知道，是为巢移居权而来的吧。
罗兰,……老头子你也是？
萨尔瓦多,我本就生于巢，已经居住在巢中。
罗兰,……那为什么还要参战？
萨尔瓦多,真是个乳臭未干的小鬼。看吧。
罗兰,I巢所属徽章……
萨尔瓦多,整个协会都被雇佣。
萨尔瓦多,坦白来说，我也不明白为何而战。
萨尔瓦多,母庸置疑的是，这股烟霾将都市上下变得一片狼藉……
萨尔瓦多,我们不会被告知任何原由，仅是受命击杀目标。
萨尔瓦多,这便是收尾人的规则，亦是都市的规则。
萨尔瓦多,……小子。至今为止你在战争中杀了多少人？
罗兰,23个。
萨尔瓦多,你觉得自己的命有超过那23人的价值吗。
罗兰,不……我只是为了活下去才挥剑罢了……
罗兰,我的命也只值一条命的价吧……
萨尔瓦多,而某些身居高位者却认为，这一小缕烟便能同上万人的命等价。
萨尔瓦多,看。那便是烟霾的根源。清晰无比，丑恶至极。
罗兰,呜噁噁……
萨尔瓦多,戴着面具吐了吗？呜……
萨尔瓦多,……臭小子。连我都吐了。
罗兰,那……到底是什么……
萨尔瓦多,趁早习惯为好。
萨尔瓦多,驱动都市的奇点皆是如此。
萨尔瓦多,嗯，既然目睹了这般光景，就要执行记忆抹消程序。即便如此，那污浊的感觉也不会消失吧。
罗兰,搞什么……？
罗兰,都市的繁华到头来竟是这样的吗？
罗兰,这种东西能让都市呼吸？
萨尔瓦多,实属难能可贵的经验呢，小子。
,那天所见的烟霾的根源，已经记不清了。
,但那为都市带去富足的丑恶之物，我永生难忘。
,这令人作呕的世界本身。
,人们没有意识到，自己的便利是建立在无数旁人的牺牲之上吗。
,他们不会想知道的吧。
,战后，我重新融入都市，继续从事收尾人的工作。
,与许多人相遇，又与许多人离别。
,历经无数生死劫难，身旁只剩下查尔斯事务所的12名收尾人。
罗兰,马上从我眼前消失！！！
罗兰,嗬……哈啊……哈啊……
安吉丽卡,睡相真差呢。
罗兰,……只是稍微打个盹儿。
罗兰,你谁来着……？啊，你就是那新来的家伙吧。
罗兰,知道参与这项委托的其他人都死绝了吧？
安吉丽卡,“当我的灵魂徘徊于深渊之底。痛苦总是相伴我身，我又怎能埋怨痛苦呢。”
罗兰,又碰上个疯子。
罗兰,……这种疯丫……！
安吉丽卡,这是我喜欢的诗句。
安吉丽卡,它帮助我接纳痛苦，而不是试图摆脱。
罗兰,你是做过什么手术啊，力气这么大……差点以为我后脑勺扁了！
罗兰,……咳呃呃。
安吉丽卡,我看您也疯得不轻呀。
安吉丽卡,听说您一直戴着那副讨人嫌的面具。虽然实力确实了得。
安吉丽卡,不愿摘下面具是有什么理由吗？
罗兰,别问。既然彼此都是高阶收尾人，那就守住底线。知道多少算多少。
安吉丽卡,我还不知道呀。
罗兰,从文件上看，你年纪比我还大……那为啥还要说敬语，真不爽。
罗兰,顺便请做好觉悟。在查尔斯事务所的合同到期之前，刚才那2拳我会如数奉还。
安吉丽卡,是3拳哟？
罗兰,啥？明明挨了2拳……
罗兰,……你个疯子！
,我和安吉丽卡的初见，是在一桩都市之星级别的案件之中。
,长期任务就其特性而言，必然会掺杂一些话语。
,难道当时就该保持噤默吗。
,已经有太多的同事……
,不，我是对没来得及称为同事就顷刻逝去的人们，有所依恋吗。
,我为何会敞开心扉……
安吉丽卡,我是郊区出身。
安吉丽卡,准确来说，是某片翼的实验对象。
安吉丽卡,实验结束后就被遗弃在了郊区。
安吉丽卡,虽然不记得实验的具体内容……但我摆脱不了那种可怕的感觉。
罗兰,蛮可怜。
安吉丽卡,真冷漠诶。
罗兰,因为再常见不过了。
安吉丽卡,嗯……说常见也确实挺常见的。
安吉丽卡,那么您呢？请再多讲讲那副面具吧。
罗兰,……专心工作。
,戴面具的理由是小时候老人给出的建议。
,印象中那段话的主旨是，收尾人不能被自己的面貌出卖，这点尤为重要。
,但现在却出现了无法摘下面具的另一个理由。
,我不忍摘下。
,因为我无法再光明磊落地立于都市面前。
,就这样，面具后的空间成为我无法摆脱的，独属于我的世界。
安吉丽卡,不要带我去那个房间！我错了！都是我不好……！
安吉丽卡,所以只有哥哥……求你了，只有哥哥……！！
安吉丽卡,……啊！
罗兰,在执行任务的时候打瞌睡，真会掉链子。
罗兰,论睡相，你的好像更差啊？
安吉丽卡,喂！你等等！这样很痛诶！！！
罗兰,还欠着2拳。另外喊疼的时候要用敬语。
安吉丽卡,……
安吉丽卡,哈啊……有些兴奋过头了。
安吉丽卡,可能是瞌睡时想起小时候的事了吧。
罗兰,……你以前不也说过嘛。倒是头一回听说你还有个哥哥。
安吉丽卡,那罗兰您呢？也该跟我讲讲您的故事了吧。
罗兰,……我参与了烟霾战争。
安吉丽卡,那段时间，刺鼻的烟霾笼罩着整座都市。
罗兰,是的。我亲眼见到了烟霾的源头。
罗兰,我不记得那烟究竟是什么……但那种直视不可视之物的感觉始终没有消失。
罗兰,而且，我觉得自己似乎也加入到了那恶毒的根源之中。
罗兰,心中仿佛有某种东西在沸腾。
安吉丽卡,数不尽的痛苦在都市中徘徊……或许你总是戴着面具的理由也……
奥利维耶,喂。目标正在接近。
