Character Name,Dialogue
罗兰,社会科学层……指定司书是Chesed。
罗兰,嘿，这是咖啡的味道？
Chesed,你好呀，罗兰？
Chesed,来，先坐在这里享受一杯咖啡吧~
罗兰,啊，你好，Chesed。如此热情的招待真是令我受宠若惊。
Chesed,你我都是司书，同僚间理应如此，对吧~？
罗兰,那我就恭敬不如从命，尝尝鲜吧。
罗兰,唔咳！这是咖啡？别是馊了吧？
Chesed,不应该啊，我非常确定，这是上好的肯尼亚BB级咖啡豆……
Chesed,或许是因为图书馆中物质实体化的重构能力还未完善……
罗兰,咳咳……你自己也尝尝！
Chesed,那么，失礼了。
Chesed,……毫无疑问，这是一杯毫无瑕疵的香醇咖啡？
罗兰,我的天啊？！你管这玩意叫咖啡？
Chesed,这确实是口感略偏酸涩的一款，不过……？
罗兰,哈？难道咖啡不该是种浓浓的苦苦的但加了糖有点甜甜的饮料吗？
Chesed,罗兰，你出身自后巷，对吧？
罗兰,呃，大概，是的吧。
Chesed,怪不得~以前卡莉尝试我给她冲的咖啡时，也差不多是你刚刚那种反应。
罗兰,卡莉，谁来着？
Chesed,Gebura呀，就是殷红迷雾。
罗兰,……
罗兰,……一想到殷红迷雾喝咖啡的时候会露出我刚刚那种表情……这是真的好笑，老兄。
Chesed,没错，她那一刻的容颜我至今难忘。
罗兰,……这些都是你第一次人生的故事吧？
Chesed,嗯，那时我们在郊区的研究所共事。
罗兰,气氛还挺不错？
Chesed,是的，起码在那段时间……
Chesed,于我而言，郊区那间简陋的研究所可比都市任何富丽堂皇之处都要来得温暖。
罗兰,然而悲剧又是在什么时候降临的呢？
Chesed,那并非是顷刻间的降临，而是缓慢地渗入膏肓。
罗兰,也不是不能理解。
罗兰,或许，我的那些经历也并非发生在某一瞬间的悲剧。
罗兰,我早就沉溺其中了，那是从最初就注定好的绝望。
Chesed,我可没说过一切在最初就是错误的哦~？
罗兰,只是感慨下我过去的那些破事。
罗兰,无论如何，咖啡……虽然和我口味合不来，但是多谢啦，日后也多多关照。
Chesed,嗯，我们仍有充裕的时间来畅所欲言~
Chesed,如今卡莉也喜欢上了咖啡，罗兰以后肯定也会爱上它的哟~
罗兰,借你吉言。
