Character Name,Dialogue
罗兰,在干什么呢？
Chesed,在甄选咖啡豆。
Chesed,上手起来可远比想象中的更麻烦呢。
Chesed,我和安吉拉，还有脑叶公司的职员和来宾都是被甄选出来的。
Chesed,个人无论怀有何种欲望，在其所属社会中只会被逐渐稀释。
Chesed,无形而巨大的暴力束缚着个人。
罗兰,人与人之间想要相互交流生存下去，那就必须得有规则。
罗兰,如果连那种规则都没有，不就得乱套了。
Chesed,我同意规则是必要的。但又为什么全都如此极端呢~？
Chesed,后巷的组织也好，收尾人也罢，还有翼……都是以人的牺牲作为前提制定规则。
罗兰,追与被追逐，抢与被抢夺，这不都是理所当然的嘛。
罗兰,对没办法的事情绞尽脑汁……你可是超特别的唷。
Chesed,你所经历的痛苦与失去尽是无可奈何的么？
Chesed,你轻描淡写地讲述都市里的事情。说那是不得已而为之。
Chesed,真的是因为毫无兴趣么？还是在极尽全力地回避那些不合理呢？
罗兰,……对。我们只是被巨浪卷走而已。
罗兰,只要顺着水流赶紧淌过去就行。
Chesed,罗兰也在忙着逃命呢~
罗兰,……
Chesed,我是巢出身。
罗兰,我也这么觉得。
Chesed,而且诞生在一个人人都羡慕的富贵名门。
Chesed,无须在意成长的环境，不必担心未来的走向，头脑也相当不错……
罗兰,那您可真是位精英。
Chesed,对吧~？我将毫无疑问地入职A公司，身居高位，所有人都如此期待着。
Chesed,其实我的姐弟们也都轻轻松松地在翼就职了。
Chesed,入职人人渴望的翼对我来说，易如反掌、理所当然。
Chesed,我也无法理解为什么要削尖脑袋挤进那么无聊的公司。
罗兰,家里这么牛逼的吗？
Chesed,嗯。就是出生在那种门第，丹尼尔。
Chesed,或许命运是真实存在的……踏入了本以为毫无缘分的后巷。
罗兰,难道是富家大少的离家出走。
Chesed,那一定会非常浪漫……其实是在那附近被绑架了。不知不觉被拐进去的。
罗兰,不是后巷而是巢里的人……而且还惹上这种有钱人。
罗兰,不是大型帮派就是脑子有坑吧。
Chesed,那个，其实……是卡门和卡莉。
罗兰,殷红迷雾的话……那……我接受了哈。
Chesed,回过神后就看到她们俩在吵架。
Chesed,卡莉，你以前就分不清人脸什么的……卡门也没有好好说明白啊……
Chesed,听得我忍俊不禁。我还以为她们俩在讲什么相声呢。
罗兰,认 错 人 了。俩白痴吧。
Chesed,对吧~？她们俩真的超级天然呆。
Chesed,听她们所说，似乎是在抓捕一个用卡门的研究经费行诈的骗子……在卡莉眼里我像是个骗子。
Chesed,我以为随便接受一下道歉就能回去呢。回到原来的地方。
Chesed,但卡门恬不知耻地说，来都来了，那就再帮她个忙吧。
Chesed,像我这种浑身散发着金钱气息的家伙，只要站在旁边就能帮上大忙。
Chesed,我稀里糊涂就应了下来。
Chesed,还以为她想干什么，结果跑去后巷哪个角落演讲了。
罗兰,后巷满嘴跑火车的大有人在，也算不上什么奇景吧。
Chesed,没错。猜猜看，我站在一边的时候她都说了些什么？
Chesed,我们都很疲惫，都患有心病。要招募共度难关的人之类的，尽是些模棱两可的话。
罗兰,纯扯淡。
Chesed,但她理不直气也壮，相当热情澎湃。人们也是瞟上一眼就扭头离开。
Chesed,卡门与我曾见过的人们非常不同。
Chesed,她有着能够踏上无人前往之路的眼睛与声音。
Chesed,原来世上还有这样的人啊，我这样想道。
Chesed,小小的演讲结束后，卡门送我离开了。
Chesed,然后在归途的路上，我第一次听见了、看见了。
Chesed,与我生活的世界完全不同的、地狱一般的光景。
Chesed,卡门和卡莉告诉了我在后巷发生的一切，还有巢里的人们被毫无意义地剥削压榨。
Chesed,那天回到巢后，不知名的罪恶感令我彻夜颤抖。
罗兰,不谙世事的大少爷心底窜起一股子正义感。
Chesed,没错~ 似懂非懂，似是而非。
罗兰,也可以就当它是倒霉的一天，回到日常生活去吧？
Chesed,说的不错。但那是不可能的……
Chesed,所以呢~ 我就加入卡门的研究团队啦。
罗兰,就这么简单？中间的过程呢？
Chesed,当然喽，家里也有不少问题，不过那些都是小事啦~
Chesed,我想为他人使用自己的能力。
Chesed,真心实意地想要创造更加美好的世界。丹尼尔想道。
罗兰,现在的你还有没有存有那种心情呢？
Chesed,有的，它还在呢。还想正确地改变。
Chesed,如果还有下一次的话~
罗兰,不要以为所有人都和你一样有闲情雅致。
罗兰,能说出这种奢侈的话，得亏你有过那么富足的人生。
罗兰,在下就先行告退喽~
