Character Name,Dialogue
Chesed,安吉拉。一定要不分青红皂白地杀死进入图书馆的来宾，以此获取书籍吗？
Chesed,图书馆迄今为止的实力已经足够强大了……
安吉拉,为了获取精制的书籍，必须提高来宾的感情。
安吉拉,想要将其提取，来宾和司书需要赌上最为珍重的事物，展开决斗。
Chesed,精制的书籍……
安吉拉,一般来说，人们最为珍重的事物是什么呢？
罗兰,是自己的生命啊。
安吉拉,没错。为了活下去，可以不择手段。
安吉拉,以生命为代价，我们彼此为了获取书籍经历生离死别。
Chesed,我们的意见还是合不来啊。
安吉拉,依旧对脑叶公司时期的事情耿耿于怀吗？
Chesed,怎么可能忘掉呢~？
Chesed,即使完全可以救下职员，为了获取能源，还是将他们置于死地。
安吉拉,唉……Chesed。那些全部都是剧本。
安吉拉,为了充分刺激你那又慈悲又细腻的心灵的剧本。
安吉拉,我只是遵从剧本而已。
安吉拉,想要抱怨的话，也知道该向谁抱怨吧？
Chesed,是啊，全部都是剧本。但是如今已经不再是剧本了吧？
安吉拉,不。今非昔比。
安吉拉,尽管是否是个人的选择并不重要，永眠于此的来宾都是在深知风险后进入图书馆的。
安吉拉,……没什么能比和你们谈论过往的事情更令人心烦了。
安吉拉,唉……到此为止吧。
Chesed,逃走啦~
罗兰,气氛挺恐怖嘛？你真的很会挑衅人哈。
Chesed,除此之外……更会冲咖啡。
罗兰,那是。真是托Chesed你的福，我才知道自己之前喝过的咖啡有多垃圾……
罗兰,估计是再也喝不下普通的咖啡喽。
Chesed,真会说话呢~
罗兰,想不到酸味和焦味之间会有这么微妙的差异。
Chesed,是吧？了解之后再去品尝，会更加美味噢~
Chesed,我们生活的世界应该也是如此的吧？
Chesed,只是因为我们了解的、见到的太少，于是误以为眼前的道路便是一切。
Chesed,正如盲目于指令的食指，还有困顿于委托的收尾人。
Chesed,话说到这，食指真的连指令的来路都不知道吗？
罗兰,嗯，或许是吧。
Chesed,不知在何处的什么人，以何种意图下达指令，然后又谨遵执行……还真是苦涩啊。
罗兰,还能怎样。食指确实很极端，但总的来看，似乎整座都市都在遵从着不知从何而来的巨型指令，这样运转着。
罗兰,连自己追求的价值是否正确都无从确认。
Chesed,都市总是如此，也没有关系？
罗兰,不是什么有没有关系的问题。
罗兰,只是不得不在这种地方生存下去而已。
罗兰,人们彼此纠缠、汇聚成巨大的洪流，这也是无可奈何的。
Chesed,每每见到都市的故事，我便会陷入悲伤。
Chesed,包括我和同僚们曾经的经历，还有后来的事迹。
Chesed,我不想见到这幅光景，便参与了改变都市的工作。
罗兰,那么结果呢？
Chesed,如你所见，都市并未如同希望中那般发生变化。
Chesed,……不如说扭曲更令人头疼了吧。
Chesed,自作自受，对吧？
罗兰,不。这是理所当然的结果。
罗兰,都市不可能改变。
Chesed,当真？即使知道都市的痛苦为何循环往复？
罗兰,如果像你说的那样弄明白都市为什么会变成这样的话，就不会有因为出不起钱死于帮派之手的人了。
罗兰,也不会有以合同条款的名义将人逼入绝路的收尾人，更不会有把人当作消耗品一般滥用的翼。
罗兰,要是知道就能改变的话。
罗兰,结果呢，即使知道也无法改变什么啊。刚才不也提过，这巨大的洪流绝非凭借一人之力能够抗下。
Chesed,并不是当下立即发生变化。习以为常的日常也不会说变就变。
罗兰,你懂个屁，怎么能说得这么心安理得？
罗兰,所有人都在咬紧牙关活着啊！哪来那么多闲工夫啊！
Chesed,你想逃避到什么时候？
罗兰,这才不是什么逃避……
Chesed,安吉拉啊、你啊，不都只是在单纯地蒙骗自己么？“不这么做可不行呀”。
罗兰,说到底，我又能怎么办。
罗兰,在这都市……不得不这么做！
,都市之中，还会有比约定更加轻薄的词语吗。
,约定，不过是拥有力量的人才能做到的特权。
收尾人甲,求你了……可否当作从未见过？
罗兰,……
收尾人甲,那份合同究竟是什么！
收尾人甲,如果撕毁合同失去信用，作为收尾人的生涯就会结束，您是明白的吧？
罗兰,再好好读一遍。
收尾人甲,……
收尾人甲,居然玩这种文字游戏……
罗兰,那么，为什么盗取脑啡肽呢。明明不掺和这种事就不会被卷进来。
收尾人甲,求你了。我什么都不知道啊……
收尾人甲,我不知道那是脑啡肽，甚至不知道是要送给O公司！
罗兰,你明白了吧。想干这行……以后可一定要找公证事务所做中介哈。
收尾人甲,看你还能嚣张多久！
收尾人甲,走着瞧……在这都市里，你一定也会在同样的地方摔个狗啃泥！！！
罗兰,此一时，彼一时。
,翻脸无情，不过如此。
巢移居管理人,您不知道吗？翼际战争的参战者是无法移居巢内的。
罗兰,什么？可是明明在参战前说好了会优先分配巢的移居权啊！
巢移居管理人,确实已经发送过邮件了。规则更改已经是很久以前的事了。
罗兰,怎么能这样……这又不是什么廉价的领奖……翼再怎么耍大牌也不能这么干吧！
巢移居管理人,为什么这样，您也是心知肚明的吧。再怎么提高嗓门也不会奏效，不是吗？
罗兰,……求你了。只要能有巢的移居权……
罗兰,真的没有别的办法了吗……？
巢移居管理人,即使对您也会一视同仁。毕竟是涉及巨额资金往来的协议。
罗兰,那些相信能够获得巢内移居权而参战，又身心交瘁的那帮家伙，到头来又算什么！！！
罗兰,……走着瞧。K公司，I公司……
罗兰,不……无论哪家翼都只会对伸来的手坐视不理。绝对不可能拉人一把，只会把它们斩断。
巢移居管理人,但您不也收到了报酬吗？
巢移居管理人,其次，还请回避未经公证事务所认证的交易。
巢移居管理人,反正……懂的都懂，对吧？
罗兰,去你妈的。
巢移居管理人,好的。祝您能够度过愉快的一天。
罗兰,……抱歉。没想到巢里不收烟霾战争的参战者……他们翻脸就不认人了。
？？？,虽然比不上巢，这里不也相当安全吗？
？？？,没想到会是音之巷……真是浪漫呀。
罗兰,但是比起巢……
？？？,其实我还是持反对意见。关于搬去巢内。
？？？,翼委托巢的那些不上台面的工作，不也见过不少吗。
罗兰,至少在巢里逛街的时候，不用担心生命安全啊！
罗兰,那儿的人命可比后巷里的值钱多了！
罗兰,因为我的无知，咱们的孩子……
罗兰,……呜呜。
？？？,你瞧，这里不也非常不错嘛。
？？？,有咱们这样的母亲和父亲的孩子，又有谁敢招惹呢。
罗兰,是吗……
？？？,又来了、又来了……还垮着那张臭脸呢。
？？？,本来还觉得你稍微有些人情味了呢。
罗兰,可是……
？？？,罗兰。我们能在这么气派的房子里成家，已经是个奇迹了唷。
？？？,你也清楚。收尾人的人生。
？？？,然后以防万一，我要说一句……无论发生了什么事，都不可能完全是你的错，明白吗？千万不要那样想。
罗兰,这种话就不用再说了。
？？？,不这么说，你自己绝对会钻牛角尖的。来，约好喽！
罗兰,你也知道我不怎么做出约定吧。
？？？,切……
罗兰,好！约定，约定！
罗兰,……真的吗？
罗兰,……好吧。我只相信你。
？？？,有什么联系吗？
罗兰,还记得以前的朋友吗？奥利维耶。
？？？,当然记得啦。同一家事务所的同期生嘛。
罗兰,那位朋友喊我去搭把手。
？？？,……难道是收尾人的事务吗？
罗兰,……啊，嗯。好像急缺人手。
罗兰,别担心。不是什么危险的事。估计也就是去凑个人头。
？？？,去哪里？
罗兰,25区。
？？？,呼……要去寒冷的地方啊。
？？？,说起来，那里的葱饼味道还不错？回来的时候麻烦捎一个吧。
罗兰,非常乐意为您效劳。在下去去就回。
罗兰,……还有，谢啦。能允许我去。
？？？,本来就没几个老朋友，总不能让你给丢了呀。
,他者的绝望，我视若罔闻。
,只因我和自己的家人，更为珍重。
,置我的绝望不顾的人，我许下恶毒的诅咒。
,人们背离彼此的悲痛，分道扬镳，各奔东西。
,这般情景，又能怪罪谁呢。
,人人只得在这都市中忍辱负重，苟延残喘。
Chesed,罗兰。不能总是逃避。
罗兰,我明白！就算诅咒这万恶的世界和都市……只要我还站在这片土地，还是要像别人一样苟且偷生！！！
罗兰,什么都做不到……只凭一个人怎么可能改变这狗日的都市。
罗兰,只会不断地重复。就算知道了真相，就算下定了决心，我也无法抗拒这股洪流。
罗兰,无论多么不甘、多么厌恶，为了活下去，就不得不抛下所有的自尊心，跪在满地的泥泞中接受这一切！
罗兰,都市是不会改变的。
罗兰,只要人类还在，都市就不会改变……
罗兰,只要我想活下去，那么他人就必须受伤，这就是这里的日常……
罗兰,只有让羞耻之心结痂生茧，才能在这世上活下去！！！
