Character Name,Dialogue
罗兰,欸哟哟……我的老腰啊。
罗兰,你怎么要读这么多书啊。
Hokma,醒来得晚了，亟待知晓的事就多了。
Hokma,我总是慢人一步。
罗兰,不是活早了一拍吗？
Hokma,……无聊的讽刺。
罗兰,听说这里的司书都是追随一个名叫卡门的人……
罗兰,你也是跟着那个人参加研究的？
Hokma,其他人都是跟着卡门，我则是追随着另一位人。
Hokma,建立了脑叶公司，创造了安吉拉，名为艾因的那位人。
Hokma,我信仰着他。正如人们总会去信些什么，我坚信着他想做的一切必然是正确的。
Hokma,罗兰。你有信奉的宗教吗？
罗兰,没有。不如说都市里能有什么正经宗教。
罗兰,就算是大规模的教团，也不过是吸金的幌子，那可信不得。
Hokma,那么换种方式来问。
Hokma,你，信什么？
罗兰,信什么？那我特信自己迟早有一天能从这里出去了。
Hokma,那是愿望。
罗兰,那我大概也没啥可信的啦~
罗兰,现在本就在想着法讨个活计，哪有心思想这些有的没的呢。
罗兰,就这世道，梦想也好愿望也好，不是立竿见影的事儿光是想一想回顾下都很困难。
罗兰,话说回来你又信什么呢？
Hokma,我信，老师愿景之世必将到来。
Hokma,这份信念决定了我的一切行动原理。
罗兰,这得是什么人啊能让你这么有奉献精神。
Hokma,眺望远方的人。
Hokma,想要到达无法到达之处的人。
罗兰,那卡门不也是这样的吗？
Hokma,不。艾因先生乐于接受邪恶。
罗兰,话说回来，我是真的完全无法理解艾因那家伙。
罗兰,把一群死掉的人强行弄活，再塞进地底下玩起过家家？
Hokma,……那绝非过家家能够相提并论。
罗兰,虽然不知道最后能体会到什么有多伟大的感悟，但那过程本身可麻烦得要死。
罗兰,你们被强行赋予第二次人生，在脑叶公司里受难，安吉拉也为此愤怒。
罗兰,都是因为那个人吧？在局外人看来可没干过半点好事儿。
Hokma,即便如此，老师依旧试图碰触。
Hokma,千方百计地尝试填补，忍耐那饱受侵蚀的生活。
Hokma,你不理解的。那牺牲与奉献……
罗兰,完全就是个狂信徒哈。信仰总会蒙蔽弱者的双眼。
Hokma,瞎了眼的可不止我一个。
罗兰,总归比你强，老东西。
