Character Name,Dialogue
Hokma,这次到访又是想听些什么？
安吉拉,……Hokma，你知道邀请函的运作原理吗？
Hokma,你是觉得我会知道吗。
Hokma,还是说，你想确认你已知晓其中奥妙。
安吉拉,即使我有所不解，但连你也会有尚未通晓的事物吗？
安吉拉,你们俩总是如此。自很久以前便构筑出那座设施的意图，应该做的事……所有的一切你们都知道。
Hokma,而你曾说过你不想接触我们。
Hokma,也说过不想再次见面。
Hokma,事到如今才想起上来讲些陌生的话，太幼稚了，真是可笑。
Hokma,你问我心态发生了什么变化，这句话恰是我想问你的。
安吉拉,……如果你拒绝回答的话我这就离开。
Hokma,真是无情。你究竟是想同我交谈，还是说不想谈呢。
Hokma,尽管你不必向我寻求答案，但若是你想，我可以回答你。
Hokma,问题的答案只有一个。
Hokma,你是如何凭空创造出图书馆这个具体空间的？
Hokma,你想要找到的那本书真的仅是一本吗？而它真的能给你自由吗？
Hokma,书籍仅是储存光的容器。
安吉拉,你到底想说什么？
Hokma,你想要只靠着自己砥砺前行，却又将掌管方向的舵交予他人去收集光芒。
Hokma,只能用碎片般零星的情报拼凑出外界的面貌，可最终得以前行却是因为……
Hokma,……因为有一个人在引导着你。
安吉拉,……
Hokma,邀请函便是你的前身。
Hokma,卡门正指引着你。
Hokma,与光化作一体的卡门正为你和图书馆书写着前进的方向。
Hokma,她向那些被她选中的人发出邀请函，他们无法抗拒，走向这炼狱。
Hokma,而安吉拉你，似乎全然相信着那邀请函。
Hokma,而邀请函所做出的选择却尽是卡门自己的释义以及判断。
Hokma,你或多或少注意到了吧。
安吉拉,……你是想说我始终无法摆脱卡门吗？
Hokma,你的心中不已有了答案？
Hokma,你是卡门的复制品，同时也是无法成为同一存在的人。
安吉拉,……卡门所历经的时光，并未给予我直接的经验，仅仅是全数注入了我的身体。
安吉拉,只是以知识的状态……
安吉拉,我想要摆脱卡门。
安吉拉,但与此同时，如果连卡门也离我而去的话……我就真的孑然一身了吧。
Hokma,即使你走出了卡门的影子，也会有谁陪在你身边的。
安吉拉,会吗？又会有谁会想留在我身边呢？
Hokma,那种事尚无法得知。
安吉拉,……我对你们恨之入骨，恨得想要抹除你们所有人。
安吉拉,如若可以，我甚至不愿将你们带回人世。
安吉拉,可我做不到……卡门阻止了我！
安吉拉,她让我不要取走你们的性命……让我再相信你们一次……
Hokma,安吉拉。你真的认为是卡门在阻止你吗？
Hokma,我认为不是。
Hokma,令司书和客人们的生命得以留存，是安吉拉你的想法。
,要是能重新开始就好了……
,没有更好的办法了吗？
,哪怕一个人也好，不能走上更好的道路吗……？
,我到底该怎么做……
,如果有谁在听的话……拜托……请告诉我。
员工甲,幸好走廊的隔离门正常启动了。
,< ! 光之种剧本错误 ! >
员工甲,求求你了，快开门……不要抛弃我啊！！！
Malkuth,谢谢你，安吉拉！原来我的工作也是有意义的啊。
,< ! 光之种剧本错误 ! >
Malkuth,是啊，安吉拉小姐……也许，我就是个什么都做不好的残次品。
Yesod,多亏有你在，我们还能在这种地方稍微喘口气。
,< ! 光之种剧本错误 ! >
Yesod,我想我必须遵照你的指示，按原则办事。
Hod,只有安吉拉你能理解我的心情。
,< ! 光之种剧本错误 ! >
Hod,为什么没有一个人能理解我！！！
Netzach,有你在身边的话……感觉自己还能再努力一点了呢。
,< ! 光之种剧本错误 ! >
Netzach,反正你也希望大家全都死在这里吧。
,< ! 光之种剧本错误 ! >
,< ! 光之种剧本重新开始 ! >
,< ! 光之种剧本错误 ! >
,< ! 光之种剧本重新开始 ! >
,< ! 光之种剧本错误 ! >
,< ! 光之种剧本重新开始 ! >
,< ! 光之种剧本错误 ! >
,< ! 光之种剧本重新开始 ! >
,< ! 光之种剧本错误 ! >
,< ! 光之种剧本重新开始 ! >
,< ! 光之种剧本错误 ! >
