Character Name,Dialogue
罗兰,楼层真的像安吉拉说的那样延伸了啊。
罗兰,你好有人吗~我叫罗兰，是——
Malkuth,安吉拉……我至今无法原谅……
Malkuth,安吉拉，你……！！
安吉拉,这个话题早已终结。
安吉拉,现在你只需闭上嘴，乖乖跟我合作即可。
Malkuth,……
安吉拉,所谓的“交易”不正是如此吗？
安吉拉,此外，好好享受你那来之不易的血肉之躯吧。
Malkuth,难道你觉得，赋予我人类的身体就能讨我欢心？
Malkuth,你别忘了，我可从没认同过你的想法！
安吉拉,随你怎么想。
罗兰,嚯……刚才的气氛可真够紧张的。
Malkuth,呼……你好，我是负责历史层的指定司书。
Malkuth,Malkuth！
罗兰,真好，你看起来又恢复元气啦。
罗兰,你们二位以前闹过别扭吗？
Malkuth,我跟安吉拉还有笔没算清的账。
Malkuth,你大概已经听到一些了……无论我的想法如何，现在只能照她的吩咐做。
罗兰,看来我们是一条船上的人！虽然上船的理由好像不太一样。
罗兰,那么，我能帮你做些什么呢？
Malkuth,罗兰先生可以帮我带些书来。
Malkuth,因为我负责管理历史层嘛，我会从罗兰先生带来的书中整理出有关历史的书，加入图书馆的馆藏！
Malkuth,随着阅历的增加，这一楼层和整座图书馆也将逐渐变得完整起来。
Malkuth,自然而然地，那些沉睡中的楼层和其他指定司书同样会被唤醒！
罗兰,你是说，这里还有其他司书在睡大觉？
Malkuth,嗯嗯！
罗兰,大概明白了。话说我还是头一回看到上一秒还在发火，下一秒就能变得如此开朗的人。
罗兰,一开始我还在担心，等下会不会被你的怒火波及到呢。
Malkuth,我可不想让自己的私事妨碍到大家的工作！
Malkuth,更何况我跟安吉拉之间的账，不是脑子一热就能算清的。
Malkuth,嘿嘿，无论怎样，我自己也有努力工作的理由嘛！
罗兰,OK~那就一起好好干吧。
Malkuth,嗯嗯！
