Character Name,Dialogue
Malkuth,大家辛苦啦！ 
罗兰,今天也元气满满啊Malkuth，你们在做什么呢？ 
Malkuth,啊，是罗兰！我在和助理司书们一起训练哦。 
罗兰,气氛很棒哟？你们的关系看起来真不错。 
Malkuth,因为大家是在脑叶公司时期一起共事的同伴嘛！ 
Malkuth,不过，那时的我只能待在后方提供辅助，不能陪伴在他们身旁。 
Malkuth,这次能和大家一起相处，实在是太好了！ 
罗兰,前脑叶公司的职员吗……感触一定很深吧？ 
Malkuth,那是当然！过去因为错误的心态，我对他们施加了太大的压力…… 
Malkuth,但这次不同了！我们可以从力所能及的事开始，一步一步慢慢来。 
Malkuth,这段标语通透了历史的精髓，我特别喜欢！ 
罗兰,说得很对，只是现在很少有人能从历史中吸取教训。 
罗兰,道理人人都懂，可实践起来却又是另一回事。 
Malkuth,这段时间我回想起了不少往事。 
Malkuth,我曾是一个名叫“伊莉亚”的女孩。 
罗兰,那是你的第一次人生吧？ 
Malkuth,嗯，她在都市的巢中平凡地长大，作为一名平凡的市民就读于一所平凡的学校。 
Malkuth,一切都很平凡，她没有什么出众的才能，家境也并不富裕。 
Malkuth,曾和伊莉亚一起居住在巢中的人们……大家似乎整日心不在焉，只是空洞地凝望着天空。 
Malkuth,他们在都市看到的色彩非黑即白。 
罗兰,可巢里不是充满了华丽耀眼的色彩吗？偶尔还会晃得我眼睛疼。 
Malkuth,话虽如此，可人们在阅读时并不需要其他色彩。 
Malkuth,对于眼睛来说，光是看着黑白就会觉得疲惫，根本无暇顾及其他色彩。 
罗兰,嗯，那我猜伊莉亚可以看见其他色彩咯？ 
Malkuth,与其说是可以看见……不如说她是努力想要看见吧！因为色彩一直都在那里。 
Malkuth,伊莉亚想要告诉大家。 
Malkuth,所谓的色彩是多么的缤纷，又是多么的耀眼…… 
Malkuth,就像不同色彩相遇时会产生新的色彩一样，能够自由变化的东西就是色彩。 
Malkuth,伊莉亚似乎有过这种想法！ 
罗兰,听着像在讲别人的故事。 
Malkuth,老实说，我并不觉得自己和伊莉亚是同一个存在。 
Malkuth,也许是因为那段记忆太过久远了吧。 
Malkuth,其他司书们也时常会有这种感觉。 
Malkuth,我认为现在的自己，更像是从脑叶公司赋予的第二次人生“Malkuth”那里延续下来的。 
Malkuth,所以，第一次人生的伊莉亚反倒觉得有些陌生了。 
Malkuth,这感觉就像……有不属于自己的记忆扎进了心头。 
Malkuth,让人觉得既怀念又惆怅！ 
罗兰,总的来说这是好事吧？ 
Malkuth,嗯！我的心情也没那么糟糕啦。 
Malkuth,直到现在，我才有勇气回顾自己的过去。 
Malkuth,正视过去生活的那段时光。 
Malkuth,人们总顾着埋头向前进，却很少有时间回顾过往的岁月。 
Malkuth,或许安吉拉也…… 
罗兰,大家可不都没空嘛，现在的我也只能狼狈地迈开步子向前跑。 
罗兰,但是呢，如果对现在感到迷茫或者对未来感到担忧的话，回顾过去往往就能找到解决的方法。 
Malkuth,说得很对，可我不确定自己找到的方法能否解决眼前的问题。 
Malkuth,安吉拉之前对我说的话，我想我就快找到答案了。 
罗兰,想想自己是谁，想想自己为何而活吗？ 
Malkuth,嗯，过去的我没有能称之为“梦想”的东西。 
Malkuth,但现在不一样了，如果我可以梦想自己的未来…… 
Malkuth,也许，我会成为一名建筑师！ 
Malkuth,就是那个从初期规划到最终完工，能监督整个过程的人。 
罗兰,建筑可不是随随便便就能建成的哟？ 
Malkuth,那是当然，首先要仔细思考，从功能的限制范围内尽可能设计出最漂亮的外观。 
罗兰,听起来真复杂…… 
Malkuth,罗兰，你知道吗？ 
Malkuth,有句话叫做“我们塑造了建筑，而后建筑塑造了我们。” 
Malkuth,对于那些生活至今的居民也许无可奈何，但如果今后的居民能在新的建筑中成长，这会对他们产生什么样的影响呢？ 
Malkuth,如果我能建起一座所有人都能记住的彩色建筑。 
Malkuth,……没错，这就是我的想法！ 
罗兰,如果是Malkuth的话，一定能做到的，建筑师的工作听起来就很适合你。 
Malkuth,哈哈，谢谢你。 
Malkuth,罗兰也和我一样，多多回顾过去吧，这种感觉真的非常棒！ 
罗兰,……我一直都在回顾过去呢。 
罗兰,不管怎样，祝你能实现建筑师的梦想！ 
