Character Name,Dialogue
罗兰,大叔~快起来~老躺地上嘴会长歪的~
Netzach,（躺在地板上转头瞥了罗兰一眼，随后扭过头。）
罗兰,嘶！这股味道……还有这些滚来滚去的东西，难道说……
罗兰,呵，是啤酒罐，你从哪儿整来的？
Netzach,罗兰，这里是图书馆。在诞生自“可能性之光”的图书馆中，只要有书，什么都能整到。
罗兰,那你有好好分类吗？我看你接待来宾的时候还挺有一手。
Netzach,（朝身旁那堆书点点头。）
罗兰,真的分好了？那些基本是横七歪八堆在一块儿，这算哪门子分类啊……
Netzach,……
Netzach,……来点儿。
罗兰,唔？啊~哈哈……！你还真够意思，那我就恭敬不如从命，小小嘬一口啦~
罗兰,哈呀~没想到能在这种地方喝到啤酒。
罗兰,怀念死我了~在舌尖化开的碳酸泡泡，还有喉咙里这股清爽的感觉~~
Netzach,喜欢吗？
罗兰,嘿嘿，贼喜欢~
罗兰,话说回来，工作进展得如何？
Netzach,凑合吧，虽然一直有在做。
Netzach,但这并不代表我对现在的工作很满意。
罗兰,是么，哪一点让你觉得最不满意？
Netzach,我不得不亲手夺走他人的生命。
罗兰,要不然死的可就是你。
Netzach,而这就是强迫自己必须战斗的理由，所以我会觉得不满。
Netzach,照这样下去，我只会用这双手杀掉更多的人。
Netzach,圣贤也好，人渣也罢，再怎么垃圾的人也会有活下去的意愿。
罗兰,我能明白你的意思。
罗兰,但就算出去了也是一样，人们为了保护自己免受伤害，有时不得不选择伤害他人。
罗兰,只有夺走他人的生命，才能保住自己的，这再明显不过了，对吧？
Netzach,外面的确是这样。
罗兰,大叔你是从哪里出身的？巢吗？还是后巷？
Netzach,我记不清了，有点醉。不过我确实在脑叶公司工作过一段时间。
罗兰,哦~~~能在这么高大上的公司里工作，你们的日子一定过得很不错。
Netzach,你真这么觉得……？
罗兰,那当然，翼的薪资待遇和福利待遇都特别好，加入翼后连社会地位都能高人一等，人们别提有多眼红了。
Netzach,是啊……人们都这么想。
Netzach,算了，现在别管那些，咱俩好好喝一轮。
罗兰,嘻嘻，那敢情好！趁能喝的时候赶紧多喝点~
安吉拉,唉……大白天的逗我呢，两个疯子。
