Character Name,Dialogue
阳,……进入L5123内的……第四扇门中……
阳,先向右走14步……再向左走23步……
阳,……楼梯。
阳,这些阶梯……究竟是通向哪里的呢……？
阳,……
阳,那声音越来越大了……周围虽然仍旧很黑，但也隐隐约约地能看到些许光亮了呢……
阳,……我，真的该踏入这里吗……
阳,……
阳,事到如今，也已经别无选择了吧。
阳,……这是？这些机械设备，好大……
？？？,欢迎欢迎~请恕我有失远迎！你一路走到这儿一定已经相当疲乏了吧……快进来歇歇脚，整顿整顿身体吧~！
阳,……你是？
？？？,我是这里的纺织者！
？？？,别在那儿呆呆地站着啦~快过来呀！这儿已经好久没人来过喽，能见到你可真是太好了！
阳,纺织者……？
？？？,嗯？对呀，纺织者。
？？？,说起来，你也是受到了指令的邀请才来到这里的吧！？
阳,是又如何……
？？？,像你这样的人呀，若是没有指令的邀请可是来不到这个地方的！
？？？,况且也没有多少人会被邀请到这里哦~！
阳,……这里与指令有关吗？
？？？,有，而且关系可是相当密切的呢。指令正是从此处诞生出来的呦。
阳,诞生？指令是被生育下来的吗？
？？？,你脸上的神情告诉我……你还有很多想听想知道的事情呢！
？？？,真是太好了！我在这里都快呆得无聊死了……不过，你还是先找一个能坐下来歇歇脚的地方会比较好哦。故事总是会被拖长的！来，坐这儿吧……
？？？,对不起呀，不能用茶招待你，现在暂时没有热水可用……啊，现在和你打招呼应该还不算晚吧？你的名字是？在食指中的职务是代行者还是传令员呀？我的名字是莫伊莱！
阳,请您先停一下，不要那么着急。让我一个一个慢慢说吧……
阳,先从名字开始吧，我的名字是阳……全名是阳·比斯莫克。职务是传令员。目前只就任了不到一个月……
莫伊莱,名字是阳！职务是传令员呀。
阳,是的……传达了不少充斥着残酷命令的指令……
莫伊莱,不用再多说啦，我很理解你。指令确实是相当残酷的。人们经常会因为无法理解其中晦涩难懂的含义而失去性命。
阳,……正因如此，我们才不得不聆听那些接收到指令的人们所发出的埋怨与哀嚎。
