Character Name,Dialogue
Tiphereth,……
罗兰,想什么呢，这么认真。
Tiphereth,过去我认为自己没有存在的价值，也不抱有任何期待。
Tiphereth,只是活着……因为出生了。
罗兰,现在不一样了？
Tiphereth,而伊诺克不同。那孩子总能望见远处的光。
Tiphereth,然后我就在想，伊诺克是怎么做到的呢……
Tiphereth,现在好像能明白了。即使再苦再累也能坚持下来，是因为期待。
罗兰,到底在期待什么？
Tiphereth,或许比昨天更好。
Tiphereth,我的人生中确实存在让世界变得更美好的可能性和意义。
罗兰,还真是乐观。
Tiphereth,自然科学就是为了理解世界运转的原理而存在的。
Tiphereth,纯粹的好奇心……
Tiphereth,无法理解自身所处的状况与环境，无法容忍这种不合理。
Tiphereth,于是用光照亮了世界，然而只有少数人前行，绝大多数人依旧退缩回洞窟里。
Tiphereth,理解世间万物道理的光明之所，渺无人烟。
Tiphereth,大多数人再次回到黑暗中去……未能理解过程，仅仅是消受了结果。
罗兰,就像你说的那样，一切都在消退。
罗兰,想要理解却无法理解，就只好闭上眼睛。
罗兰,或者说，无论我是否存在，世界依旧会照常运转。
Tiphereth,但是不能那样。
Tiphereth,不能只是闭上双眼。人类不是那样的。
Tiphereth,想尽办法试图理解……迈向光明。
Tiphereth,你也是不得不这样。
罗兰,你想怎么看待人类随你的便，别把自己的断定强加给我。
罗兰,我的未来只有一片黑暗。哪有什么光啊……
Tiphereth,现在也有看起来没有光的时候。没有光便什么都看不到吧。
Tiphereth,但也并非没有光……
Tiphereth,光并不是单一的，而是有许多种类。
Tiphereth,如果能见到其他的光，就不会蜷缩在黑暗之中了。
Tiphereth,当然，发现那道光的时候会有前进的人，也会有止步的人。
罗兰,靠近光令我透不过气。
罗兰,打一开始就看不到的光又怎么可能突然看得到了？
罗兰,继续前进也不会给我剩下什么。我想要的东西已经不在了。
罗兰,我不想再期待了。
罗兰,再怎么期待，在这都市……
Tiphereth,不。是不得不期待。只能努力逃避。
,空寂的躯壳，日日浸满谁人的鲜血而归。
,腐臭的气息。灰暗的窗。于独居者而言，略显空荡的住房。
,一人独居的生活，稍有空虚的心。
,灯火已熄的住房……深陷在沙发里，茫然地仰望着天花板。
,滚落一地的啤酒罐。纷飞的烟灰。
,厨房的水滴声。
,墙对面传来的欢笑声。
,其中或有属于我的风景。
,我遗落的风景。
,毫无期待之人的住房。
,不见起色的住房。
,抛却期待入眠的每晚。
,成团的漆黑独守空房。
？？？,咚咚~黑心小鬼头在那里吗？
？？？,反正又是去了什么奇怪的地方撒完气回来瘫着了吧？
？？？,我这儿有个你无法拒绝的提案……不来听听看吗？
罗兰,你……连人类都不是，又一脸理所当然地说着自己多么了解人。
Tiphereth,我了解。因为我见过。
Tiphereth,人类在痛苦中挣扎，试图照亮世界……正因为见到了向着光明前进的身形。
罗兰,人可没那么强大。只是成堆的块状物罢了。
罗兰,你也不过是一团复制品，冒牌货。
罗兰,毫无意义。
罗兰,愿望只会是愿望。无论如何期待，都不可能实现。
安吉拉,Tiphereth。我就片刻没有看过来，这到底是怎么回事。
Tiphereth,……罗兰的心志似乎在和这里发生共鸣。
Tiphereth,各层指定司书和负责的领域之间的情感加深了。
Tiphereth,于是就像这样，一点点小事就会忍无可忍地爆发……这只是推测。
安吉拉,或许正是如此。我在非本意的时候也会变成那种混乱的模样。
安吉拉,知道解决的办法吧，Tiphereth？拜托你了。
Tiphereth,你在笑……觉得很开心吗？
安吉拉,嗯，有点吧……
安吉拉,毕竟，我也不希望只有我会露出如此丑态。
