Character Name,Dialogue
罗兰,嘿呦~书拿来咯。
罗兰,我悄悄把书放在这块儿~我再悄悄溜到那块儿~免得某位毒蛇先生又来咬我屁股~
Yesod,站住，你听谁说的？
罗兰,什么谁说的？你又想找茬啊？
Yesod,你叫我，“毒蛇”？
罗兰,谁叫你一直用那种凶巴巴的眼神盯着我看？
罗兰,我有位旧识，他的性格简直跟你一模一样。
罗兰,那家伙的绰号就是叫毒蛇。
Yesod,有趣，我以前也被人称作毒蛇。
罗兰,嚯，看来大家都想到一块儿去了？
罗兰,不过嘛，真和那家伙比起来，你算是一条温柔的蛇蛇了。
Yesod,这是在夸我还是在损我？
罗兰,就当是在夸你吧，不管怎么说，你这人还是挺……正直的。
Yesod,……有段时间，我因为近乎病态的偏执，把自己和部下逼得不可开交。
罗兰,在脑叶公司的时候？
Yesod,是的。在那个地方，再微小的失误也会造成巨大的伤亡。
罗兰,在需要小心谨慎的场合中，稍微严苛些也不算过分吧？
Yesod,我一直试图保持理性，所以总是隐藏自己的情感。
Yesod,久而久之更是以“纪律”为名，对旁人冷眼相待。
罗兰,那你对我这么高冷也是出于同样的原因咯？
Yesod,不，恰恰相反。
Yesod,我无法冷静地看待我们的所作所为，而你却在默默帮助安吉拉那个幕后黑手，对此我感到前所未有的愤怒。
Yesod,在我被称为“加百利”的第一次人生中，我渴望让世界变得更加美好。
Yesod,我希望科技的进步能给人们的生活带来诸多便利。
Yesod,可真相却是……
Yesod,脑叶公司打着奇点技术的幌子，将活生生的人类转变成异想体，没有转变的则被扔给那些嗜血的怪物，以此榨取能源……
Yesod,而这一过程至今仍未改变。
Yesod,说是收集散落的光……其实就是不停地杀人，夺走他们的书。
Yesod,这无非是以另一种残忍的方式获取情报罢了。
Yesod,正如这座都市的一贯作风，以他人的痛苦滋养我们自身……
罗兰,就像我刚才说的那样，Yesod，你这人太正直了。
罗兰,从我的角度来看，我理解不了你为什么活得这么累。
罗兰,所以我时常反过来想。
罗兰,既然我遭了这么多罪，那肯定会有人因我而捞到好处，所以我当然能理直气壮地享受科技带来的便利啦。
Yesod,不愧是你。
Yesod,这样想就能让心里好受些？
罗兰,还能怎么办呢？一码归一码吧。
罗兰,我并不是说你的思维方式就是错的。
罗兰,你那套话说得很对，太对了，可三观太正的言论于我也好，于这座都市也罢，终究是不合适的。
Yesod,你一定觉得，我跟那些人一样可悲吧？
罗兰,瞎说，就是因为思维方式不同，所以某些事情我不可能做到，而你却可以啊。
罗兰,要想改变现状，那肯定要一直坚持下去，打碎牙也得往肚里咽，对不对？
罗兰,这样一来，总有一天你会创造出不需要任何牺牲也能运转的科技。
Yesod,我忍了这么多年，而现在你又要我忍……
罗兰,就这一次……再忍忍吧。
罗兰,也许这次会大有不同。
罗兰,退一步说，如果拿脑叶公司时期作比较，现在的情况也并非没有一丝好转吧？
Yesod,……是的。
Yesod,至少我曾经的职员仍然愿意听从我的指示……我还能和他们一起工作。
罗兰,看吧~是不是总会有那么一丝好转的？
罗兰,像这样慢慢改变，日积月累肯定会有所收获的。
罗兰,当然，我很安于现状，可别强迫我改哦！
Yesod,油嘴滑舌。
Yesod,……不过罗兰你说得对，现在的情况并非没有好转。
Yesod,只要能有变得更好的希望，那我就有理由坚持下去。
罗兰,我那份可以一并托付给你吗？
Yesod,那，我要好好考虑一下。
罗兰,看看~你这人就是太好说话了。如果换成安吉拉，现在肯定要轰我走了吧？
Yesod,跟你交谈也不见得总会闹不愉快。
罗兰,那当然，我还是挺有人格魅力的嘛~
罗兰,顺带一提，以后说话可以不用那么严肃啦。
Yesod,我已经习惯了。
罗兰,呃……也行。总之，我们一起加油吧。
Yesod,……谢谢你。
