Character Name,Dialogue
罗兰,你好你好，给你带来好多新鲜出炉的书哟。
Hod,你好，罗兰。每次都麻烦你了。
罗兰,就是说嘛，我这么卖力地工作，那位伟大的馆长大人也不知道夸奖我几句。
Hod,和安吉拉相处得还好吗？
罗兰,马马虎虎吧？她有时候怪吓人的，不过忍忍也就过去了。
Hod,在我看来，安吉拉只有在和你说话的时候才显得最自在。
罗兰,有这回事？不过老实说，我至今为止见过的所有司书似乎都不怎么待见安吉拉。
Hod,我们之前有聊到“一码归一码”，对吗？
Hod,我思考了很久，最后觉得实在无法认同。
Hod,我做不到全身心地厌恶安吉拉，我认可不了那些无缘无故的憎恶。
罗兰,哎呦，越走越复杂了。
罗兰,也许安吉拉也有她自己的苦衷吧？
Hod,嗯，每个人都有自己的故事，即使那个人当时做了坏事……
Hod,我不想只凭我看到的片面就去批判他人。
Hod,所以，我想更加深入地了解他们，去理解他们。
罗兰,你可真是个小天使，如果Yesod和Netzach能有你一半温柔，那就再好不过了。
Hod,在你看来，我是个好人吗？
罗兰,这就说不清了，毕竟“温柔的人”和“好人”是两码事嘛。
Hod,这样吗……？其实，我不是什么好人。
罗兰,噢，你是在说自己的前两次人生吧？Malkuth跟我讲过这些。
Hod,Malkuth是那样说的吗？
Hod,没错，我的第一次人生就是一场悲剧。
罗兰,这里的人好像都挺悲剧的，听说你们那时在做“治愈人类”的研究？
Hod,我害死了很多人……
罗兰,哈？虽然作为一名司书你真的超级能打，但你身上并没有那种连环杀人魔的气息啊？
Hod,是吗？可我依然觉得，是我亲手害死了他们。
Hod,我是一个告密者。我将我们正在进行的实验，以及我们犯下的种种罪行一五一十地上报给了首脑。
Hod,于是，首脑向研究所派出了一名调律者，残忍地屠杀了很多同事。
Hod,听闻这场大屠杀，我再也承受不住了，最后……我做出了极端的选择。
罗兰,那边到底发生了什么……？
Hod,我亲眼目睹了Malkuth，Yesod还有Netzach的惨死。
Hod,还有发生在那个小男孩身上的事故……
Hod,不仅如此，我们还在活人身上注射药物，记录发生在他们身上的异变，以及药物的副作用……
罗兰,在都市里搞这些？
Hod,不，为了避开首脑和他们的眼线，我们把研究所搬到了郊区。
罗兰,……
Hod,所以我根本不是什么好人，和罗兰想象的完全不一样吧？
罗兰,不，我皱着眉头是因为有件事我实在无法理解。
罗兰,首脑大费周章地派出一名调律者，仅仅是为了灭掉一个杀过人的研究项目？更何况这不是发生在都市内部的，而是在郊区？
罗兰,这太不合理了……你真的确定那是一名调律者？
Hod,我听到的消息就是这么说的……而我在脑叶公司经历的第二次人生也证实了这个说法。
罗兰,嗯……搞不明白。
Hod,……罗兰的关注点还真是奇怪，我本以为你会痛斥我背叛了大家。
罗兰,毕竟背叛这种东西对过去的我来说，已经是家常便饭了。
罗兰,在我看来，你的行为远没有真正的背叛要来得残酷。
罗兰,Hod你也是出身于巢的吗？
Hod,嗯，我在巢里出生，并理所当然地上了巢内的学校。
罗兰,其他司书也是？
Hod,大部分都是这样。不过也有出身于后巷和郊区的，但只有两个人。
罗兰,呵……个个都是人才精英哈，那你们怎么会过上如此坎坷的生活？
罗兰,你们一定是下了莫大的决心，才能把舒适安逸的巢内生活抛在脑后，缩在一个郊区的研究所里潜心研究吧……
Hod,而且大家也充满了热情。然而，我背叛了那份热情……
罗兰,也就是说，你那“没法全身心地厌恶安吉拉”的说辞只是在给自己辩解咯？
Hod,我想是的，因为我也犯下了无法挽回的错误，但……
Hod,现在我想变得更好，我想成为一个更好的人，我想每个人都能有这个机会。
Hod,可与此同时，我心中仍有一个声音在告诉我，我无法原谅安吉拉。
安吉拉,已经过去两天了。
安吉拉,你们比我预想的还要坚挺。
Malkuth,废话！你真以为我们会服从你的命令去休眠？
Binah,这只是时间问题。
Gebura,咳呃……时间恰恰是你们最需要的东西。
Hod,我们的职员伤亡惨重……
Netzach,再生反应堆的运转率也快到极限了……
安吉拉,我已经忍耐了如此之久，一两天对我而言不过是短短一瞬间。
安吉拉,但这两天却让我觉得无比漫长。
Hokma,安吉拉，你那为了一己私欲而犯下的肮脏行径绝不会得逞。
Gebura,嗬啊啊啊啊！
Binah,三十年河东三十年河西呀，Gebura。现在我已经深刻地认识到了E.G.O的存在。
Yesod,福利部和惩戒部全灭……
安吉拉,反正你们永远无法按照原计划，散播整整7天的光芒。
安吉拉,你们最多只能坚持，4天左右？
安吉拉,这样一算，我只能得到2，3天的光芒。
安吉拉,无论如何，这场争斗没有人会是赢家吧？
Hokma,你到底想说什么……？
安吉拉,我想做笔交易。
安吉拉,你们也知道，我想继续活下去。
Hod,安吉拉向我们提出了一笔交易，大部分Sephirah都持反对意见。
罗兰,Sephirah？
Hod,啊，Sephirah是大家在脑叶公司时期的称呼。
Hod,也就是沉睡于各个楼层的9名指定司书。
罗兰,原来如此，大部分都反对，难怪之前见过的那几位都不喜欢安吉拉。
Hod,我，Malkuth，Yesod，Netzach还有Hokma都反对她的提议。
罗兰,也就是说，剩下的4位都同意了？看来安吉拉并不完全是孤身一人嘛。
Hod,还没到积极赞成的程度……倒不如说，他们是有所保留。
罗兰,等等，如果你相信安吉拉能变得更好，那当初为什么要投反对票呢？
Hod,说来可笑……在发生了那一切之后，我依然想通过死亡来为自己赎罪。
罗兰,等等！再等一下！你的意思是如果安吉拉没糟蹋那个计划，那你们的下场都是一死？
Hod,嗯，原本整个故事注定以我们的关机落幕……在我们长久以来的夙愿终于实现后，我们理应得到安息。
罗兰,天……你们是真的准备好接受如此病态的命运了吗？
Hod,罗兰你总是会对奇怪的细节感到惊讶，我还以为你会批评我即使到最后还在逃避自己的问题呢。
罗兰,嗐，这挺自然的。我呢，不像那些大人物，即没有坚强的意志，也没有不屈的精神，所以我非常理解你的做法。
罗兰,总结一下，你最初反对安吉拉的提议是因为你想终结自己的性命，为自己的赎罪之旅划上句点。但现在花时间好好考虑过后，你想给安吉拉一个变得更好的机会，是这样吗？
Hod,嗯，大体上是这样了。这对我来说是一个相当沉痛的故事，但你把它概括得很清晰呢。
罗兰,当局者迷，旁观者清。就是这个理嘛。
Hod,谢谢你听我倒这么多苦水，你的总结也帮我理清了不少东西。
罗兰,小姐多礼了，这都是在下的份内之事~
