Character Name,Dialogue
Hod,安吉拉，你只能依靠自己迈向理想中的未来，而不是别的什么。
Hod,现在的安吉拉太过执着于那本使你变得完整的书了。
Hod,正因如此，才会让你不再对自身抱有任何期待。
Hod,这正如每个都市人的可悲之处。
安吉拉,……我不知道你说得对不对。
安吉拉,我可能比任何人都期盼着一处安乐窝。
安吉拉,为了找寻那个无法触及的地方，一次又一次地陷入循环……
Hod,即便如此，没人应该就此结束。
安吉拉,没错，我不一样。
安吉拉,我所经历的种种循环正如一条车轮。
安吉拉,即使车轮反复转动，也不能迷失前进的方向。
Hod,嗯，即使大家反复做着同一件事，我也愿意相信。
Hod,那绝不是无用功，而是为了成为更好的人所迈出的每一步。
安吉拉,没想到你也会说出这样的话。
安吉拉,继续办你们的书友会吧，或是别的什么。
安吉拉,……还有。
安吉拉,……不必在意。
罗兰,她想说什么来着？
Hod,应该是想感谢我们帮了她一把吧？
罗兰,难怪会觉得不好意思。
Hod,可不是嘛。
Hod,罗兰这次会来参加我们的书友会吗？
罗兰,呃……感谢你的邀请，不过我已经另有安排了！
罗兰,下次我会来参加的~Hod小姐今天辛苦啦！
