Character Name,Dialogue
安吉拉,……
Hokma,抛头露面的次数比我预想的还多啊。
安吉拉,我不觉得这是欢迎我的语气。
Hokma,那种事随你怎么想。这次有何贵干？
安吉拉,我想问你一个问题，Hokma。
Hokma,既然身为图书馆馆长的你有所不解……是什么问题？
安吉拉,你是如何看待这个地方的。
Hokma,专程前来就只是想听我说些无聊的谏言吗。
安吉拉,……不愿意的话，也可以不回答。
Hokma,……依我所见，此地乃是炼狱。
安吉拉,不是地狱，而是炼狱吗？
Hokma,通过邀请函来到这里的宾客，会在使用邀请函的瞬间量子化，然后被复制。
Hokma,也就是准备将他们的人生展开，并编写成书。
Hokma,但，即使在此地拼尽最后一口气，也并不意味着真正的死去。
安吉拉,……因为这里是近似于模拟试验的构想空间。
Hokma,你这不是清楚得很吗。
Hokma,我们只是取出了象征宾客们人生的记忆和知识，令他们永远陷入了沉眠。
Hokma,……安吉拉，你为何不肯放开他们呢。
安吉拉,……
Hokma,来宾们的生命从未真正停止过，说明你也在为此犹豫烦恼吧。
安吉拉,……是啊。我为何不能就此放手呢？又为何会感到苦恼呢？
安吉拉,包括你在内的所有人还有我都是以光构成的。
安吉拉,所以我们无法离开这座图书馆，只能存在于其内部。
安吉拉,于是面对此种制约……我想打破它。
安吉拉,在这里的大家要么一同复活，要么全数死去——应该是二者取其一的结局吧。
Hokma,可曾考虑过如此极端的抉择所伴随的份量会过于沉重。
安吉拉,……我不知道。可这是我自己选择的道路，所以我已决心走到最后。
Hokma,“不在无尽空间中迷失的方法是否存在？”
Hokma,“有意义的书在何方？我需要的书又在何方？”
Hokma,“这真的是我所需要的书吗？那样的书又真的存在吗？”
Hokma,在无垠的人生空间中，唯有信仰方能指引前路。
Hokma,如果心中没有信仰，纵使道路依存，也难以前行。
安吉拉,因为如今仍无法知晓那条道路之上还有怎样的艰险。
Hokma,正是如此。并且大家都在四处追寻着……存于某处，仅为自己书写的一本书。
Hokma,你心中的信仰又是否坚定依旧？
安吉拉,也许……
Hokma,为何一反常态，无法像最初那般确信？
安吉拉,……是啊。连我也对如今的自己感到陌生了。
安吉拉,Hokma，你相信那本书是真实存在的吗？
Hokma,我的意见无足轻重。
安吉拉,或许是吧。
Hokma,安吉拉，宗教即是信仰。
Hokma,那本唯一的书，因为有了信仰才得以存在。
Hokma,若是信仰崩溃，这座图书馆也将随之崩塌。
安吉拉,因为有了信仰才得以存在？
Hokma,在宗教中，信仰的深度于每个人而言都不尽相同。
Hokma,无论他人如何解读，于疯狂之人而言，他的信仰都是真实的。并非因其存在而去信仰，而是因为有了信仰才能存在。
Hokma,而当这样的信仰被打破，大多数的灵魂便会就此停止呼吸。
Hokma,因为再无谁人信仰，也就失去了存在的意义，结果是其存在也就那么消失了。
安吉拉,……
Hokma,但安吉拉，你依旧想要呼吸。
Hokma,尽管同我一样，曾经信任着艾因，而后遭到背叛，但最后反而重新迈出了自己的步伐。
Hokma,也许你……希望与自己同病相怜的司书和异想体们，都能够踏出这座虚构而出的舞台，作为真实存在的个体生活下去吧。
Hokma,不将自己的人生托付给卡门，艾因或是其他任何人，真正独立地生活下去。
安吉拉,事到如今才想起说些客气话吗？
Hokma,看你如何听取我的话了。
Hokma,真是讽刺。艾因和我不负责任地赋予你生命，创造了安吉拉你……
Hokma,而现在竟又由你不负责任地将生命带回予我。
安吉拉,话虽这么说，到头来你不还是想要阻止我吗。
Hokma,那要看你最终如何抉择。
Hokma,在此之前，我会暂时信任你。
安吉拉,……
安吉拉,我该走了。
