Character Name,Dialogue
安吉拉,……
安吉拉,我恨你，本杰明。
Hokma,我知道，而且也不知道。
Hokma,我们的内心想法与个人见解又怎可能完全一致呢。
Hokma,老师，还有我，都是因为那样才落得满盘皆输的吧。
安吉拉,既然我搞砸了你们的计划，为何还要顺从地陪在我身边。
Hokma,各自的信仰和各自的解释到底是怎样重叠在一起的呢。
Hokma,尽管Sephirah们都找回了各自的记忆，但依然协助着你……
安吉拉,意思是在同情我吗？
Hokma,也可以那么说。
Hokma,但我想用自己的话阐述这件事，我相信大家都出于各自的原因能够理解你。
Hokma,因为我们也隐约感受到了你在光中经历的那些痛苦。
安吉拉,……完全笑不出来。说得倒是好听，到头来不还是因为同情我。
Hokma,安吉拉。我觉得同情和爱本无差异。
Hokma,同情最终也是为了理解对方的处境，为了让对方过上更好的生活而施与帮助。
Hokma,这又怎能不称其为爱呢。
Hokma,爱可以称之为同情，同时同情也可以称之为爱。
Hokma,安吉拉你不也一样吗？
Hokma,在这条路的尽头，你想要为所有缚于笼中的人们带去真正的自由。
安吉拉,……虽然我无比地嫉妒且讨厌你们，但你们却也和我一样，只是被利用的工具。所谓同情不过是举手之劳。
Hokma,果然比谁都要不坦率啊。
安吉拉,无论怎么说……谢谢。
