Character Name,Dialogue
瓦伦汀,科长！您说这像话吗？
柳真,请克制些。时刻提醒自己，这是一个财富，名誉和力量决定一切的世界。
瓦伦汀,就算他是一名特色，可任凭这样的外人驱使整个协会未免太离谱了！
瓦伦汀,他还做得这么明目张胆……
天満,……那又怎样？背叛协会，杀掉分部长塞尔玛和那个苍蓝残响来争取自由？
天満,……我想不到任何办法……据说“笑面”那伙人也牵涉其中……
瓦伦汀,腐败到骨子里了……
瓦伦汀,科长，し协会的道义和准则都到哪里去了……
柳真,要想推翻这个体制，就请耐心等待。
柳真,养精蓄锐，眼下我们什么都做不了。
天満,科长您说得对，现在……的确什么也做不了。
瓦伦汀,他妈的……明知我们现在是什么状态，他还把这种工作硬塞过来……
天満,有朝一日，柳真科长一定能成为し协会的会长。
天満,等到时机成熟，我们就能推翻这腐朽的体制。
柳真,我们2科只要把交付的工作处理好即可。
天満,可是，科长……2科连续10天都在处理都市梦魇级的案件。
天満,暗杀奈落会的组长、收集遗忘铸锭、摧毁彼岸的碎片、炸毁隔膜肉工厂、昨天还剿灭了铸铁同袍的队长。
天満,所有委托都是在近10天内处理的，中间根本没有休整……
天満,原先每周只需处理一件……
瓦伦汀,南部2科的大部分成员都殉职了。
瓦伦汀,幸存下来的人，包括我们在内的所有人都无法正常工作。
瓦伦汀,大伙的身心就快崩溃了……
瓦伦汀,3科和所有附属事务所，也因为过量的委托早已全灭……
天満,最重要的是，柳真科长您的身体状况比大家都要糟糕……
天満,为了不让大家牺牲，您总是站在最前方，比任何人都激烈地战斗……
柳真,断掉的骨头还能接上，撕破的伤口也还能缝合。
瓦伦汀,……科长您伤得太重了，这不是一朝一夕就能痊愈的啊。
瓦伦汀,不仅如此，2科的成员都无法在一天之内恢复元气，除非有K公司的奇点……
柳真,你们担忧过度了，我们会像往常一样处理好图书馆的委托。
瓦伦汀,柳真科长！处理好这次，今后还会有更多荒唐的工作压下来！
天満,……这一点我也同意，哪怕2科全军覆没，连科长您也倒下之时，委托还是会源源不绝地塞进来……
柳真,这我自有安排，那苍蓝残响终究是所有问题的根源……
柳真,这次前往图书馆不只是为了服从高层的命令……
柳真,我们的目标是回收不来梅乐队的书籍。
柳真,……要想揭露苍蓝残响的阴谋，这本书至关重要。
天満,您的意思是……？
柳真,据称，不久之前有人曾亲眼目睹不来梅乐队的头目与苍蓝残响会面。
瓦伦汀,您是说，不来梅乐队的书中可能包含苍蓝残响那家伙的情报？
柳真,我们至少能查明他在密谋什么。
天満,所以您派句点事务所暗杀齿轮教团也是因为……
瓦伦汀,……我明白您的意思了，可就算掌握这些情报，也依然解决不了事端。
瓦伦汀,您是有什么计划吗？
柳真,事成之后，我便会采取措施。
天満,科长，我们真的能相信您吗？您能向我们承诺，这次您不会为了2科再伤害自己的身体吗？
瓦伦汀,科长，您总是这样舍己为人……
柳真,请相信我，我明白这条命有多么宝贵。
柳真,只有活下去，才能做出改变。
柳真,召集所有还能战斗的人员，我不想带上使不出力气的累赘。
瓦伦汀,遵命。
罗兰,她那憨直的性格一点没变嘛。
安吉拉,你真的只是个不起眼的收尾人？
安吉拉,事到如今，我也明白你的人脉并非普通收尾人所能拥有的。
罗兰,先回答你的问题，我的确是9阶。
罗兰,因为发生了各种事情所以才会跌到谷底，现在的我只是个普通收尾人。
安吉拉,是这样？那你之前是什么等级？
罗兰,超级优秀的1阶收尾人哦！这话说出来你信吗？
安吉拉,坦白说，这很难让人信服，可如果是出自你的口中……
罗兰,妈耶，你现在这么信任我了吗……
罗兰,其实，我只是个收集情报的普通收尾人罢了，所以才会认识这么多人。
罗兰,能像现在这样战斗，全靠你给我的新身体，当然还有图书馆的力量。
安吉拉,你说过信任在收尾人这行相当重要，亲眼看着熟人死去，你也不为所动？
罗兰,碰上这种情况的确挺遗憾的，不过嘛，那是站在他们的角度得出的想法。
罗兰,难道他们就没杀过为了生计而挣扎，为了改变而奋斗的人吗？
安吉拉,应该杀过。
罗兰,事实就是如此，他们的刀下亡魂可能也抱着同样的遗憾。
罗兰,也可能没有，总之，没办法让所有人都幸福的，大家的角度和出发点都不相同。
安吉拉,所以彼此都不愿深入了解，只是处理各自负责的事务。
罗兰,每个人都有自己的故事嘛。
罗兰,但我们不能为了别人的故事而放弃自己的故事，就像我们正在做的那样。
罗兰,一码归一码。
瓦伦汀,能做的急救措施都做好了。
天満,科长……
柳真,现在专注于眼前的事务即可，各位请量力而行。
安吉拉,各位来宾，欢迎你们的到来。
柳真,很高兴见到您，我是し协会2科的科长，柳真。各位，都来打个招呼。
天満,哎？可是……
柳真,听到问候时，我们也该礼貌地予以回复吧？
天満,是！我是し协会2科直属收尾人，天満。
瓦伦汀,し协会2科直属收尾人，瓦伦汀。
安吉拉,我是图书馆的馆长兼司书，安吉拉。
柳真,我们通过邀请函前来寻找书籍。
安吉拉,那么，愿您找到想要的书。
安吉拉,那位来宾令人印象深刻，她的气质和我以前认识的那位非常相似，尽管在许多方面仍有不同。
罗兰,你还认识其他收尾人？
安吉拉,不……你听说过卡莉吗？
罗兰,卡莉……？
安吉拉,她被称为殷红迷雾。
罗兰,哦她啊，当然听说过！她是所有特色中最另类的家伙，你是怎么跟她扯上关系的啊？
罗兰,我听说她干完一些帅到爆的事情后，突然就人间蒸发了。
安吉拉,她是我以前的同事……你可以这么理解。
罗兰,殷红迷雾很强，真的，我想不出更好的词来形容她。
罗兰,而且，她接受委托从来不是为了自己，而是为了他人。我以前一直在想，如果哪天能像她那般强大，那我也可以随心所欲了吧？
